RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Últimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas
1,Barcelona,26,18,3,5,71,25,46,57,2.19,63.6,28.5,35.1,1.35,PG PG PG PG PG,45119,Robert Lewandowski - 21,Iñaki Peña,
2,Real Madrid,27,17,6,4,57,26,31,57,2.11,52.0,27.1,24.9,0.92,PE PE PG PP PG,69474,Kylian Mbappé - 18,Thibaut Courtois,
3,Atlético Madrid,27,16,8,3,44,18,26,56,2.07,43.9,25.1,18.8,0.7,PE PE PG PG PP,61568,"Alexander Sørloth, Julián Álvarez - 10",Jan Oblak,
4,Athletic Club,27,13,10,4,45,24,21,49,1.81,41.1,25.1,16.0,0.59,PG PE PG PP PE,48344,Oihan Sancet - 13,Julen Agirrezabala,
5,Villarreal,26,12,8,6,48,36,12,44,1.69,46.2,29.2,17.0,0.65,PG PG PE PG PP,18376,Ayoze Pérez - 11,Diego Conde,
6,Betis,27,11,8,8,35,33,2,41,1.52,41.0,34.0,6.9,0.26,PP PG PG PG PG,51110,Giovani Lo Celso - 7,Rui Silva,
7,Mallorca,27,10,7,10,26,33,-7,37,1.37,30.2,30.5,-0.3,-0.01,PE PG PE PE PE,18819,Vedat Muriqi - 6,Dominik Greif,
8,Rayo Vallecano,27,9,9,9,29,29,0,36,1.33,33.8,31.9,1.9,0.07,PG PP PP PE PP,13131,Jorge de Frutos - 4,Augusto Batalla,
9,Celta Vigo,27,10,6,11,40,41,-1,36,1.33,37.4,29.5,7.9,0.29,PG PE PG PE PG,22082,Iago Aspas - 8,Vicente Guaita,
10,Sevilla,27,9,9,9,32,36,-4,36,1.33,28.8,36.1,-7.2,-0.27,PP PG PE PE PG,35672,Dodi Lukebakio - 11,Ørjan Nyland,
11,Real Sociedad,27,10,4,13,23,28,-5,34,1.26,29.6,29.9,-0.3,-0.01,PG PP PG PP PP,30060,Takefusa Kubo - 5,Álex Remiro,
12,Getafe,27,8,9,10,23,22,1,33,1.22,25.3,32.3,-7.0,-0.26,PG PG PP PP PG,11323,Mauro Arambarri - 8,David Soria,
13,Osasuna,26,7,12,7,32,37,-5,33,1.27,28.1,36.4,-8.3,-0.32,PG PE PE PP PE,20452,Ante Budimir - 14,Sergio Herrera,
14,Girona,26,9,5,12,34,39,-5,32,1.23,30.2,34.3,-4.0,-0.16,PG PP PP PP PE,12002,"Cristhian Stuani, Abel Ruiz... - 4",Paulo Gazzaniga,
15,Espanyol,25,7,6,12,24,36,-12,27,1.08,20.3,39.4,-19.1,-0.76,PE PG PP PE PG,23975,Javi Puado - 8,Joan García,
16,Valencia,27,6,9,12,30,45,-15,27,1.0,30.5,39.4,-8.9,-0.33,PG PE PP PE PG,42618,Hugo Duro - 7,Giorgi Mamardashvili,
17,Leganés,27,6,9,12,24,40,-16,27,1.0,22.0,42.4,-20.4,-0.76,PP PE PP PG PP,10908,Juan Cruz - 4,Marko Dmitrović,
18,Alavés,27,6,8,13,30,40,-10,26,0.96,30.7,34.1,-3.4,-0.12,PP PE PP PE PG,16862,Kiké - 11,Antonio Sivera,
19,Las Palmas,27,6,6,15,30,45,-15,24,0.89,25.4,50.1,-24.7,-0.91,PP PP PP PE PP,24082,Sandro Ramírez - 8,Jasper Cillessen,
20,Valladolid,27,4,4,19,18,62,-44,16,0.59,23.2,48.1,-24.9,-0.92,PP PP PP PE PP,21398,"Mamadou Sylla, Selim Amallah... - 3",Karl Jakob Hein,
