RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Últimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas
1,Liverpool,29,21,7,1,69,27,42,70,2.41,65.0,25.1,39.8,1.37,PG PE PG PG PG,60293,Mohamed Salah - 27,Alisson,
2,Arsenal,28,15,10,3,52,24,28,55,1.96,43.8,24.4,19.4,0.69,PG PG PP PE PE,60275,Kai Havertz - 9,David Raya,
3,Nott'ham Forest,28,15,6,7,45,33,12,51,1.82,35.0,33.6,1.4,0.05,PG PP PP PE PG,30080,Chris Wood - 18,Matz Sels,
4,Chelsea,28,14,7,7,53,36,17,49,1.75,55.5,38.8,16.8,0.6,PG PP PP PG PG,39610,Cole Palmer - 14,Robert Sánchez,
5,Manchester City,28,14,5,9,53,38,15,47,1.68,49.7,37.4,12.3,0.44,PP PG PP PG PP,52897,Erling Haaland - 20,Ederson,
6,Brighton,28,12,10,6,46,40,6,46,1.64,41.6,39.3,2.3,0.08,PP PG PG PG PG,32173,João Pedro - 8,Bart Verbruggen,
7,Aston Villa,29,12,9,8,41,45,-4,45,1.55,41.2,40.0,1.1,0.04,PE PE PG PP PG,41958,Ollie Watkins - 13,Emiliano Martínez,
8,Bournemouth,28,12,8,8,47,34,13,44,1.57,51.3,37.9,13.4,0.48,PP PG PP PP PE,11213,Justin Kluivert - 12,Kepa Arrizabalaga,
9,Newcastle Utd,27,13,5,9,46,38,8,44,1.63,44.9,34.7,10.2,0.38,PG PP PP PG PP,52189,Alexander Isak - 19,Nick Pope,
10,Fulham,28,11,9,8,41,38,3,42,1.5,38.8,32.1,6.8,0.24,PG PG PP PG PP,26550,Raúl Jiménez - 10,Bernd Leno,
11,Crystal Palace,28,10,9,9,36,33,3,39,1.39,44.1,35.4,8.8,0.31,PG PP PG PG PG,25108,Jean-Philippe Mateta - 12,Dean Henderson,
12,Brentford,28,11,5,12,48,44,4,38,1.36,43.9,43.6,0.3,0.01,PP PG PG PE PP,19052,Bryan Mbeumo - 15,Mark Flekken,
13,Tottenham,28,10,4,14,55,41,14,34,1.21,46.3,47.4,-1.1,-0.04,PG PG PG PP PE,61294,"James Maddison, Brennan Johnson - 9",Guglielmo Vicario,
14,Manchester Utd,28,9,7,12,34,40,-6,34,1.21,38.0,43.2,-5.3,-0.19,PP PP PE PG PE,73733,Bruno Fernandes - 7,André Onana,
15,Everton,28,7,12,9,31,35,-4,33,1.18,30.6,34.8,-4.2,-0.15,PE PG PE PE PE,38132,"Iliman Ndiaye, Beto - 6",Jordan Pickford,
16,West Ham,27,9,6,12,32,47,-15,33,1.22,35.1,44.8,-9.7,-0.36,PE PP PP PG PG,62464,Jarrod Bowen - 7,Alphonse Areola,
17,Wolves,28,6,5,17,38,57,-19,23,0.82,31.2,44.9,-13.6,-0.49,PG PP PG PP PE,30570,Matheus Cunha - 13,José Sá,
18,Ipswich Town,28,3,8,17,26,58,-32,17,0.61,26.7,55.9,-29.2,-1.04,PP PE PP PP PP,29774,Liam Delap - 10,Arijanet Muric,
19,Leicester City,28,4,5,19,25,62,-37,17,0.61,24.6,52.5,-27.9,-1.0,PP PP PP PP PP,31551,Jamie Vardy - 7,Mads Hermansen,
20,Southampton,28,2,3,23,20,68,-48,9,0.32,25.6,67.2,-41.6,-1.49,PG PP PP PP PP,31098,Joe Aribo - 3,Aaron Ramsdale,
