RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Últimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas
1,Inter,28,18,7,3,63,27,36,61,2.18,51.3,24.8,26.4,0.94,PG PP PG PE PG,70459,Marcus Thuram - 13,Yann Sommer,
2,Napoli,28,18,6,4,45,23,22,60,2.14,39.5,21.2,18.3,0.65,PE PE PP PE PG,49809,Romelu Lukaku - 10,Alex Meret,
3,Atalanta,28,17,7,4,63,26,37,58,2.07,49.6,26.3,23.4,0.83,PG PE PG PE PG,22742,Mateo Retegui - 22,Marco Carnesecchi,
4,Juventus,28,13,13,2,45,25,20,52,1.86,39.6,26.5,13.1,0.47,PG PG PG PG PP,40679,Dušan Vlahović - 9,Michele Di Gregorio,
5,Lazio,27,15,5,7,49,35,14,50,1.85,42.8,29.0,13.8,0.51,PG PG PE PE PG,38776,Valentín Castellanos - 9,Ivan Provedel,
6,Bologna,28,13,11,4,44,34,10,50,1.79,38.0,27.2,10.8,0.38,PG PP PG PG PG,26383,Riccardo Orsolini - 9,Łukasz Skorupski,
7,Roma,28,13,7,8,43,30,13,46,1.64,40.5,30.7,9.8,0.35,PG PG PG PG PG,61255,Artem Dovbyk - 9,Mile Svilar,
8,Fiorentina,28,13,6,9,43,30,13,45,1.61,35.6,30.6,5.0,0.18,PP PP PP PG PP,20313,Moise Kean - 15,David de Gea,
9,Milan,28,12,8,8,42,32,10,44,1.57,47.4,30.6,16.8,0.6,PG PP PP PP PG,71569,"Christian Pulisic, Tijjani Reijnders - 8",Mike Maignan,
10,Udinese,27,11,6,10,34,37,-3,39,1.44,27.5,36.6,-9.0,-0.33,PG PE PG PG PG,20758,Lorenzo Lucca - 10,Maduka Okoye,
11,Torino,28,8,11,9,33,34,-1,35,1.25,25.0,37.9,-12.9,-0.46,PE PP PG PG PE,22843,Che Adams - 8,Vanja Milinković-Savić,
12,Genoa,28,7,11,10,26,36,-10,32,1.14,29.2,35.0,-5.8,-0.21,PE PG PP PE PE,31198,Andrea Pinamonti - 8,Nicola Leali,
13,Como,28,7,8,13,34,44,-10,29,1.04,31.7,30.2,1.5,0.05,PP PG PG PP PE,10435,"Patrick Cutrone, Nicolás Paz - 6","Pepe Reina, Jean Butez",
14,Cagliari,28,6,8,14,28,43,-15,26,0.93,33.0,44.1,-11.1,-0.39,PG PE PP PP PE,16063,Roberto Piccoli - 7,Simone Scuffet,
15,Hellas Verona,28,8,2,18,28,58,-30,26,0.93,27.3,43.8,-16.5,-0.59,PP PP PG PP PP,25987,Casper Tengstedt - 6,Lorenzo Montipò,
16,Lecce,28,6,7,15,20,46,-26,25,0.89,25.7,44.7,-19.0,-0.68,PE PE PP PP PP,26052,Nikola Krstović - 9,Wladimiro Falcone,
17,Parma,28,5,9,14,34,48,-14,24,0.86,33.4,47.4,-14.0,-0.5,PP PP PG PP PE,18634,Ange-Yoan Bonny - 5,Zion Suzuki,
18,Empoli,28,4,10,14,23,45,-22,22,0.79,23.6,38.7,-15.2,-0.54,PP PP PP PE PP,10336,Sebastiano Esposito - 8,Devis Vásquez,
19,Venezia,28,3,10,15,23,42,-19,19,0.68,25.5,43.7,-18.2,-0.65,PP PP PE PE PE,10238,Joel Pohjanpalo - 6,Filip Stankovic,
20,Monza,28,2,8,18,23,48,-25,14,0.5,22.2,39.2,-17.1,-0.61,PP PE PP PP PP,11884,"Milan Đurić, Dany Mota - 4",Stefano Turati,
