Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Carlos Vicente,es ESP,"DL,CC",25-322,26,25,2177,24.2,3,3,6,3,0,0,1,0,2.0,2.0,4.0,5.9,72,39,150,0.12,0.12,0.25,0.12,0.25,0.08,0.16,0.25,0.08,0.25,Partidos
Abdel Abqar,ma MAR,DF,26-001,25,25,2118,23.5,0,1,1,0,0,0,12,0,0.8,0.8,0.2,1.0,15,76,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,Partidos
Nahuel Tenaglia,ar ARG,DF,29-018,24,24,2093,23.3,1,1,2,1,0,0,8,0,1.7,1.7,1.0,2.7,30,65,70,0.04,0.04,0.09,0.04,0.09,0.07,0.04,0.12,0.07,0.12,Partidos
Antonio Sivera,es ESP,PO,28-212,23,23,2000,22.2,0,0,0,0,0,0,4,1,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Antonio Blanco,es ESP,CC,24-231,25,22,1861,20.7,0,1,1,0,0,0,8,1,0.7,0.7,1.4,2.0,5,103,13,0.00,0.05,0.05,0.00,0.05,0.03,0.07,0.10,0.03,0.10,Partidos
Manu Sánchez,es ESP,DF,24-199,23,20,1775,19.7,1,0,1,1,0,0,6,0,1.6,1.6,0.4,2.1,34,58,68,0.05,0.00,0.05,0.05,0.05,0.08,0.02,0.11,0.08,0.11,Partidos
Kiké,es ESP,DL,35-106,26,20,1774,19.7,11,0,11,9,2,2,5,1,7.0,5.4,0.9,6.3,14,36,96,0.56,0.00,0.56,0.46,0.46,0.35,0.05,0.40,0.27,0.32,Partidos
Jon Guridi,es ESP,"CC,DL",30-011,23,18,1435,15.9,2,0,2,1,1,1,4,0,1.9,1.1,0.6,1.7,20,60,58,0.13,0.00,0.13,0.06,0.06,0.12,0.04,0.16,0.07,0.11,Partidos
Moussa Diarra,ml MLI,DF,24-121,22,17,1581,17.6,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.2,11,63,24,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Ander Guevara,es ESP,CC,27-247,24,15,1424,15.8,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,11,84,13,0.00,0.06,0.06,0.00,0.06,0.03,0.03,0.06,0.03,0.06,Partidos
Carlos Martín,es ESP,"DL,CC",22-323,18,12,993,11.0,2,2,4,2,0,0,2,0,2.1,2.1,2.5,4.6,10,14,57,0.18,0.18,0.36,0.18,0.36,0.19,0.23,0.42,0.19,0.42,Partidos
Santiago Mouriño,uy URU,DF,23-026,16,11,1039,11.5,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,11,27,0,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Partidos
Joan Jordán,es ESP,CC,30-248,16,9,923,10.3,4,2,6,2,2,2,1,0,3.2,1.6,1.8,3.4,4,69,24,0.39,0.20,0.59,0.20,0.39,0.31,0.17,0.48,0.16,0.33,Partidos
Tomás Conechny,ar ARG,"DL,CC",26-346,14,9,701,7.8,1,0,1,1,0,0,4,0,2.3,2.3,0.2,2.5,12,14,53,0.13,0.00,0.13,0.13,0.13,0.29,0.03,0.32,0.29,0.32,Partidos
Toni Martínez,es ESP,DL,27-254,21,7,777,8.6,3,0,3,3,0,0,0,0,2.1,2.1,0.6,2.7,11,10,43,0.35,0.00,0.35,0.35,0.35,0.25,0.07,0.32,0.25,0.32,Partidos
Stoichkov,es ESP,"CC,DL",31-126,16,6,699,7.8,0,1,1,0,0,0,1,0,1.1,1.1,1.2,2.3,9,26,41,0.00,0.13,0.13,0.00,0.13,0.14,0.15,0.30,0.14,0.30,Partidos
Pica,es ESP,DF,23-069,8,5,487,5.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,3,15,0,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Partidos
Aleksandar Sedlar,rs SRB,DF,33-088,7,5,426,4.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,6,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Carlos Benavídez,uy URU,CC,26-346,10,5,331,3.7,1,1,2,1,0,0,2,0,0.1,0.1,0.6,0.7,3,18,4,0.27,0.27,0.54,0.27,0.54,0.03,0.17,0.20,0.03,0.20,Partidos
Jesús Owono,gq EQG,PO,24-010,5,4,397,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Abderrahman Rebbach,dz ALG,"DL,CC",26-212,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Partidos
Carles Aleñá,es ESP,"CC,DL",27-065,4,4,356,4.0,0,2,2,0,0,0,1,0,0.4,0.4,0.6,0.9,10,26,13,0.00,0.51,0.51,0.00,0.51,0.09,0.14,0.23,0.09,0.23,Partidos
Asier Villalibre,es ESP,DL,27-162,13,2,282,3.1,1,0,1,0,1,1,1,0,1.6,0.8,0.0,0.8,2,6,16,0.32,0.00,0.32,0.00,0.00,0.49,0.00,0.49,0.24,0.24,Partidos
