Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
David Raya,es ESP,PO,29-177,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
William Saliba,fr FRA,DF,23-352,26,26,2274,25.3,2,0,2,2,0,0,2,1,2.1,2.1,0.5,2.6,13,107,6,0.08,0.00,0.08,0.08,0.08,0.08,0.02,0.10,0.08,0.10,Partidos
Gabriel Magalhães,br BRA,DF,27-082,26,26,2258,25.1,3,1,4,3,0,0,3,0,2.6,2.6,0.9,3.5,9,121,11,0.12,0.04,0.16,0.12,0.16,0.10,0.03,0.14,0.10,0.14,Partidos
Jurriën Timber,nl NED,DF,23-267,25,24,2109,23.4,1,2,3,1,0,0,7,0,0.7,0.7,0.8,1.5,48,126,92,0.04,0.09,0.13,0.04,0.13,0.03,0.03,0.06,0.03,0.06,Partidos
Declan Rice,eng ENG,CC,26-056,26,24,2066,23.0,2,5,7,2,0,0,5,1,1.8,1.8,5.5,7.4,74,149,72,0.09,0.22,0.30,0.09,0.30,0.08,0.24,0.32,0.08,0.32,Partidos
Thomas Partey,gh GHA,"CC,DF",31-271,27,23,2099,23.3,3,2,5,3,0,0,3,0,1.7,1.7,1.9,3.6,28,147,34,0.13,0.09,0.21,0.13,0.21,0.07,0.08,0.16,0.07,0.16,Partidos
Kai Havertz,de GER,"DL,CC",25-273,21,21,1839,20.4,9,3,12,9,0,0,4,0,9.4,9.4,2.4,11.8,34,59,110,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Partidos
Leandro Trossard,be BEL,DL,30-097,28,20,1807,20.1,4,5,9,4,0,0,4,1,4.9,4.9,5.0,9.9,61,78,165,0.20,0.25,0.45,0.20,0.45,0.24,0.25,0.49,0.24,0.49,Partidos
Martin Ødegaard,no NOR,CC,26-084,20,19,1637,18.2,2,3,5,1,1,1,2,0,3.6,2.9,3.6,6.4,60,180,112,0.11,0.16,0.27,0.05,0.22,0.20,0.20,0.40,0.16,0.35,Partidos
Gabriel Martinelli,br BRA,"DL,CC",23-266,23,16,1491,16.6,6,3,9,6,0,0,1,0,4.4,4.4,2.9,7.3,83,28,190,0.36,0.18,0.54,0.36,0.54,0.27,0.17,0.44,0.27,0.44,Partidos
Bukayo Saka,eng ENG,"DL,CC",23-187,16,16,1268,14.1,5,10,15,4,1,1,3,0,4.2,3.4,5.8,9.2,72,53,195,0.35,0.71,1.06,0.28,0.99,0.30,0.41,0.71,0.24,0.65,Partidos
Mikel Merino,es ESP,"CC,DL",28-262,20,11,1059,11.8,4,1,5,4,0,0,2,0,3.5,3.5,1.4,4.9,7,51,68,0.34,0.08,0.42,0.34,0.42,0.30,0.12,0.41,0.30,0.41,Partidos
Riccardo Calafiori,it ITA,DF,22-296,17,11,925,10.3,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.10,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Partidos
Myles Lewis-Skelly,eng ENG,DF,18-166,13,8,676,7.5,1,0,1,1,0,0,2,2,0.0,0.0,0.1,0.2,13,35,18,0.13,0.00,0.13,0.13,0.13,0.01,0.02,0.03,0.01,0.03,Partidos
Ben White,eng ENG,DF,27-154,11,7,706,7.8,0,1,1,0,0,0,2,0,0.2,0.2,0.4,0.6,5,32,18,0.00,0.13,0.13,0.00,0.13,0.02,0.06,0.08,0.02,0.08,Partidos
Ethan Nwaneri,eng ENG,"DL,CC",17-355,18,7,594,6.6,3,1,4,3,0,0,1,0,0.8,0.8,0.8,1.6,34,23,84,0.45,0.15,0.61,0.45,0.61,0.12,0.12,0.24,0.12,0.24,Partidos
Jorginho,it ITA,CC,33-081,12,7,543,6.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.5,9,37,3,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Partidos
Gabriel Jesus,br BRA,DL,27-342,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Partidos
Raheem Sterling,eng ENG,"DL,CC",30-093,12,4,310,3.4,0,1,1,0,0,0,1,0,1.0,1.0,0.3,1.3,18,14,57,0.00,0.29,0.29,0.00,0.29,0.30,0.08,0.38,0.30,0.38,Partidos
Jakub Kiwior,pl POL,DF,25-024,8,2,327,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Oleksandr Zinchenko,ua UKR,"DF,CC",28-086,10,2,299,3.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,21,7,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Partidos
