Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Youri Tielemans,be BEL,CC,27-308,29,29,2491,27.7,2,4,6,2,0,1,4,0,2.6,1.8,5.7,7.5,30,187,35,0.07,0.14,0.22,0.07,0.22,0.09,0.21,0.30,0.07,0.27,Partidos
Emiliano Martínez,ar ARG,PO,32-190,28,28,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Morgan Rogers,eng ENG,"CC,DL",22-228,28,28,2336,26.0,7,4,11,7,0,0,8,0,4.8,4.8,5.2,10.1,91,94,137,0.27,0.15,0.42,0.27,0.42,0.19,0.20,0.39,0.19,0.39,Partidos
Ezri Konsa,eng ENG,DF,27-139,25,25,2171,24.1,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.8,16,59,11,0.04,0.00,0.04,0.04,0.04,0.03,0.01,0.03,0.03,0.03,Partidos
Lucas Digne,fr FRA,DF,31-234,28,25,2061,22.9,0,4,4,0,0,0,3,0,0.8,0.8,4.0,4.8,21,51,132,0.00,0.17,0.17,0.00,0.17,0.03,0.17,0.21,0.03,0.21,Partidos
Ollie Watkins,eng ENG,DL,29-071,29,25,2055,22.8,13,6,19,11,2,2,0,0,13.9,12.3,2.7,14.9,44,22,128,0.57,0.26,0.83,0.48,0.74,0.61,0.12,0.72,0.54,0.65,Partidos
John McGinn,sct SCO,"CC,DL",30-144,25,22,1777,19.7,0,3,3,0,0,0,6,0,2.0,2.0,2.7,4.7,26,83,64,0.00,0.15,0.15,0.00,0.15,0.10,0.13,0.24,0.10,0.24,Partidos
Pau Torres,es ESP,DF,28-054,18,18,1549,17.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,31,70,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Matty Cash,pl POL,"DF,DL",27-216,19,16,1396,15.5,1,1,2,1,0,0,6,0,0.2,0.2,1.0,1.3,38,31,50,0.06,0.06,0.13,0.06,0.13,0.02,0.07,0.08,0.02,0.08,Partidos
Jacob Ramsey,eng ENG,"DL,CC",23-287,21,15,1248,13.9,1,3,4,1,0,0,1,0,1.3,1.3,1.8,3.1,49,58,84,0.07,0.22,0.29,0.07,0.29,0.09,0.13,0.22,0.09,0.22,Partidos
Leon Bailey,jm JAM,"DL,CC",27-214,23,14,1138,12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Partidos
Amadou Onana,be BEL,CC,23-207,17,14,1079,12.0,2,0,2,2,0,0,4,0,1.8,1.8,0.2,2.0,13,36,10,0.17,0.00,0.17,0.17,0.17,0.15,0.02,0.17,0.15,0.17,Partidos
Boubacar Kamara,fr FRA,CC,25-108,17,13,1081,12.0,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.5,11,57,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
Diego Carlos,br BRA,DF,31-361,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
Tyrone Mings,eng ENG,DF,31-363,10,8,781,8.7,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,3,29,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Partidos
Lamare Bogarde,nl NED,"DF,CC",21-065,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Jáder Durán,co COL,DL,21-088,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Partidos
Ian Maatsen,nl NED,DF,23-001,22,4,617,6.9,0,1,1,0,0,0,2,0,0.2,0.2,1.6,1.8,19,33,61,0.00,0.15,0.15,0.00,0.15,0.04,0.23,0.27,0.04,0.27,Partidos
Axel Disasi,fr FRA,DF,27-000,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,8,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Partidos
Andrés García,es ESP,"DF,CC",22-032,5,4,267,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,22,12,19,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
Ross Barkley,eng ENG,CC,31-096,16,3,554,6.2,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,14,32,8,0.49,0.16,0.65,0.49,0.65,0.27,0.09,0.37,0.27,0.37,Partidos
Jaden Philogene Bidace,eng ENG,"DL,CC",23-031,11,2,332,3.7,0,0,0,0,0,0,4,1,0.5,0.5,0.3,0.8,7,4,17,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.20,0.13,0.20,Partidos
Marco Asensio,es ESP,"CC,DL",29-049,4,2,207,2.3,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.6,10,16,7,0.87,0.00,0.87,0.87,0.87,0.62,0.09,0.71,0.62,0.71,Partidos
Marcus Rashford,eng ENG,DL,27-131,5,1,202,2.2,0,2,2,0,0,0,0,0,0.3,0.3,1.9,2.1,13,10,32,0.00,0.89,0.89,0.00,0.89,0.12,0.83,0.95,0.12,0.95,Partidos
Robin Olsen,se SWE,PO,35-062,3,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Donyell Malen,nl NED,DL,26-061,6,1,170,1.9,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,5,3,14,0.00,0.00,0.00,0.00,0.00,0.30,0.02,0.32,0.30,0.32,Partidos
Kosta Nedeljković,rs SRB,DF,19-085,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Emi Buendía,ar ARG,"CC,DL",28-076,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Partidos
Benjamin Broggio,eng ENG,DL,18-041,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Joe Gauci,au AUS,PO,24-250,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Jamaldeen Jimoh,eng ENG,CC,18-160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Sil Swinkels,nl NED,DF,21-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Kadan Young,eng ENG,CC,19-051,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Oliwier Zych,pl POL,PO,20-256,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
