Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Marco Carnesecchi,it ITA,PO,24-253,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Marten de Roon,nl NED,"CC,DF",33-347,27,25,2248,25.0,4,3,7,4,0,0,5,0,0.8,0.8,1.7,2.4,27,187,24,0.16,0.12,0.28,0.16,0.28,0.03,0.07,0.10,0.03,0.10,Partidos
Éderson,br BRA,CC,25-247,28,25,2239,24.9,3,1,4,3,0,0,3,0,2.9,2.9,3.7,6.6,28,160,61,0.12,0.04,0.16,0.12,0.16,0.12,0.15,0.27,0.12,0.27,Partidos
Berat Djimsiti,al ALB,DF,32-020,25,23,1894,21.0,1,2,3,1,0,0,4,0,2.4,2.4,1.2,3.6,19,78,28,0.05,0.10,0.14,0.05,0.14,0.11,0.06,0.17,0.11,0.17,Partidos
Mateo Retegui,it ITA,DL,25-316,26,22,1593,17.7,22,4,26,19,3,4,2,0,13.9,10.7,3.0,13.7,14,29,136,1.24,0.23,1.47,1.07,1.30,0.78,0.17,0.95,0.61,0.78,Partidos
Charles De Ketelaere,be BEL,"CC,DL",24-001,27,21,1666,18.5,5,5,10,5,0,0,1,0,4.4,4.4,5.3,9.7,83,106,170,0.27,0.27,0.54,0.27,0.54,0.24,0.28,0.52,0.24,0.52,Partidos
Ademola Lookman,ng NGA,"DL,CC",27-142,22,20,1567,17.4,13,5,18,12,1,1,4,0,8.9,8.1,5.0,13.1,94,46,213,0.75,0.29,1.03,0.69,0.98,0.51,0.29,0.80,0.47,0.75,Partidos
Isak Hien,se SWE,DF,26-057,22,19,1607,17.9,0,0,0,0,0,0,7,0,0.8,0.8,0.1,0.8,3,29,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Partidos
Sead Kolašinac,ba BIH,DF,31-264,19,19,1589,17.7,0,2,2,0,0,0,5,0,0.8,0.8,1.6,2.4,43,121,39,0.00,0.11,0.11,0.00,0.11,0.04,0.09,0.13,0.04,0.13,Partidos
Raoul Bellanova,it ITA,DF,24-298,24,18,1672,18.6,0,6,6,0,0,0,2,0,1.0,1.0,3.1,4.1,64,69,138,0.00,0.32,0.32,0.00,0.32,0.05,0.17,0.22,0.05,0.22,Partidos
Davide Zappacosta,it ITA,DF,32-273,21,18,1384,15.4,4,2,6,4,0,0,1,0,1.8,1.8,1.4,3.2,43,59,92,0.26,0.13,0.39,0.26,0.39,0.12,0.09,0.21,0.12,0.21,Partidos
Matteo Ruggeri,it ITA,DF,22-243,22,17,1479,16.4,0,2,2,0,0,0,2,0,0.2,0.2,1.6,1.8,46,92,91,0.00,0.12,0.12,0.00,0.12,0.01,0.10,0.11,0.01,0.11,Partidos
Mario Pašalić,hr CRO,CC,30-030,25,17,1459,16.2,2,3,5,2,0,1,1,0,5.7,4.9,2.5,7.4,33,110,49,0.12,0.19,0.31,0.12,0.31,0.35,0.16,0.51,0.30,0.46,Partidos
Marco Brescianini,it ITA,CC,25-050,21,7,793,8.8,3,2,5,3,0,0,1,0,2.8,2.8,0.9,3.8,41,25,58,0.34,0.23,0.57,0.34,0.57,0.32,0.11,0.43,0.32,0.43,Partidos
Odilon Kossounou,ci CIV,DF,24-066,12,7,720,8.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.6,11,29,9,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
Lazar Samardzic,rs SRB,"CC,DL",23-015,25,6,975,10.8,2,1,3,2,0,0,2,0,1.8,1.8,1.7,3.4,44,74,89,0.18,0.09,0.28,0.18,0.28,0.16,0.15,0.32,0.16,0.32,Partidos
Juan Cuadrado,co COL,"DF,CC",36-289,16,5,612,6.8,0,2,2,0,0,0,1,0,0.7,0.7,1.4,2.1,33,42,65,0.00,0.29,0.29,0.00,0.29,0.11,0.20,0.31,0.10,0.31,Partidos
Stefan Posch,at AUT,DF,27-301,4,4,342,3.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,19,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Partidos
