Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Iñaki Williams,gh GHA,"DL,CC",30-269,26,24,2132,23.7,5,8,13,5,0,0,0,0,6.1,6.1,6.7,12.8,93,61,247,0.21,0.34,0.55,0.21,0.55,0.26,0.28,0.54,0.26,0.54,Partidos
Daniel Vivian,es ESP,DF,25-239,23,21,1945,21.6,3,0,3,3,0,0,2,0,1.5,1.5,0.3,1.8,30,133,6,0.14,0.00,0.14,0.14,0.14,0.07,0.02,0.08,0.07,0.08,Partidos
Nico Williams,es ESP,DL,22-242,23,19,1690,18.8,4,5,9,4,0,0,1,0,3.5,3.5,3.0,6.5,106,59,223,0.21,0.27,0.48,0.21,0.48,0.19,0.16,0.35,0.19,0.35,Partidos
Álex Berenguer,es ESP,"DL,CC",29-250,26,19,1586,17.6,5,6,11,5,0,1,3,0,5.8,5.0,4.1,9.2,44,55,143,0.28,0.34,0.62,0.28,0.62,0.33,0.23,0.56,0.29,0.52,Partidos
Mikel Jauregizar,es ESP,CC,21-119,24,18,1543,17.1,2,1,3,2,0,0,4,1,0.7,0.7,1.3,2.1,12,85,22,0.12,0.06,0.17,0.12,0.17,0.04,0.08,0.12,0.04,0.12,Partidos
Oihan Sancet,es ESP,CC,24-320,21,17,1347,15.0,13,1,14,11,2,2,2,0,8.3,6.7,1.4,8.1,42,78,100,0.87,0.07,0.94,0.73,0.80,0.55,0.09,0.65,0.45,0.54,Partidos
Yuri Berchiche,es ESP,DF,35-029,22,15,1469,16.3,0,2,2,0,0,0,3,0,0.5,0.5,2.1,2.6,32,109,49,0.00,0.12,0.12,0.00,0.12,0.03,0.13,0.16,0.03,0.16,Partidos
Yeray Álvarez,es ESP,DF,30-046,16,15,1331,14.8,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,18,93,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Partidos
Aitor Paredes,es ESP,DF,24-316,16,15,1281,14.2,3,0,3,3,0,0,4,1,2.2,2.2,0.0,2.2,2,37,1,0.21,0.00,0.21,0.21,0.21,0.16,0.00,0.16,0.16,0.16,Partidos
Gorka Guruzeta,es ESP,DL,28-180,26,14,1296,14.4,6,2,8,6,0,0,2,0,4.3,4.3,0.8,5.1,4,16,46,0.42,0.14,0.56,0.42,0.56,0.30,0.05,0.36,0.30,0.36,Partidos
