Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Jan Oblak,si SVN,PO,32-063,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Antoine Griezmann,fr FRA,"DL,CC",33-355,27,23,1934,21.5,8,5,13,7,1,2,2,0,6.1,4.5,5.3,9.8,36,114,132,0.37,0.23,0.60,0.33,0.56,0.28,0.25,0.53,0.21,0.46,Partidos
Julián Álvarez,ar ARG,"DL,CC",25-039,27,21,1758,19.5,10,2,12,9,1,1,4,0,8.1,7.3,2.9,10.3,57,54,118,0.51,0.10,0.61,0.46,0.56,0.42,0.15,0.57,0.38,0.53,Partidos
Pablo Barrios,es ESP,CC,21-269,21,19,1601,17.8,0,2,2,0,0,0,4,1,0.9,0.9,1.3,2.3,18,97,49,0.00,0.11,0.11,0.00,0.11,0.05,0.07,0.13,0.05,0.13,Partidos
Marcos Llorente,es ESP,"DF,CC",30-040,22,17,1523,16.9,2,3,5,2,0,0,0,1,0.6,0.6,3.4,4.1,52,64,98,0.12,0.18,0.30,0.12,0.30,0.04,0.20,0.24,0.04,0.24,Partidos
José María Giménez,uy URU,DF,30-050,21,16,1564,17.4,0,1,1,0,0,0,4,0,0.3,0.3,0.2,0.5,1,45,1,0.00,0.06,0.06,0.00,0.06,0.02,0.01,0.03,0.02,0.03,Partidos
Rodrigo De Paul,ar ARG,CC,30-291,25,16,1496,16.6,3,3,6,3,0,0,6,0,1.2,1.2,3.9,5.0,52,169,54,0.18,0.18,0.36,0.18,0.36,0.07,0.23,0.30,0.07,0.30,Partidos
Giuliano Simeone,ar ARG,"CC,DF",22-083,22,16,1210,13.4,1,4,5,1,0,0,3,0,1.8,1.8,2.9,4.7,44,28,117,0.07,0.30,0.37,0.07,0.37,0.14,0.21,0.35,0.14,0.35,Partidos
Samuel Lino,br BRA,"CC,DF",25-078,23,16,1147,12.7,3,2,5,3,0,0,3,0,5.4,5.4,2.2,7.6,48,59,132,0.24,0.16,0.39,0.24,0.39,0.42,0.17,0.59,0.42,0.59,Partidos
Robin Le Normand,es ESP,DF,28-120,17,15,1373,15.3,0,0,0,0,0,0,7,0,1.1,1.1,0.5,1.6,7,39,4,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Partidos
