Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Raphinha,br BRA,"DL,CC",28-087,26,25,2128,23.6,13,7,20,12,1,1,3,0,14.4,13.6,10.3,23.9,73,111,256,0.55,0.30,0.85,0.51,0.80,0.61,0.44,1.04,0.58,1.01,Partidos
Robert Lewandowski,pl POL,DL,36-202,25,24,2006,22.3,21,2,23,18,3,4,1,0,21.9,18.8,2.3,21.1,21,42,117,0.94,0.09,1.03,0.81,0.90,0.98,0.10,1.09,0.84,0.95,Partidos
Jules Koundé,fr FRA,DF,26-119,26,23,2070,23.0,2,3,5,2,0,0,2,0,1.7,1.7,3.5,5.2,33,125,156,0.09,0.13,0.22,0.09,0.22,0.07,0.15,0.23,0.07,0.23,Partidos
Pau Cubarsí,es ESP,DF,18-048,26,23,2055,22.8,0,3,3,0,0,0,3,0,0.7,0.7,1.6,2.3,22,157,5,0.00,0.13,0.13,0.00,0.13,0.03,0.07,0.10,0.03,0.10,Partidos
Pedri,es ESP,CC,22-106,25,23,1927,21.4,4,3,7,4,0,0,2,0,2.0,2.0,5.1,7.0,58,217,83,0.19,0.14,0.33,0.19,0.33,0.09,0.24,0.33,0.09,0.33,Partidos
Lamine Yamal,es ESP,DL,17-241,23,21,1876,20.8,5,11,16,5,0,0,2,0,6.1,6.1,9.4,15.5,118,102,279,0.24,0.53,0.77,0.24,0.77,0.29,0.45,0.74,0.29,0.74,Partidos
Alejandro Balde,es ESP,DF,21-144,23,21,1789,19.9,0,3,3,0,0,0,1,0,0.4,0.4,2.6,3.0,86,74,199,0.00,0.15,0.15,0.00,0.15,0.02,0.13,0.15,0.02,0.15,Partidos
Iñigo Martínez,es ESP,DF,33-298,20,20,1780,19.8,0,2,2,0,0,0,3,0,0.3,0.3,2.2,2.5,51,173,6,0.00,0.10,0.10,0.00,0.10,0.02,0.11,0.13,0.02,0.13,Partidos
Marc Casado,es ESP,CC,21-178,22,19,1545,17.2,1,3,4,1,0,0,4,1,1.1,1.1,1.4,2.4,12,104,24,0.06,0.17,0.23,0.06,0.23,0.06,0.08,0.14,0.06,0.14,Partidos
Iñaki Peña,es ESP,PO,26-009,15,14,1306,14.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Dani Olmo,es ESP,"CC,DL",26-308,16,8,812,9.0,6,2,8,6,0,0,0,0,3.3,3.3,2.3,5.6,24,58,61,0.67,0.22,0.89,0.67,0.89,0.36,0.26,0.62,0.36,0.62,Partidos
Ferrán Torres,es ESP,"DL,CC",25-010,19,7,689,7.7,5,2,7,5,0,0,1,1,4.0,4.0,1.4,5.4,15,22,63,0.65,0.26,0.91,0.65,0.91,0.52,0.18,0.70,0.52,0.70,Partidos
