Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Remo Freuler,ch SUI,CC,32-330,27,27,2393,26.6,0,2,2,0,0,0,5,0,0.9,0.9,1.3,2.2,33,162,45,0.00,0.08,0.08,0.00,0.08,0.04,0.05,0.08,0.04,0.08,Partidos
Sam Beukema,nl NED,DF,26-114,27,25,2292,25.5,0,1,1,0,0,0,0,0,1.0,1.0,0.9,1.9,26,123,6,0.00,0.04,0.04,0.00,0.04,0.04,0.04,0.07,0.04,0.07,Partidos
Santiago Castro,ar ARG,DL,20-163,28,24,2040,22.7,7,4,11,7,0,1,4,0,6.0,5.2,2.2,7.5,14,33,120,0.31,0.18,0.49,0.31,0.49,0.27,0.10,0.37,0.23,0.33,Partidos
Jhon Lucumí,co COL,DF,26-258,23,21,1879,20.9,0,1,1,0,0,0,5,1,0.5,0.5,0.3,0.8,27,83,6,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.04,0.02,0.04,Partidos
Łukasz Skorupski,pl POL,PO,33-310,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Dan Ndoye,ch SUI,DL,24-137,23,20,1609,17.9,6,2,8,4,2,2,2,0,6.0,4.4,2.1,6.5,100,53,184,0.34,0.11,0.45,0.22,0.34,0.33,0.12,0.45,0.25,0.37,Partidos
Jens Odgaard,dk DEN,"CC,DL",25-345,23,18,1490,16.6,5,0,5,5,0,0,1,0,3.0,3.0,1.4,4.4,31,39,80,0.30,0.00,0.30,0.30,0.30,0.18,0.08,0.26,0.18,0.26,Partidos
Juan Miranda,es ESP,DF,25-051,23,17,1584,17.6,0,4,4,0,0,0,3,0,0.4,0.4,4.1,4.5,29,110,67,0.00,0.23,0.23,0.00,0.23,0.02,0.23,0.26,0.02,0.26,Partidos
Riccardo Orsolini,it ITA,DL,28-046,20,15,1221,13.6,9,3,12,6,3,3,0,0,7.3,4.9,2.7,7.6,41,54,130,0.66,0.22,0.88,0.44,0.66,0.54,0.20,0.73,0.36,0.56,Partidos
Nikola Moro,hr CRO,CC,26-364,18,14,1107,12.3,0,2,2,0,0,0,1,0,0.5,0.5,0.8,1.3,17,89,20,0.00,0.16,0.16,0.00,0.16,0.04,0.07,0.11,0.04,0.11,Partidos
Benjamín Domínguez,ar ARG,DL,21-173,16,13,960,10.7,3,2,5,3,0,0,0,0,1.9,1.9,0.4,2.3,44,25,99,0.28,0.19,0.47,0.28,0.47,0.18,0.04,0.22,0.18,0.22,Partidos
Tommaso Pobega,it ITA,CC,25-239,14,11,878,9.8,2,1,3,2,0,0,6,2,1.7,1.6,0.3,1.9,9,29,17,0.21,0.10,0.31,0.21,0.31,0.18,0.03,0.21,0.16,0.20,Partidos
Charalambos Lykogiannis,gr GRE,DF,31-140,14,10,860,9.6,0,4,4,0,0,0,2,0,0.1,0.1,1.5,1.6,9,42,25,0.00,0.42,0.42,0.00,0.42,0.01,0.15,0.16,0.01,0.16,Partidos
Lorenzo De Silvestri,it ITA,DF,36-292,14,10,768,8.5,1,0,1,1,0,0,1,0,0.6,0.6,0.3,0.9,4,32,20,0.12,0.00,0.12,0.12,0.12,0.07,0.03,0.10,0.07,0.10,Partidos
Emil Holm,se SWE,DF,24-302,15,9,864,9.6,1,1,2,1,0,0,3,0,0.5,0.5,0.4,0.8,21,44,34,0.10,0.10,0.21,0.10,0.21,0.05,0.04,0.09,0.05,0.09,Partidos
Federico Ravaglia,it ITA,PO,25-120,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Giovanni Fabbian,it ITA,CC,22-056,22,7,837,9.3,2,1,3,2,0,0,2,0,1.6,1.6,1.1,2.7,12,11,33,0.22,0.11,0.32,0.22,0.32,0.17,0.12,0.29,0.17,0.29,Partidos
Stefan Posch,at AUT,DF,27-301,14,7,714,7.9,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,11,36,35,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Partidos
Nicolò Casale,it ITA,DF,27-025,11,6,599,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,17,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Partidos
Lewis Ferguson,sct SCO,CC,25-199,11,5,533,5.9,1,0,1,0,1,1,0,0,0.8,0.0,0.7,0.7,11,28,16,0.17,0.00,0.17,0.00,0.00,0.14,0.11,0.25,0.00,0.11,Partidos
Michel Aebischer,ch SUI,CC,28-064,9,5,427,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,6,23,10,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Partidos
Thijs Dallinga,nl NED,"DL,CC",24-220,22,4,541,6.0,2,0,2,2,0,0,1,0,3.3,3.3,0.4,3.7,5,10,48,0.33,0.00,0.33,0.33,0.33,0.55,0.07,0.62,0.55,0.62,Partidos
Martin Erlic,hr CRO,DF,27-046,6,4,290,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,11,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
Jesper Karlsson,se SWE,DL,26-229,7,3,298,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.1,0.8,6,6,31,0.30,0.00,0.30,0.30,0.30,0.22,0.03,0.25,0.22,0.25,Partidos
Davide Calabria,it ITA,DF,28-095,5,3,281,3.1,0,1,1,0,0,0,1,0,0.0,0.0,0.9,0.9,3,22,10,0.00,0.32,0.32,0.00,0.32,0.01,0.28,0.28,0.01,0.28,Partidos
Kacper Urbanski,pl POL,CC,20-185,7,1,247,2.7,1,0,1,1,0,0,2,0,0.3,0.3,0.5,0.8,5,15,19,0.36,0.00,0.36,0.36,0.36,0.12,0.17,0.29,0.12,0.29,Partidos
Nicolò Cambiaghi,it ITA,DL,24-073,8,1,226,2.5,1,2,3,1,0,0,0,0,0.3,0.3,1.6,1.9,19,9,20,0.40,0.80,1.19,0.40,1.19,0.12,0.63,0.75,0.12,0.75,Partidos
Samuel Iling-Junior,eng ENG,"DL,CC",21-158,7,0,118,1.3,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.3,5,7,27,0.76,0.00,0.76,0.76,0.76,0.11,0.09,0.19,0.11,0.19,Partidos
Oussama El Azzouzi,ma MAR,CC,23-286,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
