Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Milos Kerkez,hu HUN,DF,21-124,28,28,2447,27.2,2,5,7,2,0,0,4,0,0.5,0.4,3.2,3.6,73,119,136,0.07,0.18,0.26,0.07,0.26,0.02,0.12,0.13,0.02,0.13,Partidos
Antoine Semenyo,gh GHA,DL,25-063,27,27,2375,26.4,7,4,11,7,0,0,8,0,8.1,8.1,5.0,13.1,108,83,216,0.27,0.15,0.42,0.27,0.42,0.31,0.19,0.50,0.31,0.50,Partidos
Illia Zabarnyi,ua UKR,DF,22-191,26,26,2280,25.3,0,0,0,0,0,0,3,1,0.8,0.8,0.5,1.3,18,93,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos
Lewis Cook,eng ENG,"CC,DF",28-036,27,25,2302,25.6,1,3,4,1,0,0,6,0,0.6,0.6,3.6,4.2,28,133,39,0.04,0.12,0.16,0.04,0.16,0.02,0.14,0.17,0.02,0.17,Partidos
Ryan Christie,sct SCO,CC,30-017,27,25,1994,22.2,2,3,5,2,0,0,9,0,1.7,1.7,3.3,5.1,30,130,41,0.09,0.14,0.23,0.09,0.23,0.08,0.15,0.23,0.08,0.23,Partidos
Justin Kluivert,nl NED,"CC,DL",25-310,27,23,1858,20.6,12,6,18,6,6,6,6,0,9.9,5.1,4.3,9.5,60,79,127,0.58,0.29,0.87,0.29,0.58,0.48,0.21,0.69,0.25,0.46,Partidos
Kepa Arrizabalaga,es ESP,PO,30-159,21,21,1890,21.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Evanilson,br BRA,DL,25-156,21,18,1454,16.2,6,0,6,6,0,1,0,0,7.4,6.6,1.2,7.9,20,14,63,0.37,0.00,0.37,0.37,0.37,0.46,0.08,0.54,0.41,0.49,Partidos
Dean Huijsen,es ESP,DF,19-331,22,17,1604,17.8,2,0,2,2,0,0,6,0,1.6,1.6,0.8,2.4,25,74,4,0.11,0.00,0.11,0.11,0.11,0.09,0.05,0.14,0.09,0.14,Partidos
Dango Ouattara,bf BFA,DL,23-028,25,15,1512,16.8,7,4,11,7,0,0,1,0,7.2,7.2,4.5,11.7,57,31,153,0.42,0.24,0.65,0.42,0.65,0.43,0.27,0.70,0.43,0.70,Partidos
Marcus Tavernier,eng ENG,"DL,CC",25-354,21,15,1415,15.7,3,5,8,3,0,0,4,0,5.0,5.0,2.8,7.8,35,89,96,0.19,0.32,0.51,0.19,0.51,0.32,0.18,0.50,0.32,0.50,Partidos
Tyler Adams,us USA,CC,26-025,18,12,1167,13.0,0,3,3,0,0,0,4,0,1.2,1.2,0.7,1.9,7,45,5,0.00,0.23,0.23,0.00,0.23,0.09,0.06,0.15,0.09,0.15,Partidos
Adam Smith,eng ENG,DF,33-316,17,12,1035,11.5,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,7,31,16,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Partidos
Marcos Senesi,ar ARG,DF,27-305,11,11,917,10.2,0,0,0,0,0,0,4,0,0.8,0.8,0.2,1.0,11,45,3,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Partidos
David Brooks,wls WAL,DL,27-246,21,8,724,8.0,2,0,2,2,0,0,3,0,1.7,1.7,1.6,3.3,24,18,65,0.25,0.00,0.25,0.25,0.25,0.21,0.20,0.41,0.21,0.41,Partidos
James Hill,eng ENG,DF,23-060,8,6,412,4.6,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,2,11,6,0.00,0.22,0.22,0.00,0.22,0.06,0.05,0.12,0.06,0.12,Partidos
Mark Travers,ie IRL,PO,25-297,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Julian Araujo,mx MEX,DF,23-210,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Alex Scott,eng ENG,CC,21-202,12,2,380,4.2,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,8,42,17,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Partidos
Enes Ünal,tr TUR,"DL,CC",27-305,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.10,0.82,0.72,0.82,Partidos
Neto,br BRA,PO,35-235,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luis Sinisterra,co COL,"DL,CC",25-267,11,1,218,2.4,1,1,2,1,0,0,0,0,1.2,1.2,1.0,2.2,17,5,35,0.41,0.41,0.83,0.41,0.83,0.49,0.39,0.89,0.49,0.89,Partidos
Philip Billing,dk DEN,CC,28-273,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.82,0.28,0.82,Partidos
Max Aarons,eng ENG,DF,25-066,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Daniel Jebbison,eng ENG,DL,21-210,8,0,64,0.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,2,8,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.57,0.29,0.57,Partidos
Ben Winterburn,eng ENG,CC,20-188,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Remy Rees-Dottin,eng ENG,DL,19-005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Zain Silcott-Duberry,ms MSR,DL,19-245,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
