Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Nathan Collins,ie IRL,DF,23-315,28,28,2520,28.0,2,1,3,2,0,0,4,0,2.3,2.3,1.4,3.7,23,101,17,0.07,0.04,0.11,0.07,0.11,0.08,0.05,0.13,0.08,0.13,Partidos
Bryan Mbeumo,cm CMR,DL,25-216,28,28,2514,27.9,15,4,19,11,4,4,2,0,8.9,5.7,6.5,12.2,96,108,271,0.54,0.14,0.68,0.39,0.54,0.32,0.23,0.55,0.20,0.44,Partidos
Mark Flekken,nl NED,PO,31-271,27,27,2375,26.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Partidos
Keane Lewis-Potter,eng ENG,"DF,DL",24-017,28,26,2279,25.3,1,2,3,1,0,0,4,0,2.5,2.5,2.0,4.5,83,80,126,0.04,0.08,0.12,0.04,0.12,0.10,0.08,0.18,0.10,0.18,Partidos
Mikkel Damsgaard,dk DEN,"CC,DL",24-251,28,25,2132,23.7,2,10,12,2,0,0,2,0,2.3,2.3,7.1,9.4,58,178,98,0.08,0.42,0.51,0.08,0.51,0.10,0.30,0.40,0.10,0.40,Partidos
Vitaly Janelt,de GER,CC,26-305,27,24,2028,22.5,1,3,4,1,0,0,3,0,0.7,0.7,2.2,2.9,16,70,34,0.04,0.13,0.18,0.04,0.18,0.03,0.10,0.13,0.03,0.13,Partidos
Yoane Wissa,cd COD,DL,28-189,25,24,2020,22.4,13,2,15,13,0,0,2,0,13.4,13.4,1.5,14.9,40,45,113,0.58,0.09,0.67,0.58,0.67,0.60,0.07,0.66,0.60,0.66,Partidos
Christian Nørgaard,dk DEN,CC,31-001,24,24,1920,21.3,3,2,5,3,0,0,4,1,2.9,2.9,0.7,3.6,10,103,31,0.14,0.09,0.23,0.14,0.23,0.14,0.03,0.17,0.14,0.17,Partidos
Sepp van den Berg,nl NED,DF,23-081,21,20,1757,19.5,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,6,53,23,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Partidos
Ethan Pinnock,jm JAM,DF,31-286,20,19,1741,19.3,2,0,2,2,0,0,2,0,0.9,0.9,1.2,2.0,3,40,8,0.10,0.00,0.10,0.10,0.10,0.05,0.06,0.11,0.05,0.11,Partidos
Kevin Schade,de GER,DL,23-104,28,16,1491,16.6,7,2,9,7,0,0,2,0,5.6,5.6,2.7,8.2,42,30,112,0.42,0.12,0.54,0.42,0.54,0.34,0.16,0.50,0.34,0.50,Partidos
Kristoffer Ajer,no NOR,DF,26-328,15,14,1134,12.6,0,0,0,0,0,0,4,0,0.7,0.7,1.0,1.7,24,45,33,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.13,0.06,0.13,Partidos
Mads Roerslev,dk DEN,DF,25-260,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,Partidos
Mathias Jensen,dk DEN,CC,29-069,16,8,736,8.2,0,1,1,0,0,0,1,0,0.2,0.2,1.5,1.7,6,52,25,0.00,0.12,0.12,0.00,0.12,0.03,0.18,0.21,0.03,0.21,Partidos
Yehor Yarmoliuk,ua UKR,CC,21-010,21,7,776,8.6,0,0,0,0,0,0,3,0,0.6,0.6,0.3,0.9,12,35,37,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Partidos
Fabio Carvalho,pt POR,"DL,CC",22-193,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.40,0.20,0.59,0.40,0.59,0.49,0.13,0.62,0.49,0.62,Partidos
Ben Mee,eng ENG,DF,35-171,6,2,177,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Hákon Rafn Valdimarsson,is ISL,PO,23-149,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Thiago,br BRA,DL,23-258,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.11,0.07,0.11,Partidos
Edmond-Paris Maghoma,eng ENG,"CC,DL",23-307,7,0,111,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,11,4,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.09,0.18,Partidos
Michael Kayode,it ITA,DF,20-244,4,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.41,0.00,0.41,Partidos
Kim Jisoo,kr KOR,DF,20-077,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Yunus Emre Konak,tr TUR,"CC,DL",19-060,6,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.55,0.55,0.55,Partidos
Frank Onyeka,ng NGA,CC,27-069,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jayden Meghoma,eng ENG,DF,18-256,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Rico Henry,eng ENG,DF,27-246,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ryan Trevitt,eng ENG,CC,21-364,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
