Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Bart Verbruggen,nl NED,PO,22-205,26,26,2340,26.0,0,1,1,0,0,0,4,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,Partidos
Jan Paul van Hecke,nl NED,DF,24-276,26,25,2240,24.9,1,1,2,1,0,0,5,0,1.2,1.2,1.5,2.7,45,182,5,0.04,0.04,0.08,0.04,0.08,0.05,0.06,0.11,0.05,0.11,Partidos
Kaoru Mitoma,jp JPN,"DL,CC",27-295,28,25,2233,24.8,7,3,10,7,0,0,0,0,6.8,6.8,4.3,11.1,124,74,257,0.28,0.12,0.40,0.28,0.40,0.28,0.17,0.45,0.28,0.45,Partidos
Carlos Baleba,cm CMR,CC,21-067,24,22,1862,20.7,2,1,3,2,0,0,7,1,2.4,2.4,0.9,3.4,33,92,23,0.10,0.05,0.15,0.10,0.15,0.12,0.04,0.16,0.12,0.16,Partidos
Joël Veltman,nl NED,DF,33-055,19,19,1643,18.3,0,0,0,0,0,0,4,0,0.5,0.5,0.5,0.9,29,79,32,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Partidos
João Pedro,br BRA,"DL,CC",23-166,22,19,1609,17.9,8,6,14,5,3,3,3,0,6.8,4.4,3.8,8.3,58,60,106,0.45,0.34,0.78,0.28,0.62,0.38,0.21,0.59,0.25,0.46,Partidos
Georginio Rutter,fr FRA,"CC,DL",22-325,27,18,1582,17.6,5,3,8,5,0,0,2,0,4.6,4.6,2.4,7.1,42,63,78,0.28,0.17,0.46,0.28,0.46,0.26,0.14,0.40,0.26,0.40,Partidos
Pervis Estupiñán,ec ECU,DF,27-049,21,17,1602,17.8,0,1,1,0,0,0,3,0,0.6,0.6,1.8,2.4,43,75,83,0.00,0.06,0.06,0.00,0.06,0.03,0.10,0.13,0.03,0.13,Partidos
Lewis Dunk,eng ENG,DF,33-110,19,17,1562,17.4,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,17,111,2,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Partidos
Danny Welbeck,eng ENG,DL,34-105,21,17,1471,16.3,7,4,11,7,0,0,2,0,6.7,6.7,1.0,7.7,17,34,59,0.43,0.24,0.67,0.43,0.67,0.41,0.06,0.47,0.41,0.47,Partidos
Yasin Ayari,se SWE,CC,21-156,24,16,1427,15.9,0,1,1,0,0,0,3,0,1.5,1.5,2.1,3.6,20,53,53,0.00,0.06,0.06,0.00,0.06,0.09,0.13,0.22,0.09,0.22,Partidos
Jack Hinshelwood,eng ENG,"CC,DF",19-334,16,14,1165,12.9,2,0,2,2,0,0,3,0,0.9,0.9,0.3,1.2,12,42,33,0.15,0.00,0.15,0.15,0.15,0.07,0.02,0.09,0.07,0.09,Partidos
