Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Sebastiano Luperto,it ITA,DF,28-186,28,28,2520,28.0,1,3,4,1,0,0,2,0,2.0,2.0,1.2,3.2,19,75,6,0.04,0.11,0.14,0.04,0.14,0.07,0.04,0.11,0.07,0.11,Partidos
Gabriele Zappa,it ITA,DF,25-079,28,28,2459,27.3,2,0,2,2,0,0,3,0,0.8,0.8,3.1,3.9,46,112,60,0.07,0.00,0.07,0.07,0.07,0.03,0.11,0.14,0.03,0.14,Partidos
Roberto Piccoli,it ITA,DL,24-043,28,28,2350,26.1,7,1,8,6,1,1,3,0,9.2,8.4,0.9,9.3,18,30,121,0.27,0.04,0.31,0.23,0.27,0.35,0.04,0.39,0.32,0.36,Partidos
Yerry Mina,co COL,DF,30-169,24,24,1989,22.1,0,0,0,0,0,0,6,1,1.9,1.9,0.3,2.3,11,64,9,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Partidos
Nadir Zortea,it ITA,"DL,CC",25-265,25,23,1893,21.0,5,0,5,5,0,0,2,0,2.3,2.3,1.3,3.7,42,38,99,0.24,0.00,0.24,0.24,0.24,0.11,0.06,0.17,0.11,0.17,Partidos
Tommaso Augello,it ITA,"DF,DL",30-193,28,21,1907,21.2,0,4,4,0,0,0,2,0,0.2,0.2,3.7,3.9,47,83,89,0.00,0.19,0.19,0.00,0.19,0.01,0.17,0.19,0.01,0.19,Partidos
Antoine Makoumbou,cg CGO,CC,26-236,24,21,1658,18.4,0,1,1,0,0,0,3,1,0.3,0.3,0.4,0.7,8,74,12,0.00,0.05,0.05,0.00,0.05,0.02,0.02,0.04,0.02,0.04,Partidos
Michel Ndary Adopo,fr FRA,CC,24-235,25,17,1573,17.5,0,1,1,0,0,0,4,1,0.9,0.9,1.2,2.1,13,68,39,0.00,0.06,0.06,0.00,0.06,0.05,0.07,0.12,0.05,0.12,Partidos
Simone Scuffet,it ITA,PO,28-284,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Zito Luvumbo,ao ANG,"DL,CC",23-002,18,13,1105,12.3,1,1,2,1,0,0,2,0,1.2,1.2,1.6,2.9,49,24,89,0.08,0.08,0.16,0.08,0.16,0.10,0.13,0.23,0.10,0.23,Partidos
Alessandro Deiola,it ITA,CC,29-222,21,12,1048,11.6,0,1,1,0,0,0,4,0,0.7,0.7,0.6,1.2,7,31,27,0.00,0.09,0.09,0.00,0.09,0.06,0.05,0.11,0.06,0.11,Partidos
Nicolas Viola,it ITA,"CC,DL",35-150,20,12,909,10.1,2,1,3,2,0,0,1,0,1.6,1.6,1.7,3.3,17,41,62,0.20,0.10,0.30,0.20,0.30,0.16,0.16,0.33,0.16,0.33,Partidos
Răzvan Marin,ro ROU,CC,28-292,25,11,1124,12.5,3,2,5,1,2,2,4,0,2.2,0.7,3.0,3.7,19,68,22,0.24,0.16,0.40,0.08,0.24,0.18,0.24,0.42,0.05,0.29,Partidos
Adam Obert,sk SVK,DF,22-200,16,11,876,9.7,1,1,2,1,0,0,3,0,0.9,0.9,0.4,1.2,12,45,16,0.10,0.10,0.21,0.10,0.21,0.09,0.04,0.13,0.09,0.13,Partidos
Elia Caprile,it ITA,PO,23-198,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Gianluca Gaetano,it ITA,"CC,DL",24-310,20,8,820,9.1,1,2,3,1,0,0,0,0,4.0,4.0,0.9,4.9,10,32,65,0.11,0.22,0.33,0.11,0.33,0.44,0.10,0.54,0.44,0.54,Partidos
Mattia Felici,it ITA,"CC,DL",23-328,17,8,816,9.1,0,3,3,0,0,0,1,0,0.6,0.6,1.0,1.6,37,16,67,0.00,0.33,0.33,0.00,0.33,0.07,0.11,0.18,0.07,0.18,Partidos
Alen Sherri,al ALB,PO,27-086,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Paulo Azzi,br BRA,DF,30-239,6,5,426,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.4,15,13,26,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.30,0.11,0.30,Partidos
Matteo Prati,it ITA,CC,21-073,7,4,268,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,1,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.17,0.00,0.17,Partidos
José Luis Palomino,ar ARG,DF,35-065,9,3,386,4.3,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,0,10,0,0.23,0.00,0.23,0.23,0.23,0.11,0.00,0.11,0.11,0.11,Partidos
Gianluca Lapadula,pe PER,"DL,CC",35-032,12,1,310,3.4,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.4,7,7,16,0.00,0.00,0.00,0.00,0.00,0.40,0.02,0.42,0.40,0.42,Partidos
Mateusz Wieteska,pl POL,DF,28-028,5,1,184,2.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,5,0,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.18,0.10,0.18,Partidos
Florinel Coman,ro ROU,"DL,CC",26-335,5,1,134,1.5,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,3,3,13,0.67,0.00,0.67,0.67,0.67,0.08,0.00,0.08,0.08,0.08,Partidos
Leonardo Pavoletti,it ITA,"DL,CC",36-105,20,0,308,3.4,1,0,1,1,0,0,3,0,1.7,1.7,1.0,2.7,1,15,17,0.29,0.00,0.29,0.29,0.29,0.48,0.29,0.77,0.48,0.77,Partidos
Kingstone Mutandwa,zm ZAM,"CC,DL",22-065,3,0,50,0.6,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,1,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.55,0.55,0.55,Partidos
