Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Vicente Guaita,es ESP,PO,38-060,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Carl Starfelt,se SWE,DF,29-283,24,22,1986,22.1,1,0,1,1,0,0,5,0,0.5,0.5,0.2,0.7,6,51,1,0.05,0.00,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,Partidos
Óscar Mingueza,es ESP,"CC,DF",25-302,24,22,1898,21.1,3,5,8,3,0,0,4,1,0.9,0.9,4.7,5.6,47,134,126,0.14,0.24,0.38,0.14,0.38,0.04,0.22,0.27,0.04,0.27,Partidos
Fran Beltrán,es ESP,CC,26-036,23,20,1633,18.1,2,0,2,2,0,0,2,0,0.6,0.6,1.2,1.8,16,101,17,0.11,0.00,0.11,0.11,0.11,0.03,0.06,0.10,0.03,0.10,Partidos
Marcos Alonso,es ESP,DF,34-073,21,19,1800,20.0,1,0,1,0,1,1,8,1,1.5,0.7,0.6,1.3,36,138,35,0.05,0.00,0.05,0.00,0.00,0.08,0.03,0.11,0.04,0.07,Partidos
Javi Rodríguez,es ESP,DF,21-258,25,17,1677,18.6,2,2,4,2,0,0,5,0,1.5,1.5,0.9,2.4,19,81,32,0.11,0.11,0.21,0.11,0.21,0.08,0.05,0.13,0.08,0.13,Partidos
Borja Iglesias,es ESP,DL,32-053,27,17,1432,15.9,5,1,6,5,0,0,2,0,5.2,5.2,1.7,6.9,12,25,77,0.31,0.06,0.38,0.31,0.38,0.33,0.11,0.44,0.33,0.44,Partidos
Ilaix Moriba,gn GUI,CC,22-051,23,15,1378,15.3,0,1,1,0,0,0,7,1,0.6,0.6,1.1,1.8,25,73,43,0.00,0.07,0.07,0.00,0.07,0.04,0.07,0.12,0.04,0.12,Partidos
Hugo Álvarez,es ESP,"CC,DF",21-252,22,14,1387,15.4,4,2,6,4,0,0,5,0,2.3,2.3,0.8,3.1,66,48,143,0.26,0.13,0.39,0.26,0.39,0.15,0.05,0.20,0.15,0.20,Partidos
Iago Aspas,es ESP,"DL,CC",37-222,20,14,1326,14.7,8,3,11,4,4,5,4,1,7.3,3.4,2.9,6.2,40,101,105,0.54,0.20,0.75,0.27,0.48,0.50,0.20,0.69,0.23,0.42,Partidos
Williot Swedberg,se SWE,"DL,CC",21-038,24,12,1052,11.7,3,3,6,3,0,0,1,0,4.3,4.3,2.0,6.3,26,23,98,0.26,0.26,0.51,0.26,0.51,0.37,0.17,0.54,0.37,0.54,Partidos
Hugo Sotelo,es ESP,CC,21-082,18,12,1046,11.6,0,0,0,0,0,0,4,0,0.1,0.1,1.3,1.4,18,72,30,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Partidos
Sergio Carreira,es ESP,"CC,DF",24-149,14,11,957,10.6,0,3,3,0,0,0,0,0,0.3,0.3,2.2,2.5,27,32,84,0.00,0.28,0.28,0.00,0.28,0.03,0.20,0.23,0.03,0.23,Partidos
Pablo Durán,es ESP,"DL,CC",23-290,17,10,888,9.9,4,2,6,4,0,0,3,0,2.8,2.8,2.0,4.9,18,18,84,0.41,0.20,0.61,0.41,0.61,0.29,0.21,0.49,0.29,0.49,Partidos
Jonathan Bamba,ci CIV,"DL,CC",28-350,12,10,811,9.0,0,1,1,0,0,0,1,0,0.8,0.8,1.8,2.6,31,30,71,0.00,0.11,0.11,0.00,0.11,0.09,0.20,0.29,0.09,0.29,Partidos
Carlos Dominguez,es ESP,DF,24-028,12,9,737,8.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,6,42,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Partidos
Damián Rodríguez,es ESP,CC,21-359,13,7,713,7.9,0,0,0,0,0,0,3,0,0.0,0.0,0.5,0.6,4,45,5,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Partidos
Javier Manquillo,es ESP,DF,30-310,10,7,515,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,24,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Anastasios Douvikas,gr GRE,DL,25-221,20,6,700,7.8,3,1,4,3,0,0,2,0,4.4,4.4,0.2,4.7,6,6,43,0.39,0.13,0.51,0.39,0.51,0.57,0.03,0.60,0.57,0.60,Partidos
Alfon,es ESP,"DL,CC",25-311,16,6,683,7.6,2,2,4,2,0,0,0,1,3.3,3.3,1.9,5.2,46,12,80,0.26,0.26,0.53,0.26,0.53,0.43,0.25,0.69,0.43,0.69,Partidos
Jailson Siqueira,br BRA,"DF,CC",29-185,10,6,539,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,36,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
Iván Villar,es ESP,PO,27-245,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Franco Cervi,ar ARG,"DL,CC",30-289,6,4,258,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,3,14,21,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Partidos
Fer López,,"DL,CC",,7,3,230,2.6,0,0,0,0,0,0,1,0,0.2,0.2,0.9,1.1,8,13,12,0.00,0.00,0.00,0.00,0.00,0.07,0.35,0.42,0.07,0.42,Partidos
Mihailo Ristić,rs SRB,"CC,DF",29-131,5,3,202,2.2,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,8,0.00,0.45,0.45,0.00,0.45,0.00,0.01,0.01,0.00,0.01,Partidos
Iker Losada,es ESP,"DL,CC",23-222,6,2,230,2.6,1,0,1,1,0,0,1,0,0.7,0.7,0.3,1.0,7,14,16,0.39,0.00,0.39,0.39,0.39,0.27,0.11,0.38,0.27,0.38,Partidos
Yoel Lago,es ESP,DF,20-351,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luca de la Torre,us USA,CC,26-292,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Joseph Aidoo,gh GHA,DF,29-163,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Tadeo Allende,ar ARG,DL,26-019,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jonas El-Abdellaoui,no NOR,DL,19-058,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Martín Conde,es ESP,DF,21-351,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
César Fernández,es ESP,PO,21-042,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Marc Vidal,es ESP,PO,25-025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
