Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Moisés Caicedo,ec ECU,CC,23-129,28,28,2451,27.2,1,2,3,1,0,0,9,0,0.6,0.6,2.6,3.2,31,147,28,0.04,0.07,0.11,0.04,0.11,0.02,0.09,0.12,0.02,0.12,Partidos
Cole Palmer,eng ENG,CC,22-309,28,28,2441,27.1,14,6,20,11,3,4,4,0,15.2,12.1,8.6,20.7,85,157,141,0.52,0.22,0.74,0.41,0.63,0.56,0.32,0.88,0.45,0.76,Partidos
Levi Colwill,eng ENG,DF,22-013,26,26,2339,26.0,1,1,2,1,0,0,6,0,0.7,0.7,1.1,1.8,10,108,7,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,Partidos
Marc Cucurella,es ESP,DF,26-232,26,24,2164,24.0,4,1,5,4,0,0,8,1,2.0,2.0,1.7,3.8,27,89,91,0.17,0.04,0.21,0.17,0.21,0.08,0.07,0.16,0.08,0.16,Partidos
Enzo Fernández,ar ARG,CC,24-053,26,22,2051,22.8,4,5,9,4,0,0,6,0,4.4,4.4,5.0,9.4,39,153,83,0.18,0.22,0.39,0.18,0.39,0.19,0.22,0.41,0.19,0.41,Partidos
Robert Sánchez,es ESP,PO,27-113,22,22,1980,22.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Nicolas Jackson,sn SEN,DL,23-264,23,22,1736,19.3,9,5,14,9,0,0,5,0,11.4,11.4,4.0,15.4,41,27,94,0.47,0.26,0.73,0.47,0.73,0.59,0.21,0.80,0.59,0.80,Partidos
Noni Madueke,eng ENG,DL,23-001,23,19,1453,16.1,7,3,10,7,0,0,3,0,7.6,7.6,3.6,11.2,110,53,179,0.43,0.19,0.62,0.43,0.62,0.47,0.22,0.69,0.47,0.69,Partidos
Malo Gusto,fr FRA,DF,21-296,23,17,1546,17.2,0,1,1,0,0,0,3,0,1.6,1.6,1.0,2.5,38,91,73,0.00,0.06,0.06,0.00,0.06,0.09,0.06,0.15,0.09,0.15,Partidos
Pedro Neto,pt POR,DL,25-002,25,15,1441,16.0,3,4,7,3,0,0,6,0,2.0,2.0,4.3,6.3,89,37,139,0.19,0.25,0.44,0.19,0.44,0.12,0.27,0.39,0.12,0.39,Partidos
Jadon Sancho,eng ENG,DL,24-351,22,15,1355,15.1,2,4,6,2,0,0,1,0,1.6,1.6,3.2,4.8,83,69,173,0.13,0.27,0.40,0.13,0.40,0.11,0.21,0.32,0.11,0.32,Partidos
Wesley Fofana,fr FRA,DF,24-084,13,13,1087,12.1,0,0,0,0,0,0,6,0,0.4,0.4,0.4,0.8,17,30,4,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.03,0.07,Partidos
Tosin Adarabioyo,eng ENG,DF,27-168,15,11,1086,12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,5,30,1,0.08,0.08,0.17,0.08,0.17,0.07,0.02,0.09,0.07,0.09,Partidos
Roméo Lavia,be BEL,CC,21-064,10,8,532,5.9,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,17,6,0.00,0.17,0.17,0.00,0.17,0.03,0.12,0.15,0.03,0.15,Partidos
Christopher Nkunku,fr FRA,DL,27-117,24,7,797,8.9,3,2,5,3,0,0,2,0,4.6,4.5,2.0,6.5,15,24,62,0.34,0.23,0.56,0.34,0.56,0.52,0.23,0.74,0.51,0.74,Partidos
Reece James,eng ENG,"DF,CC",25-093,10,7,600,6.7,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.4,5,37,5,0.15,0.00,0.15,0.15,0.15,0.02,0.04,0.07,0.02,0.07,Partidos
Filip Jørgensen,dk DEN,PO,22-329,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Axel Disasi,fr FRA,DF,27-000,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Partidos
