Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Gabriel Strefezza,br BRA,"DL,CC",27-327,27,26,2032,22.6,3,3,6,3,0,0,3,0,3.1,3.1,2.8,5.9,52,85,123,0.13,0.13,0.27,0.13,0.27,0.14,0.12,0.26,0.14,0.26,Partidos
Nicolás Paz,ar ARG,"CC,DL",20-184,26,22,1983,22.0,6,4,10,6,0,1,4,0,7.6,6.8,4.2,11.0,62,116,114,0.27,0.18,0.45,0.27,0.45,0.34,0.19,0.53,0.31,0.50,Partidos
Marc-Oliver Kempf,de GER,DF,30-042,22,21,1850,20.6,0,0,0,0,0,0,5,1,0.9,0.9,1.1,2.0,14,65,1,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.10,0.04,0.10,Partidos
Alberto Dossena,it ITA,DF,26-149,22,20,1808,20.1,0,2,2,0,0,0,1,1,0.8,0.8,0.7,1.5,4,35,1,0.00,0.10,0.10,0.00,0.10,0.04,0.03,0.07,0.04,0.07,Partidos
Lucas Da Cunha,fr FRA,CC,23-275,26,20,1777,19.7,2,1,3,2,0,0,3,0,1.3,1.3,2.2,3.5,44,89,62,0.10,0.05,0.15,0.10,0.15,0.06,0.11,0.18,0.06,0.18,Partidos
Alieu Fadera,gm GAM,"DL,DF",23-128,24,20,1592,17.7,1,3,4,1,0,0,2,1,1.6,1.6,3.9,5.5,73,35,157,0.06,0.17,0.23,0.06,0.23,0.09,0.22,0.31,0.09,0.31,Partidos
Edoardo Goldaniga,it ITA,DF,31-129,23,19,1722,19.1,0,0,0,0,0,0,9,1,1.5,1.5,0.1,1.6,14,50,7,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Partidos
Patrick Cutrone,it ITA,DL,27-067,26,19,1698,18.9,6,3,9,6,0,1,1,0,5.8,5.0,2.0,7.0,44,25,121,0.32,0.16,0.48,0.32,0.48,0.31,0.10,0.41,0.27,0.37,Partidos
Alberto Moreno,es ESP,DF,32-249,18,17,1361,15.1,0,0,0,0,0,0,4,0,0.3,0.3,0.9,1.2,20,60,47,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Partidos
Máximo Perrone,ar ARG,CC,22-063,17,14,1260,14.0,0,2,2,0,0,0,3,0,0.7,0.7,1.1,1.8,11,60,14,0.00,0.14,0.14,0.00,0.14,0.05,0.08,0.13,0.05,0.13,Partidos
Ignace Van Der Brempt,be BEL,DF,22-344,14,12,1038,11.5,0,1,1,0,0,0,3,0,0.2,0.2,0.4,0.7,16,31,32,0.00,0.09,0.09,0.00,0.09,0.02,0.04,0.06,0.02,0.06,Partidos
Yannik Engelhardt,de GER,"CC,DF",24-032,20,11,1073,11.9,1,1,2,1,0,0,3,0,0.6,0.6,1.4,1.9,13,50,16,0.08,0.08,0.17,0.08,0.17,0.05,0.12,0.16,0.05,0.16,Partidos
Jean Butez,fr FRA,PO,29-276,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Pepe Reina,es ESP,PO,42-192,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Assane Diao,es ESP,"DL,CC",19-185,10,9,810,9.0,5,0,5,5,0,0,2,0,2.1,2.1,0.2,2.2,31,19,72,0.56,0.00,0.56,0.56,0.56,0.23,0.02,0.25,0.23,0.25,Partidos
Emil Audero,it ITA,PO,28-052,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Sergi Roberto,es ESP,CC,33-032,10,7,619,6.9,0,1,1,0,0,0,3,0,0.7,0.7,0.7,1.4,8,33,15,0.00,0.15,0.15,0.00,0.15,0.10,0.10,0.20,0.10,0.20,Partidos
Andrea Belotti,it ITA,DL,31-081,18,7,593,6.6,2,0,2,2,0,0,1,0,2.5,2.5,0.4,2.8,9,9,33,0.30,0.00,0.30,0.30,0.30,0.37,0.05,0.43,0.37,0.43,Partidos
Álex Valle,es ESP,DF,20-320,6,6,499,5.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,20,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06,Partidos
Maxence Caqueret,fr FRA,CC,25-024,8,6,466,5.2,0,2,2,0,0,0,2,0,0.0,0.0,0.5,0.5,6,22,12,0.00,0.39,0.39,0.00,0.39,0.00,0.09,0.09,0.00,0.09,Partidos
Federico Barba,it ITA,DF,31-191,7,5,431,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,25,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Ivan Smolčić,hr CRO,DF,24-206,5,5,415,4.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,20,7,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos
Alessio Iovine,it ITA,"DF,DL",34-038,9,3,377,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,9,6,7,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Partidos
Luca Mazzitelli,it ITA,CC,29-116,11,3,335,3.7,1,1,2,1,0,0,1,0,0.2,0.2,0.6,0.8,2,27,14,0.27,0.27,0.54,0.27,0.54,0.06,0.15,0.21,0.06,0.21,Partidos
Matthias Braunöder,at AUT,CC,22-349,8,3,268,3.0,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,2,18,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Marco Sala,it ITA,DF,25-280,8,3,261,2.9,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10,16,16,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidos
Fellipe Jack,br BRA,DF,19-058,7,1,171,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
Daniele Baselli,it ITA,CC,32-364,2,1,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jonathan Ikone,fr FRA,"DL,CC",26-313,5,0,121,1.3,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,6,3,9,0.74,0.00,0.74,0.74,0.74,0.26,0.02,0.28,0.26,0.28,Partidos
Simone Verdi,it ITA,"CC,DL",32-242,9,0,115,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,3,5,13,0.00,0.00,0.00,0.00,0.00,0.09,0.39,0.47,0.09,0.47,Partidos
Alessandro Gabrielloni,it ITA,"DL,CC",30-244,11,0,109,1.2,1,1,2,1,0,0,1,0,0.3,0.3,0.8,1.0,4,5,11,0.83,0.83,1.65,0.83,1.65,0.21,0.64,0.86,0.21,0.86,Partidos
Alberto Cerri,it ITA,DL,28-329,5,0,87,1.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0,0,11,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05,Partidos
Anastasios Douvikas,gr GRE,DL,25-221,4,0,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ben Lhassine Kone,ci CIV,CC,24-362,4,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Mërgim Vojvoda,xk KVX,DF,30-038,2,0,36,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Partidos
Ali Jasim,iq IRQ,"DL,DF",21-050,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Oliver Abildgaard,dk DEN,CC,28-274,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Dele Alli,eng ENG,"DL,CC",28-334,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Francesco Andrealli,it ITA,CC,17-218,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Tommaso Cassandro,it ITA,DF,25-061,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alessio Chiesa,it ITA,DF,18-266,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Federico Chinetti,it ITA,DL,20-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
William Feola,it ITA,DF,19-066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Sven Lesjak,hr CRO,CC,18-200,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Giuseppe Mazzaglia,it ITA,CC,18-325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Naj Razi,ie IRL,DL,18-134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Mauro Vigorito,it ITA,PO,34-293,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
