Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Dean Henderson,eng ENG,PO,27-364,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Tyrick Mitchell,eng ENG,DF,25-191,28,28,2400,26.7,0,4,4,0,0,0,2,0,1.2,1.2,5.3,6.5,49,54,136,0.00,0.15,0.15,0.00,0.15,0.05,0.20,0.25,0.05,0.25,Partidos
Marc Guéhi,eng ENG,DF,24-241,27,27,2430,27.0,3,2,5,3,0,0,7,0,1.6,1.6,1.1,2.7,15,109,8,0.11,0.07,0.19,0.11,0.19,0.06,0.04,0.10,0.06,0.10,Partidos
Daniel Muñoz,co COL,DF,28-289,27,27,2343,26.0,3,4,7,3,0,0,7,0,4.1,4.1,3.8,7.9,37,63,160,0.12,0.15,0.27,0.12,0.27,0.16,0.15,0.30,0.16,0.30,Partidos
Maxence Lacroix,fr FRA,DF,24-339,25,25,2245,24.9,1,1,2,1,0,0,4,0,2.5,2.5,0.4,2.9,8,51,5,0.04,0.04,0.08,0.04,0.08,0.10,0.02,0.12,0.10,0.12,Partidos
Jean-Philippe Mateta,fr FRA,DL,27-256,27,25,2132,23.7,12,2,14,10,2,2,2,0,11.3,9.7,3.0,12.7,31,42,100,0.51,0.08,0.59,0.42,0.51,0.48,0.13,0.60,0.41,0.53,Partidos
Eberechi Eze,eng ENG,"CC,DL",26-255,24,22,1924,21.4,2,6,8,2,0,0,1,0,6.1,6.1,4.6,10.7,56,80,127,0.09,0.28,0.37,0.09,0.37,0.29,0.21,0.50,0.29,0.50,Partidos
Ismaila Sarr,sn SEN,"CC,DL",27-014,28,21,1930,21.4,7,3,10,7,0,0,3,0,7.8,7.8,5.7,13.5,52,61,140,0.33,0.14,0.47,0.33,0.47,0.36,0.27,0.63,0.36,0.63,Partidos
Will Hughes,eng ENG,CC,29-328,24,19,1641,18.2,0,3,3,0,0,0,10,0,0.9,0.9,2.5,3.4,18,79,24,0.00,0.16,0.16,0.00,0.16,0.05,0.14,0.19,0.05,0.19,Partidos
Jefferson Lerma,co COL,CC,30-137,23,18,1541,17.1,0,0,0,0,0,0,5,0,0.9,0.9,1.4,2.4,9,75,24,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Partidos
Chris Richards,us USA,DF,24-348,17,15,1338,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,5,33,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
Trevoh Chalobah,eng ENG,DF,25-249,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Partidos
Daichi Kamada,jp JPN,CC,28-218,24,10,986,11.0,0,0,0,0,0,0,2,1,0.8,0.8,1.1,1.9,17,58,41,0.00,0.00,0.00,0.00,0.00,0.08,0.10,0.18,0.08,0.18,Partidos
Adam Wharton,eng ENG,CC,20-282,13,10,843,9.4,0,0,0,0,0,0,1,0,0.3,0.3,2.0,2.2,9,88,10,0.00,0.00,0.00,0.00,0.00,0.03,0.21,0.24,0.03,0.24,Partidos
Eddie Nketiah,eng ENG,"CC,DL",25-285,20,7,708,7.9,1,1,2,1,0,0,3,0,3.3,3.3,1.5,4.8,32,15,55,0.13,0.13,0.25,0.13,0.25,0.42,0.19,0.61,0.42,0.61,Partidos
Cheick Doucouré,ml MLI,CC,25-062,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
Nathaniel Clyne,eng ENG,"DF,CC",33-340,11,4,397,4.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
Justin Devenny,nir NIR,CC,21-151,14,3,318,3.5,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,3,9,9,0.28,0.00,0.28,0.28,0.28,0.14,0.10,0.24,0.14,0.24,Partidos
Odsonne Édouard,fr FRA,"CC,DL",27-054,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Partidos
Joachim Andersen,dk DEN,DF,28-284,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Chadi Riad,ma MAR,DF,21-267,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jeffrey Schlupp,gh GHA,"CC,DF",32-078,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Partidos
Ben Chilwell,eng ENG,"DF,CC",28-080,3,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,0,2,5,0.00,0.00,0.00,0.00,0.00,0.08,0.25,0.33,0.08,0.33,Partidos
Jordan Ayew,gh GHA,"DL,CC",33-181,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Partidos
Caleb Kporha,eng ENG,DF,18-239,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Romain Esse,eng ENG,CC,19-302,2,0,8,0.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,1,2,11.25,0.00,11.25,11.25,11.25,3.21,0.00,3.21,3.21,3.21,Partidos
Asher Agbinone,eng ENG,CC,19-164,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Partidos
Naouirou Ahamada,fr FRA,CC,22-347,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Matheus França,br BRA,DL,20-344,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Rob Holding,eng ENG,DF,29-172,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Sam Johnstone,eng ENG,PO,31-351,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Zachariah Marsh,eng ENG,DL,19-156,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Remi Matthews,eng ENG,PO,31-029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Kaden Rodney,eng ENG,"DF,CC",20-155,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Matt Turner,us USA,PO,30-260,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Franco Umeh-Chibueze,ie IRL,CC,20-044,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Joel Ward,eng ENG,"DF,CC",35-133,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
