Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Emmanuel Gyasi,gh GHA,"DF,DL",31-059,28,28,2443,27.1,2,1,3,2,0,0,4,0,3.2,3.2,0.5,3.7,16,39,80,0.07,0.04,0.11,0.07,0.11,0.12,0.02,0.13,0.12,0.13,Partidos
Giuseppe Pezzella,it ITA,"DF,DL",27-102,26,25,2068,23.0,0,2,2,0,0,0,5,0,0.4,0.4,2.7,3.0,61,59,101,0.00,0.09,0.09,0.00,0.09,0.02,0.12,0.13,0.02,0.13,Partidos
Lorenzo Colombo,it ITA,"DL,CC",23-003,28,24,1909,21.2,5,2,7,4,1,1,3,0,5.5,4.8,2.5,7.3,23,36,99,0.24,0.09,0.33,0.19,0.28,0.26,0.12,0.38,0.22,0.34,Partidos
Devis Vásquez,co COL,PO,26-303,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ardian Ismajli,al ALB,DF,28-162,23,23,1968,21.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,23,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Saba Goglichidze,ge GEO,DF,20-259,25,22,1941,21.6,0,0,0,0,0,0,0,1,0.1,0.1,0.1,0.2,8,33,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Partidos
Mattia Viti,it ITA,DF,23-046,21,21,1815,20.2,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,11,62,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Partidos
Liam Henderson,sct SCO,CC,28-320,27,19,1703,18.9,0,2,2,0,0,0,8,0,0.4,0.4,2.9,3.3,13,76,40,0.00,0.11,0.11,0.00,0.11,0.02,0.15,0.17,0.02,0.17,Partidos
Sebastiano Esposito,it ITA,"DL,CC",22-252,24,18,1610,17.9,8,0,8,7,1,2,1,0,5.1,3.6,1.6,5.2,25,56,66,0.45,0.00,0.45,0.39,0.39,0.29,0.09,0.38,0.20,0.29,Partidos
Alberto Grassi,it ITA,CC,30-004,19,18,1427,15.9,1,0,1,1,0,0,6,0,0.6,0.6,0.2,0.8,11,43,11,0.06,0.00,0.06,0.06,0.06,0.04,0.01,0.05,0.04,0.05,Partidos
