Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Joan García,es ESP,PO,23-311,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Alex Král,cz CZE,CC,26-296,26,25,2283,25.4,0,1,1,0,0,0,1,0,1.0,1.0,1.5,2.6,42,68,67,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.10,0.04,0.10,Partidos
Omar El Hilali,ma MAR,DF,21-180,25,25,2198,24.4,0,2,2,0,0,0,9,0,0.0,0.0,0.7,0.7,25,64,33,0.00,0.08,0.08,0.00,0.08,0.00,0.03,0.03,0.00,0.03,Partidos
Javi Puado,es ESP,"DL,CC",26-290,24,24,2049,22.8,8,1,9,6,2,2,5,0,6.6,5.0,1.2,6.1,46,47,72,0.35,0.04,0.40,0.26,0.31,0.29,0.05,0.34,0.22,0.27,Partidos
Marash Kumbulla,al ALB,DF,25-031,24,23,2002,22.2,2,0,2,2,0,0,6,0,1.1,1.1,0.0,1.1,9,48,2,0.09,0.00,0.09,0.09,0.09,0.05,0.00,0.05,0.05,0.05,Partidos
Leandro Cabrera,uy URU,DF,33-267,22,21,1890,21.0,2,1,3,2,0,0,3,0,0.6,0.6,0.4,1.0,6,49,3,0.10,0.05,0.14,0.10,0.14,0.03,0.02,0.05,0.03,0.05,Partidos
Jofre,es ESP,"CC,DL",23-267,25,20,1623,18.0,3,3,6,3,0,0,5,0,2.3,2.3,1.7,4.0,46,38,102,0.17,0.17,0.33,0.17,0.33,0.13,0.09,0.22,0.13,0.22,Partidos
Pol Lozano,es ESP,CC,25-156,20,18,1417,15.7,0,0,0,0,0,0,9,0,0.1,0.1,0.5,0.6,11,80,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
Carlos Romero,es ESP,"DF,CC",23-133,22,16,1483,16.5,2,1,3,2,0,0,5,0,1.3,1.3,0.9,2.2,32,40,59,0.12,0.06,0.18,0.12,0.18,0.08,0.06,0.13,0.08,0.13,Partidos
Álvaro Tejero,es ESP,"CC,DF",28-234,23,13,1153,12.8,1,4,5,1,0,0,2,0,0.6,0.6,2.7,3.3,24,39,64,0.08,0.31,0.39,0.08,0.39,0.05,0.21,0.26,0.05,0.26,Partidos
Brian Oliván,es ESP,DF,30-344,17,12,1017,11.3,0,1,1,0,0,0,2,0,0.4,0.4,1.1,1.5,21,40,57,0.00,0.09,0.09,0.00,0.09,0.03,0.10,0.13,0.03,0.13,Partidos
Alejo Véliz,ar ARG,DL,21-173,21,10,947,10.5,1,0,1,1,0,0,2,0,1.8,1.8,0.5,2.4,1,7,23,0.10,0.00,0.10,0.10,0.10,0.17,0.05,0.22,0.17,0.22,Partidos
José Gragera,es ESP,CC,24-101,10,7,569,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,14,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Sergi Gómez,es ESP,DF,32-348,11,6,652,7.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,0,8,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Roberto Férnandez,es ESP,DL,22-251,7,6,498,5.5,2,0,2,2,0,0,1,0,1.0,1.0,0.1,1.2,4,7,13,0.36,0.00,0.36,0.36,0.36,0.19,0.02,0.21,0.19,0.21,Partidos
Antoniu,es ESP,"CC,DL",22-187,15,6,485,5.4,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,17,11,34,0.00,0.19,0.19,0.00,0.19,0.11,0.18,0.29,0.11,0.29,Partidos
Irvin Cardona,fr FRA,"DL,CC",27-215,16,5,606,6.7,1,1,2,1,0,0,1,0,1.1,1.1,0.6,1.7,14,15,43,0.15,0.15,0.30,0.15,0.30,0.16,0.09,0.25,0.16,0.25,Partidos
Walid Cheddira,ma MAR,DL,27-048,17,5,592,6.6,1,1,2,1,0,0,2,0,0.9,0.9,1.2,2.1,7,11,31,0.15,0.15,0.30,0.15,0.30,0.13,0.18,0.31,0.13,0.31,Partidos
Álvaro Aguado,es ESP,CC,28-314,11,4,406,4.5,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.5,9,25,2,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11,Partidos
Urko González,es ESP,CC,23-356,5,4,332,3.7,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,2,15,0,0.00,0.27,0.27,0.00,0.27,0.00,0.02,0.02,0.00,0.02,Partidos
Fernando Calero,es ESP,"DF,CC",29-178,11,3,372,4.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,6,1,0.24,0.00,0.24,0.24,0.24,0.07,0.00,0.07,0.07,0.07,Partidos
Justin Smith,ca CAN,CC,22-035,5,3,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Rafael Bauza,es ESP,CC,20-040,5,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Pere Milla,es ESP,"CC,DL",32-169,10,1,246,2.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,5,5,18,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.14,0.10,0.14,Partidos
Edu Expósito,es ESP,"CC,DL",28-222,7,1,157,1.7,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,4,12,7,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.24,0.05,0.24,Partidos
Naci Ünüvar,nl NED,"CC,DF",21-271,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,4,0.00,0.00,0.00,0.00,0.00,0.14,0.09,0.23,0.14,0.23,Partidos
Alex Almansa,es ESP,DL,21-123,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Català,es ESP,DF,20-207,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Fortuño,es ESP,PO,23-157,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Roger Hinojo,es ESP,DF,20-018,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
José López,es ESP,DF,19-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Fernando Pacheco,es ESP,PO,32-297,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Omar Sadik,ma MAR,DL,20-354,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Salvi,es ESP,CC,33-346,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
