Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Jordan Pickford,eng ENG,PO,31-004,28,28,2520,28.0,0,1,1,0,0,0,6,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Partidos
James Tarkowski,eng ENG,DF,32-112,28,28,2511,27.9,1,1,2,1,0,0,4,0,1.1,1.1,2.2,3.3,8,67,3,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12,Partidos
Vitaliy Mykolenko,ua UKR,DF,25-286,26,26,2272,25.2,0,1,1,0,0,0,2,0,0.4,0.4,1.4,1.8,26,85,62,0.00,0.04,0.04,0.00,0.04,0.02,0.06,0.07,0.02,0.07,Partidos
Idrissa Gana Gueye,sn SEN,CC,35-166,27,25,2177,24.2,0,2,2,0,0,0,6,0,1.0,1.0,1.2,2.2,17,102,18,0.00,0.08,0.08,0.00,0.08,0.04,0.05,0.09,0.04,0.09,Partidos
Abdoulaye Doucouré,ml MLI,CC,32-069,24,23,1913,21.3,2,1,3,2,0,0,4,1,3.0,3.0,1.5,4.5,32,65,67,0.09,0.05,0.14,0.09,0.14,0.14,0.07,0.21,0.14,0.21,Partidos
Iliman Ndiaye,sn SEN,DL,25-005,24,22,1877,20.9,6,0,6,5,1,1,3,0,3.6,2.8,1.5,4.3,71,38,95,0.29,0.00,0.29,0.24,0.24,0.17,0.07,0.25,0.13,0.21,Partidos
Jarrad Branthwaite,eng ENG,DF,22-257,21,19,1718,19.1,0,1,1,0,0,0,3,0,0.8,0.8,0.6,1.3,7,42,1,0.00,0.05,0.05,0.00,0.05,0.04,0.03,0.07,0.04,0.07,Partidos
Dominic Calvert-Lewin,eng ENG,DL,27-360,22,19,1574,17.5,3,1,4,3,0,0,2,0,6.1,6.1,0.6,6.7,22,19,105,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Partidos
Ashley Young,eng ENG,"DF,DL",39-245,25,17,1557,17.3,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,19,81,25,0.06,0.17,0.23,0.06,0.23,0.02,0.09,0.11,0.02,0.11,Partidos
Jack Harrison,eng ENG,DL,28-111,24,16,1426,15.8,1,0,1,1,0,0,0,0,3.0,3.0,3.0,6.0,39,32,83,0.06,0.00,0.06,0.06,0.06,0.19,0.19,0.38,0.19,0.38,Partidos
Jesper Lindstrøm,dk DEN,DL,25-010,24,15,1216,13.5,0,1,1,0,0,0,2,0,2.1,2.1,1.9,4.1,30,24,77,0.00,0.07,0.07,0.00,0.07,0.16,0.14,0.30,0.16,0.30,Partidos
Orel Mangala,be BEL,CC,26-358,19,14,1261,14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.00,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,Partidos
Dwight McNeil,eng ENG,"CC,DL",25-109,13,13,1140,12.7,3,3,6,3,0,0,1,0,0.9,0.9,3.5,4.4,31,60,65,0.24,0.24,0.47,0.24,0.47,0.07,0.27,0.34,0.07,0.34,Partidos
Michael Keane,eng ENG,DF,32-059,10,9,813,9.0,2,0,2,2,0,0,4,0,0.4,0.4,0.1,0.5,1,12,3,0.22,0.00,0.22,0.22,0.22,0.05,0.01,0.06,0.05,0.06,Partidos
James Garner,eng ENG,"CC,DF",23-363,11,8,783,8.7,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,6,20,17,0.00,0.11,0.11,0.00,0.11,0.02,0.11,0.13,0.02,0.13,Partidos
Jake O'Brien,ie IRL,DF,23-300,11,8,761,8.5,1,0,1,1,0,0,3,0,0.2,0.2,0.3,0.6,3,26,16,0.12,0.00,0.12,0.12,0.12,0.03,0.04,0.07,0.03,0.07,Partidos
Beto,gw GNB,DL,27-039,20,7,854,9.5,6,0,6,6,0,0,1,0,5.4,5.4,0.7,6.0,10,5,46,0.63,0.00,0.63,0.63,0.63,0.57,0.07,0.64,0.57,0.64,Partidos
Tim Iroegbunam,eng ENG,CC,21-254,12,4,465,5.2,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,5,12,9,0.00,0.19,0.19,0.00,0.19,0.05,0.04,0.08,0.05,0.08,Partidos
Carlos Alcaraz,ar ARG,"CC,DL",22-101,5,2,227,2.5,1,1,2,1,0,0,2,0,0.7,0.7,1.0,1.7,8,12,6,0.40,0.40,0.79,0.40,0.79,0.27,0.40,0.67,0.27,0.67,Partidos
Séamus Coleman,ie IRL,DF,36-151,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Partidos
Armando Broja,al ALB,DL,23-182,5,2,159,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,2,15,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.13,0.06,0.13,Partidos
Roman Dixon,eng ENG,DF,20-075,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Nathan Patterson,sct SCO,"DF,DL",23-146,7,0,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.29,0.05,0.29,Partidos
Harrison Armstrong,eng ENG,CC,18-051,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Partidos
Mason Holgate,eng ENG,"DL,DF",28-140,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Callum Bates,eng ENG,CC,19-164,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Asmir Begović,ba BIH,PO,37-264,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Youssef Chermiti,pt POR,DL,20-291,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Coby Ebere,de GER,CC,19-175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Isaac Heath,eng ENG,DL,20-134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Neal Maupay,fr FRA,"DL,CC",28-209,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Jenson Metcalfe,eng ENG,CC,20-186,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Martin Sherif,nl NED,DL,18-274,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
João Virgínia,pt POR,PO,25-152,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
