Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Dodô,br BRA,DF,26-114,27,27,2402,26.7,0,3,3,0,0,0,6,0,0.8,0.8,2.7,3.6,100,102,139,0.00,0.11,0.11,0.00,0.11,0.03,0.10,0.13,0.03,0.13,Partidos
Luca Ranieri,it ITA,DF,25-322,27,26,2315,25.7,1,2,3,1,0,0,3,0,0.2,0.2,1.5,1.7,17,58,5,0.04,0.08,0.12,0.04,0.12,0.01,0.06,0.07,0.01,0.07,Partidos
David de Gea,es ESP,PO,34-124,25,25,2250,25.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Partidos
Moise Kean,it ITA,DL,25-011,25,24,2083,23.1,15,3,18,14,1,2,5,0,13.4,11.8,1.8,13.6,29,22,109,0.65,0.13,0.78,0.60,0.73,0.58,0.08,0.65,0.51,0.59,Partidos
Robin Gosens,de GER,DF,30-249,25,22,1971,21.9,3,4,7,3,0,0,5,0,1.4,1.4,1.9,3.3,26,83,63,0.14,0.18,0.32,0.14,0.32,0.06,0.09,0.15,0.06,0.15,Partidos
Pietro Comuzzo,it ITA,DF,20-019,24,21,1903,21.1,0,0,0,0,0,0,5,0,0.4,0.4,0.5,0.9,6,57,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
Andrea Colpani,it ITA,"DL,CC",25-304,22,18,1396,15.5,2,1,3,2,0,0,1,0,2.7,2.7,1.3,3.9,37,56,126,0.13,0.06,0.19,0.13,0.19,0.17,0.08,0.25,0.17,0.25,Partidos
Lucas Beltrán,ar ARG,"CC,DL",23-347,24,17,1521,16.9,4,4,8,2,2,3,3,0,4.9,2.5,2.3,4.8,19,50,71,0.24,0.24,0.47,0.12,0.36,0.29,0.13,0.42,0.15,0.28,Partidos
Danilo Cataldi,it ITA,CC,30-217,19,17,1206,13.4,3,0,3,3,0,0,1,0,1.0,1.0,0.6,1.6,17,67,10,0.22,0.00,0.22,0.22,0.22,0.08,0.04,0.12,0.08,0.12,Partidos
Yacine Adli,fr FRA,CC,24-225,20,14,1120,12.4,3,4,7,3,0,0,3,1,0.5,0.5,2.2,2.6,22,96,23,0.24,0.32,0.56,0.24,0.56,0.04,0.17,0.21,0.04,0.21,Partidos
Rolando Mandragora,it ITA,CC,27-255,19,12,1065,11.8,1,2,3,0,1,1,5,0,1.3,0.5,1.6,2.2,7,43,14,0.08,0.17,0.25,0.00,0.17,0.11,0.14,0.25,0.05,0.18,Partidos
Edoardo Bove,it ITA,"CC,DL",22-299,12,11,851,9.5,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,12,37,24,0.11,0.21,0.32,0.11,0.32,0.06,0.16,0.22,0.06,0.22,Partidos
Albert Guðmundsson,is ISL,"CC,DL",27-269,16,10,776,8.6,5,0,5,3,2,2,2,0,3.5,1.9,0.9,2.8,20,27,33,0.58,0.00,0.58,0.35,0.35,0.40,0.10,0.51,0.22,0.32,Partidos
Riccardo Sottil,it ITA,"DL,CC",25-281,18,8,833,9.3,1,1,2,1,0,0,1,0,0.9,0.9,0.9,1.7,71,18,100,0.11,0.11,0.22,0.11,0.22,0.09,0.09,0.19,0.09,0.19,Partidos
Amir Richardson,ma MAR,CC,23-046,19,6,720,8.0,0,0,0,0,0,0,5,0,0.4,0.4,0.2,0.6,11,32,15,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Partidos
Fabiano Parisi,it ITA,"DF,CC",24-122,18,6,673,7.5,1,0,1,1,0,0,1,0,0.2,0.2,0.7,0.9,15,32,17,0.13,0.00,0.13,0.13,0.13,0.03,0.09,0.12,0.03,0.12,Partidos
Marin Pongračić,hr CRO,DF,27-181,10,6,649,7.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.2,2,11,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
Christian Kouamé,ci CIV,"DL,CC",27-095,18,5,622,6.9,0,1,1,0,0,0,1,0,1.1,1.1,1.5,2.5,7,16,46,0.00,0.14,0.14,0.00,0.14,0.15,0.21,0.37,0.15,0.37,Partidos
Michael Folorunsho,it ITA,"DL,CC",27-032,7,5,482,5.4,0,0,0,0,0,0,4,0,0.7,0.7,0.6,1.3,8,18,22,0.00,0.00,0.00,0.00,0.00,0.13,0.11,0.24,0.13,0.24,Partidos
Cristiano Biraghi,it ITA,DF,32-191,8,5,433,4.8,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,3,15,17,0.21,0.00,0.21,0.21,0.21,0.03,0.06,0.10,0.03,0.10,Partidos
Lucas Martínez Quarta,ar ARG,DF,28-305,8,4,351,3.9,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,3,14,2,0.26,0.00,0.26,0.26,0.26,0.19,0.01,0.19,0.19,0.19,Partidos
Pietro Terracciano,it ITA,PO,35-003,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Nicolò Zaniolo,it ITA,DL,25-252,4,3,248,2.8,0,0,0,0,0,0,1,0,0.6,0.5,0.1,0.7,5,4,15,0.00,0.00,0.00,0.00,0.00,0.21,0.05,0.26,0.19,0.24,Partidos
Nicolò Fagioli,it ITA,CC,24-027,5,2,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,2,16,3,0.00,0.00,0.00,0.00,0.00,0.02,0.24,0.26,0.02,0.26,Partidos
Cher Ndour,it ITA,"CC,DL",20-227,4,2,216,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,10,11,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
Pablo Marí,es ESP,DF,31-192,3,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Sofyan Amrabat,ma MAR,CC,28-202,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
Matias Moreno,ar ARG,DF,21-168,4,2,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Jonathan Ikone,fr FRA,"DL,CC",26-313,14,1,334,3.7,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,12,13,39,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.23,0.21,0.23,Partidos
Michael Kayode,it ITA,"DF,DL",20-244,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,8,6,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.21,0.07,0.21,Partidos
Antonín Barák,cz CZE,CC,30-098,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.00,0.00,0.00,0.00,0.00,0.13,0.47,0.60,0.13,0.60,Partidos
Alessandro Bianco,it ITA,CC,22-161,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Maat Daniel Caprini,it ITA,DL,19-028,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Tommaso Rubino,it ITA,CC,18-121,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.53,0.00,0.53,Partidos
