Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Bernd Leno,de GER,PO,33-007,28,28,2520.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,Partidos
Antonee Robinson,us USA,DF,27-215,28,27,2449.0,27.2,0.0,10.0,10.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,3.8,4.5,94.0,97.0,219.0,0.0,0.37,0.37,0.0,0.37,0.03,0.14,0.16,0.03,0.16,Partidos
Alex Iwobi,ng NGA,"DL,CC",28-312,28,27,2296.0,25.5,7.0,4.0,11.0,7.0,0.0,0.0,1.0,0.0,3.8,3.8,5.7,9.4,110.0,166.0,191.0,0.27,0.16,0.43,0.27,0.43,0.15,0.22,0.37,0.15,0.37,Partidos
Calvin Bassey,ng NGA,DF,25-070,27,26,2354.0,26.2,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.1,1.1,22.0,86.0,11.0,0.04,0.0,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,Partidos
Raúl Jiménez,mx MEX,DL,33-310,28,22,1774.0,19.7,10.0,3.0,13.0,7.0,3.0,3.0,3.0,0.0,10.3,7.9,2.7,10.6,28.0,42.0,98.0,0.51,0.15,0.66,0.36,0.51,0.52,0.14,0.66,0.4,0.54,Partidos
Saša Lukić,rs SRB,CC,28-210,22,21,1738.0,19.3,0.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.8,0.8,2.6,3.4,30.0,73.0,22.0,0.0,0.1,0.1,0.0,0.1,0.04,0.13,0.17,0.04,0.17,Partidos
Emile Smith Rowe,eng ENG,CC,24-226,25,21,1653.0,18.4,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,4.1,4.1,1.1,5.2,50.0,104.0,96.0,0.27,0.11,0.38,0.27,0.38,0.22,0.06,0.28,0.22,0.28,Partidos
Joachim Andersen,dk DEN,DF,28-284,19,19,1683.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.4,0.4,0.3,0.7,11.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Partidos
Andreas Pereira,br BRA,CC,29-069,25,18,1487.0,16.5,2.0,3.0,5.0,2.0,0.0,1.0,7.0,0.0,3.1,2.4,3.5,5.9,17.0,89.0,61.0,0.12,0.18,0.3,0.12,0.3,0.19,0.21,0.4,0.14,0.36,Partidos
Sander Berge,no NOR,CC,27-025,21,17,1554.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.6,0.7,16.0,82.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Partidos
