Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Morten Frendrup,dk DEN,CC,23-338,27,27,2383,26.5,2,0,2,2,0,0,3,0,1.2,1.2,0.6,1.9,17,82,24,0.08,0.00,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Partidos
Aarón Martín,es ESP,DF,27-323,27,27,2356,26.2,0,4,4,0,0,0,4,0,0.7,0.7,4.6,5.3,41,76,90,0.00,0.15,0.15,0.00,0.15,0.03,0.18,0.20,0.03,0.20,Partidos
Johan Vásquez,mx MEX,DF,26-140,27,25,2295,25.5,2,0,2,2,0,0,6,0,2.1,2.1,0.3,2.4,22,72,12,0.08,0.00,0.08,0.08,0.08,0.08,0.01,0.09,0.08,0.09,Partidos
Andrea Pinamonti,it ITA,DL,25-296,27,25,2163,24.0,8,1,9,8,0,1,3,0,6.2,5.5,1.6,7.1,15,36,103,0.33,0.04,0.37,0.33,0.37,0.26,0.07,0.33,0.23,0.30,Partidos
Nicola Leali,it ITA,PO,32-022,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Fabio Miretti,it ITA,"CC,DL",21-220,22,19,1438,16.0,1,3,4,1,0,0,1,0,2.2,2.2,1.8,4.1,31,50,87,0.06,0.19,0.25,0.06,0.25,0.14,0.11,0.25,0.14,0.25,Partidos
Milan Badelj,hr CRO,CC,36-014,21,19,1345,14.9,1,0,1,1,0,0,2,0,1.0,1.0,1.1,2.1,7,80,14,0.07,0.00,0.07,0.07,0.07,0.07,0.07,0.14,0.07,0.14,Partidos
Morten Thorsby,no NOR,CC,28-310,23,18,1539,17.1,0,1,1,0,0,0,4,0,2.2,2.2,1.5,3.7,20,52,55,0.00,0.06,0.06,0.00,0.06,0.13,0.09,0.22,0.13,0.22,Partidos
Mattia Bani,it ITA,DF,31-091,17,17,1333,14.8,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.8,6,23,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Partidos
Stefano Sabelli,it ITA,DF,32-057,24,16,1480,16.4,0,1,1,0,0,0,2,0,0.1,0.1,1.2,1.3,25,60,38,0.00,0.06,0.06,0.00,0.06,0.01,0.07,0.08,0.01,0.08,Partidos
Koni De Winter,be BEL,DF,22-272,16,15,1359,15.1,3,0,3,3,0,0,5,0,1.7,1.7,0.2,1.9,7,42,8,0.20,0.00,0.20,0.20,0.20,0.11,0.01,0.13,0.11,0.13,Partidos
Alessandro Zanoli,it ITA,"DL,DF",24-159,23,15,1340,14.9,0,0,0,0,0,0,3,0,0.3,0.3,1.3,1.6,57,24,73,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Partidos
Vitinha,pt POR,"DL,CC",24-361,18,11,946,10.5,0,2,2,0,0,0,1,0,1.1,1.1,2.7,3.8,22,14,56,0.00,0.19,0.19,0.00,0.19,0.10,0.26,0.36,0.10,0.36,Partidos
Alan Matturro,uy URU,DF,20-151,10,8,767,8.5,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,11,14,8,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
Alessandro Vogliacco,it ITA,DF,26-178,12,8,715,7.9,2,0,2,2,0,0,3,0,1.3,1.3,0.0,1.4,9,26,2,0.25,0.00,0.25,0.25,0.25,0.17,0.00,0.17,0.17,0.17,Partidos
Pierluigi Gollini,it ITA,PO,29-358,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Patrizio Masini,it ITA,CC,24-043,16,6,685,7.6,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11,22,10,0.13,0.00,0.13,0.13,0.13,0.05,0.02,0.06,0.05,0.06,Partidos
Jeff Ekhator,it ITA,"DL,CC",18-120,19,5,640,7.1,1,1,2,1,0,0,1,0,1.3,1.3,0.9,2.3,4,14,44,0.14,0.14,0.28,0.14,0.28,0.19,0.13,0.32,0.19,0.32,Partidos
Junior Messias,br BRA,"CC,DL",33-302,10,5,537,6.0,1,1,2,1,0,1,1,0,2.0,1.1,0.3,1.4,21,22,35,0.17,0.17,0.34,0.17,0.34,0.34,0.05,0.38,0.18,0.23,Partidos
Caleb Ekuban,gh GHA,DL,30-353,13,3,442,4.9,1,3,4,1,0,0,1,0,2.7,2.7,0.7,3.4,4,7,37,0.20,0.61,0.81,0.20,0.81,0.55,0.15,0.70,0.55,0.70,Partidos
Ruslan Malinovskyi,ua UKR,"CC,DL",31-311,6,2,240,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.7,1,19,6,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.25,0.06,0.25,Partidos
Maxwel Cornet,ci CIV,"DL,CC",28-165,6,2,237,2.6,2,1,3,2,0,0,0,0,1.0,1.0,0.6,1.6,8,4,26,0.76,0.38,1.14,0.76,1.14,0.39,0.23,0.61,0.39,0.61,Partidos
Brooke Norton-Cuffy,eng ENG,"DF,CC",21-058,7,2,196,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,6,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Partidos
Emil Bohinen,no NOR,CC,25-364,3,1,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,2,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.09,0.06,0.09,Partidos
Lior Kasa,il ISR,"CC,DL",19-165,5,1,155,1.7,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,6,5,0.00,0.00,0.00,0.00,0.00,0.18,0.04,0.22,0.18,0.22,Partidos
Filippo Melegoni,it ITA,"CC,DL",26-021,3,1,89,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,2,0.00,1.01,1.01,0.00,1.01,0.04,0.51,0.55,0.04,0.55,Partidos
Honest Ahanor,it ITA,DF,17-016,2,1,85,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Partidos
Alessandro Marcandalli,it ITA,DF,22-167,2,1,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Mario Balotelli,it ITA,"DL,CC",34-211,6,0,62,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,5,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
Jean Onana,cm CMR,CC,25-062,3,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
David Akpan Ankeye,ng NGA,"DL,CC",23-025,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Lorenzo Venturino,it ITA,"DL,CC",18-262,2,0,34,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2,2,1,0.00,0.00,0.00,0.00,0.00,0.79,0.41,1.20,0.79,1.20,Partidos
Gastón Pereiro,uy URU,CC,29-273,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
