Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
David Soria,es ESP,PO,31-341,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Djené,tg TOG,"DF,CC",33-070,25,25,2072,23.0,0,0,0,0,0,0,8,0,0.3,0.3,0.6,0.9,14,59,16,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
Diego Rico,es ESP,DF,32-016,25,24,2157,24.0,0,3,3,0,0,0,6,0,0.3,0.3,2.2,2.5,21,104,71,0.00,0.13,0.13,0.00,0.13,0.01,0.09,0.11,0.01,0.11,Partidos
Omar Alderete,py PAR,DF,28-075,24,24,2136,23.7,0,0,0,0,0,0,7,0,0.7,0.7,0.9,1.6,23,83,5,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Partidos
Chrisantus Uche,ng NGA,"DL,CC",21-296,26,23,1969,21.9,3,2,5,3,0,0,6,0,3.4,3.4,1.6,4.9,31,37,122,0.14,0.09,0.23,0.14,0.23,0.15,0.07,0.23,0.15,0.23,Partidos
Iglesias,es ESP,DF,26-251,26,22,2057,22.9,0,1,1,0,0,0,3,0,0.5,0.5,1.5,2.0,26,60,50,0.00,0.04,0.04,0.00,0.04,0.02,0.07,0.09,0.02,0.09,Partidos
Luis Milla,es ESP,CC,30-155,23,22,1980,22.0,1,2,3,0,1,1,3,0,1.5,0.7,2.1,2.8,23,110,22,0.05,0.09,0.14,0.00,0.09,0.07,0.10,0.16,0.03,0.13,Partidos
Mauro Arambarri,uy URU,CC,29-162,25,21,1807,20.1,8,0,8,5,3,3,8,0,5.9,3.5,0.3,3.9,10,52,31,0.40,0.00,0.40,0.25,0.25,0.29,0.02,0.31,0.18,0.19,Partidos
Carles Pérez,es ESP,"CC,DL",27-023,22,14,1283,14.3,2,0,2,2,0,0,2,0,2.2,2.2,1.5,3.7,24,17,68,0.14,0.00,0.14,0.14,0.14,0.16,0.10,0.26,0.16,0.26,Partidos
Alex Sola,es ESP,"CC,DL",25-275,19,13,1029,11.4,0,1,1,0,0,0,4,0,1.0,1.0,0.7,1.6,24,23,61,0.00,0.09,0.09,0.00,0.09,0.08,0.06,0.14,0.08,0.14,Partidos
Bertuğ Yıldırım,tr TUR,DL,22-242,17,12,925,10.3,1,0,1,1,0,0,7,0,2.4,2.4,0.9,3.2,6,10,38,0.10,0.00,0.10,0.10,0.10,0.23,0.08,0.31,0.23,0.31,Partidos
