Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Paulo Gazzaniga,ar ARG,PO,33-068,27,27,2385,26.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Miguel Gutiérrez,es ESP,"DF,CC",23-227,24,24,2024,22.5,1,4,5,1,0,0,3,0,1.5,1.5,3.8,5.3,51,91,169,0.04,0.18,0.22,0.04,0.22,0.07,0.17,0.24,0.07,0.24,Partidos
David López,es ESP,DF,35-153,23,22,1958,21.8,1,0,1,1,0,0,3,0,0.8,0.8,0.1,0.8,14,98,5,0.05,0.00,0.05,0.05,0.05,0.04,0.00,0.04,0.04,0.04,Partidos
Arnau Martinez,es ESP,"DF,CC",21-320,23,21,1870,20.8,2,2,4,2,0,0,2,0,1.2,1.2,1.8,2.9,30,132,73,0.10,0.10,0.19,0.10,0.19,0.06,0.09,0.14,0.06,0.14,Partidos
Bryan Gil,es ESP,"DL,CC",24-028,25,21,1721,19.1,3,3,6,3,0,0,4,0,2.3,2.3,2.9,5.2,77,74,210,0.16,0.16,0.31,0.16,0.31,0.12,0.15,0.27,0.12,0.27,Partidos
Daley Blind,nl NED,DF,35-002,23,20,1790,19.9,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.0,48,185,37,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Partidos
Iván Martín,es ESP,CC,26-025,23,19,1628,18.1,1,1,2,1,0,0,1,0,1.0,1.0,1.8,2.8,45,108,56,0.06,0.06,0.11,0.06,0.11,0.05,0.10,0.15,0.05,0.15,Partidos
Ladislav Krejčí,cz CZE,DF,25-325,18,17,1540,17.1,2,0,2,2,0,0,8,0,1.3,1.3,0.1,1.4,21,95,5,0.12,0.00,0.12,0.12,0.12,0.08,0.01,0.08,0.08,0.08,Partidos
Yangel Herrera,ve VEN,CC,27-056,19,17,1420,15.8,4,3,7,4,0,0,7,1,2.5,2.5,1.4,3.9,16,80,62,0.25,0.19,0.44,0.25,0.44,0.16,0.09,0.25,0.16,0.25,Partidos
Donny van de Beek,nl NED,CC,27-327,21,15,1260,14.0,2,2,4,2,0,0,4,0,1.3,1.2,3.1,4.3,14,41,81,0.14,0.14,0.29,0.14,0.29,0.09,0.22,0.31,0.09,0.31,Partidos
Abel Ruiz,es ESP,DL,25-042,17,14,1099,12.2,4,0,4,3,1,2,3,0,4.5,3.0,0.4,3.3,16,18,57,0.33,0.00,0.33,0.25,0.25,0.37,0.03,0.40,0.24,0.27,Partidos
Oriol Romeu,es ESP,CC,33-168,17,14,1064,11.8,0,0,0,0,0,0,5,0,0.1,0.1,0.2,0.3,14,56,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Viktor Tsyhankov,ua UKR,"DL,CC",27-116,16,13,1085,12.1,2,4,6,2,0,0,1,0,1.9,1.9,1.8,3.7,33,44,123,0.17,0.33,0.50,0.17,0.50,0.16,0.15,0.31,0.16,0.31,Partidos
Bojan Miovski,mk MKD,DL,25-260,14,11,789,8.8,2,1,3,2,0,0,0,0,2.7,2.7,0.2,2.9,3,3,32,0.23,0.11,0.34,0.23,0.34,0.31,0.02,0.33,0.31,0.33,Partidos
Arnaut Danjuma,nl NED,"DL,CC",28-039,17,10,880,9.8,1,0,1,1,0,0,2,0,1.8,1.8,1.0,2.7,59,28,117,0.10,0.00,0.10,0.10,0.10,0.18,0.10,0.28,0.18,0.28,Partidos
Yaser Asprilla,co COL,"DL,CC",21-112,17,9,873,9.7,2,0,2,2,0,0,2,0,1.3,1.3,1.3,2.6,43,60,96,0.21,0.00,0.21,0.21,0.21,0.14,0.13,0.27,0.14,0.27,Partidos
Alejandro Francés,es ESP,DF,22-222,11,8,710,7.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,10,38,11,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
Juanpe,es ESP,DF,33-315,9,7,605,6.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,25,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Partidos
Jhon Solis,co COL,CC,20-159,13,2,418,4.6,1,0,1,1,0,0,2,0,0.6,0.6,0.1,0.7,6,26,11,0.22,0.00,0.22,0.22,0.22,0.13,0.02,0.14,0.13,0.14,Partidos
Silvi Clúa,es ESP,CC,20-041,4,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
Cristhian Stuani,uy URU,DL,38-150,21,1,535,5.9,5,2,7,2,3,3,2,0,5.8,3.6,0.4,4.0,1,4,18,0.84,0.34,1.18,0.34,0.67,0.98,0.07,1.05,0.60,0.67,Partidos
Portu,es ESP,"DL,CC",32-294,16,1,306,3.4,0,1,1,0,0,0,4,0,0.0,0.0,0.4,0.5,7,9,40,0.00,0.29,0.29,0.00,0.29,0.01,0.13,0.14,0.01,0.14,Partidos
Gabriel Osei Misehouy,nl NED,"DL,CC",19-236,8,1,246,2.7,1,0,1,1,0,0,0,0,0.9,0.9,0.3,1.2,5,15,22,0.37,0.00,0.37,0.37,0.37,0.33,0.09,0.42,0.33,0.42,Partidos
Arthur Melo,br BRA,CC,28-211,4,1,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,6,22,5,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Partidos
Iker Almena,es ESP,"DL,DF",20-311,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Partidos
Papa Ba,es ESP,CC,20-180,1,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Partidos
Pau López,es ESP,PO,30-088,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Kim Minsu,kr KOR,"CC,DL",19-051,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ferrán Ruiz,es ESP,CC,21-319,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Juan Carlos,es ESP,PO,37-050,0,0,,0.0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,Partidos
Aleksandar Andreev,bg BUL,PO,18-351,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Ricard Artero,es ESP,CC,22-034,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Dawda Camara,mr MTN,DL,22-127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Enric García,es ESP,CC,19-011,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Jastin García,es ESP,DL,21-055,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Lucas García,es ESP,PO,21-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Raúl Martínez,es ESP,CC,23-016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Joel Roca,es ESP,DL,19-277,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Toni Villa,es ESP,CC,30-063,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Krapyvtsov Vladyslav,ua UKR,PO,19-259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Antal Yaakobishvili,hu HUN,DF,20-242,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
