Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Lorenzo Montipò,it ITA,PO,29-019,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jackson Tchatchoua,cm CMR,"DF,CC",23-178,26,26,2267,25.2,2,2,4,2,0,0,6,1,1.5,1.5,1.8,3.2,64,52,118,0.08,0.08,0.16,0.08,0.16,0.06,0.07,0.13,0.06,0.13,Partidos
Diego Coppola,it ITA,DF,21-073,25,24,2117,23.5,1,0,1,1,0,0,9,0,0.5,0.5,0.1,0.6,4,39,2,0.04,0.00,0.04,0.04,0.04,0.02,0.00,0.02,0.02,0.02,Partidos
Tomáš Suslov,sk SVK,"CC,DL",22-277,25,22,1760,19.6,0,0,0,0,0,0,6,1,1.5,1.5,1.7,3.3,30,75,68,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,Partidos
Ondrej Duda,sk SVK,CC,30-096,19,18,1611,17.9,0,2,2,0,0,0,10,1,0.6,0.6,2.5,3.1,12,71,16,0.00,0.11,0.11,0.00,0.11,0.03,0.14,0.17,0.03,0.17,Partidos
Casper Tengstedt,dk DEN,"DL,CC",24-283,21,18,1351,15.0,6,1,7,5,1,1,2,0,5.2,4.4,0.9,5.3,28,26,78,0.40,0.07,0.47,0.33,0.40,0.34,0.06,0.40,0.29,0.35,Partidos
Reda Belahyane,ma MAR,CC,20-283,22,17,1658,18.4,0,2,2,0,0,0,6,1,0.2,0.2,1.0,1.3,22,73,13,0.00,0.11,0.11,0.00,0.11,0.01,0.06,0.07,0.01,0.07,Partidos
Darko Lazović,rs SRB,"DF,DL",34-177,24,17,1393,15.5,1,3,4,0,1,1,0,0,2.0,1.2,3.4,4.6,21,35,85,0.06,0.19,0.26,0.00,0.19,0.13,0.22,0.35,0.08,0.30,Partidos
Paweł Dawidowicz,pl POL,DF,29-295,19,17,1285,14.3,0,0,0,0,0,0,5,1,0.3,0.3,0.0,0.3,8,33,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
Domagoj Bradarić,hr CRO,DF,25-091,19,15,1187,13.2,0,0,0,0,0,0,5,0,0.1,0.1,1.6,1.7,20,24,43,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,Partidos
Amin Sarr,se SWE,DL,24-000,22,15,1150,12.8,3,1,4,3,0,0,0,0,1.8,1.8,2.0,3.8,20,28,60,0.23,0.08,0.31,0.23,0.31,0.14,0.16,0.30,0.14,0.30,Partidos
Daniele Ghilardi,it ITA,DF,22-064,15,12,1225,13.6,0,0,0,0,0,0,5,0,0.4,0.4,0.1,0.6,6,31,3,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
Suat Serdar,de GER,CC,27-334,14,12,937,10.4,1,1,2,1,0,0,4,1,1.7,1.7,0.8,2.6,14,37,15,0.10,0.10,0.19,0.10,0.19,0.17,0.08,0.25,0.17,0.25,Partidos
Giangiacomo Magnani,it ITA,DF,29-158,17,11,1065,11.8,1,0,1,1,0,0,2,0,1.1,1.1,0.0,1.2,4,31,7,0.08,0.00,0.08,0.08,0.08,0.10,0.00,0.10,0.10,0.10,Partidos
Flavius Daniliuc,at AUT,DF,23-318,16,8,904,10.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,34,8,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Partidos
Dailon Livramento,cv CPV,"DL,CC",23-311,20,8,780,8.7,1,1,2,1,0,0,1,1,1.4,1.4,0.8,2.3,20,11,47,0.12,0.12,0.23,0.12,0.23,0.16,0.10,0.26,0.16,0.26,Partidos
Grigoris Kastanos,cy CYP,"CC,DL",27-040,20,8,744,8.3,1,1,2,1,0,0,2,0,0.7,0.7,1.5,2.2,7,28,21,0.12,0.12,0.24,0.12,0.24,0.09,0.18,0.27,0.09,0.27,Partidos
Daniel Mosquera,co COL,DL,25-142,25,6,855,9.5,5,1,6,5,0,0,2,0,4.7,4.7,1.3,6.0,9,19,59,0.53,0.11,0.63,0.53,0.63,0.50,0.13,0.63,0.50,0.63,Partidos
Cheikh Niasse,sn SEN,CC,25-051,6,5,483,5.4,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,4,14,6,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
Abdou Harroui,nl NED,"CC,DL",27-057,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,Partidos
Daniel Bandeira,pt POR,CC,24-334,11,4,407,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,25,4,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
Nicolás Valentini,ar ARG,DF,23-339,5,4,361,4.0,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,0,10,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Martin Frese,dk DEN,DF,27-066,5,3,336,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
Davide Faraoni,it ITA,DF,33-137,7,3,257,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,3,13,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Partidos
Antoine Bernede,fr FRA,"CC,DL",25-289,5,2,167,1.9,1,0,1,1,0,0,0,0,0.7,0.7,0.1,0.8,2,4,7,0.54,0.00,0.54,0.54,0.54,0.38,0.05,0.43,0.38,0.43,Partidos
Simone Perilli,it ITA,PO,30-063,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Daniel Oyegoke,eng ENG,DF,22-067,4,0,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Faride Alidou,de GER,"DL,CC",23-236,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Mathis Lambourde,fr FRA,"DL,CC",19-061,6,0,57,0.6,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,1,0,8,1.58,0.00,1.58,1.58,1.58,0.12,0.14,0.25,0.12,0.25,Partidos
Alphadjo Cissè,it ITA,"DL,CC",18-140,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46,Partidos
Junior Ajayi,ci CIV,DL,20-151,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Yllan Okou,fr FRA,DF,22-078,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
