Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Lautaro Martínez,ar ARG,DL,27-201,26,26,2168,24.1,10,3,13,10,0,0,0,0,11.3,11.3,2.9,14.1,30,58,159,0.42,0.12,0.54,0.42,0.54,0.47,0.12,0.59,0.47,0.59,Partidos
Alessandro Bastoni,it ITA,DF,25-332,27,26,2013,22.4,1,4,5,1,0,0,3,0,0.6,0.6,2.2,2.8,52,138,71,0.04,0.18,0.22,0.04,0.22,0.03,0.10,0.12,0.03,0.12,Partidos
Yann Sommer,ch SUI,PO,36-084,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Henrikh Mkhitaryan,am ARM,CC,36-049,26,25,1966,21.8,1,3,4,1,0,0,3,0,1.4,1.4,1.7,3.1,56,162,82,0.05,0.14,0.18,0.05,0.18,0.06,0.08,0.14,0.06,0.14,Partidos
Nicolò Barella,it ITA,CC,28-032,25,24,1929,21.4,3,5,8,3,0,0,3,0,2.0,2.0,4.1,6.1,52,179,107,0.14,0.23,0.37,0.14,0.37,0.09,0.19,0.28,0.09,0.28,Partidos
Marcus Thuram,fr FRA,DL,27-217,27,23,1907,21.2,13,4,17,13,0,0,1,0,8.6,8.6,3.4,12.0,48,47,146,0.61,0.19,0.80,0.61,0.80,0.41,0.16,0.57,0.41,0.57,Partidos
Federico Dimarco,it ITA,"DF,DL",27-121,24,23,1679,18.7,4,4,8,4,0,0,2,0,2.7,2.7,4.4,7.1,32,67,192,0.21,0.21,0.43,0.21,0.43,0.14,0.23,0.37,0.14,0.37,Partidos
Denzel Dumfries,nl NED,"DF,DL",28-327,24,18,1696,18.8,6,2,8,6,0,0,4,0,5.1,5.1,2.6,7.8,44,43,153,0.32,0.11,0.42,0.32,0.42,0.27,0.14,0.41,0.27,0.41,Partidos
Hakan Çalhanoğlu,tr TUR,CC,31-031,20,18,1291,14.3,5,3,8,2,3,4,3,0,3.9,0.8,3.9,4.7,39,127,32,0.35,0.21,0.56,0.14,0.35,0.27,0.28,0.55,0.05,0.33,Partidos
Stefan de Vrij,nl NED,DF,33-034,22,14,1366,15.2,2,0,2,2,0,0,1,0,0.9,0.9,0.0,0.9,8,66,4,0.13,0.00,0.13,0.13,0.13,0.06,0.00,0.06,0.06,0.06,Partidos
Benjamin Pavard,fr FRA,DF,28-348,19,14,1300,14.4,0,1,1,0,0,0,3,0,0.5,0.5,0.8,1.3,12,86,23,0.00,0.07,0.07,0.00,0.07,0.04,0.06,0.09,0.04,0.09,Partidos
Francesco Acerbi,it ITA,DF,37-029,14,14,1120,12.4,0,1,1,0,0,0,0,0,0.3,0.3,0.5,0.8,9,44,13,0.00,0.08,0.08,0.00,0.08,0.03,0.04,0.06,0.03,0.06,Partidos
Matteo Darmian,it ITA,DF,35-099,21,13,1166,13.0,2,2,4,2,0,0,2,0,1.2,1.2,1.4,2.6,9,25,73,0.15,0.15,0.31,0.15,0.31,0.09,0.11,0.20,0.09,0.20,Partidos
Yann Aurel Bisseck,de GER,DF,24-102,17,11,1069,11.9,1,2,3,1,0,0,3,0,1.6,1.6,0.6,2.2,24,61,30,0.08,0.17,0.25,0.08,0.25,0.13,0.05,0.18,0.13,0.18,Partidos
Carlos Augusto,br BRA,"DF,DL",26-063,19,7,948,10.5,2,1,3,2,0,0,0,0,1.1,1.1,0.8,1.9,15,39,55,0.19,0.09,0.28,0.19,0.28,0.10,0.08,0.18,0.10,0.18,Partidos
Piotr Zieliński,pl POL,CC,30-295,22,6,840,9.3,2,2,4,0,2,2,0,0,2.5,0.9,0.9,1.8,22,57,21,0.21,0.21,0.43,0.00,0.21,0.27,0.09,0.36,0.10,0.19,Partidos
Kristjan Asllani,al ALB,CC,23-002,15,6,603,6.7,0,2,2,0,0,0,3,0,0.8,0.8,1.6,2.4,7,43,17,0.00,0.30,0.30,0.00,0.30,0.12,0.24,0.36,0.12,0.36,Partidos
Davide Frattesi,it ITA,CC,25-140,21,5,836,9.3,4,1,5,4,0,0,1,0,2.3,2.3,0.7,3.0,15,24,29,0.43,0.11,0.54,0.43,0.54,0.25,0.08,0.33,0.25,0.33,Partidos
Mehdi Taremi,ir IRN,DL,32-236,20,4,562,6.2,1,1,2,0,1,1,1,0,2.9,2.1,1.1,3.3,8,22,32,0.16,0.16,0.32,0.00,0.16,0.47,0.18,0.65,0.34,0.52,Partidos
Josep Martinez,es ESP,PO,26-288,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
Joaquín Correa,ar ARG,"DL,CC",30-210,9,2,252,2.8,1,2,3,1,0,0,1,0,0.8,0.8,1.4,2.2,6,15,17,0.36,0.71,1.07,0.36,1.07,0.29,0.49,0.79,0.29,0.79,Partidos
Marko Arnautović,at AUT,DL,35-326,10,1,239,2.7,2,1,3,2,0,0,1,0,1.9,1.9,0.5,2.4,2,8,35,0.75,0.38,1.13,0.75,1.13,0.72,0.18,0.89,0.72,0.89,Partidos
Tajon Buchanan,ca CAN,"DF,DL",26-031,6,0,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Partidos
Nicola Zalewski,pl POL,DF,23-047,3,0,70,0.8,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,9,3,13,0.00,1.29,1.29,0.00,1.29,0.09,0.67,0.76,0.09,0.76,Partidos
Tiago Palacios,ar ARG,DF,21-317,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Mike Aidoo,it ITA,DF,19-285,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Christos Alexiou,gr GRE,DF,19-254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Thomas Berenbruch,it ITA,CC,19-284,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alessandro Calligaris,it ITA,PO,20-004,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Matteo Cocchi,it ITA,DF,18-038,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Giacomo De Pieri,it ITA,CC,18-072,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Raffaele Di Gennaro,it ITA,PO,31-159,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alessandro Fontanarosa,it ITA,DF,22-032,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Matteo Motta,it ITA,DF,20-029,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alain Taho,al ALB,PO,17-315,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Luka Topalović,si SVN,CC,19-016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Mattia Zanchetta,it ITA,CC,18-358,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
