Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Leif Davis,eng ENG,DF,25-058,27,27,2371,26.3,1,2,3,1,0,0,5,0,0.8,0.8,4.1,5.0,45,54,111,0.04,0.08,0.11,0.04,0.11,0.03,0.16,0.19,0.03,0.19,Partidos
Liam Delap,eng ENG,DL,22-031,27,26,2094,23.3,10,2,12,8,2,2,8,0,8.1,6.5,1.8,8.3,48,25,88,0.43,0.09,0.52,0.34,0.43,0.35,0.08,0.43,0.28,0.36,Partidos
Dara O'Shea,ie IRL,DF,26-007,25,25,2222,24.7,0,0,0,0,0,0,6,0,0.8,0.8,0.0,0.8,3,58,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Omari Hutchinson,eng ENG,"CC,DL",21-132,26,25,2133,23.7,3,2,5,3,0,0,5,0,2.2,2.2,2.5,4.7,67,65,121,0.13,0.08,0.21,0.13,0.21,0.09,0.11,0.20,0.09,0.20,Partidos
Sam Morsy,eg EGY,CC,33-182,24,22,1979,22.0,1,1,2,1,0,0,8,0,0.3,0.3,0.7,1.0,13,90,9,0.05,0.05,0.09,0.05,0.09,0.01,0.03,0.05,0.01,0.05,Partidos
Jacob Greaves,eng ENG,DF,24-180,18,18,1620,18.0,1,0,1,1,0,0,4,0,1.2,1.2,0.0,1.3,5,43,4,0.06,0.00,0.06,0.06,0.06,0.07,0.00,0.07,0.07,0.07,Partidos
Arijanet Muric,xk KVX,PO,26-124,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jens Cajuste,se SWE,CC,25-213,21,18,1344,14.9,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,18,36,13,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04,Partidos
Kalvin Phillips,eng ENG,CC,29-099,16,13,1120,12.4,0,0,0,0,0,0,5,1,0.4,0.4,0.2,0.6,4,44,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos
Axel Tuanzebe,cd COD,DF,27-117,14,13,1095,12.2,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,7,39,7,0.00,0.08,0.08,0.00,0.08,0.02,0.02,0.04,0.02,0.04,Partidos
