Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Federico Gatti,it ITA,DF,26-260,26,25,2142,23.8,1,0,1,1,0,0,2,0,2.5,2.5,0.4,2.9,23,71,6,0.04,0.00,0.04,0.04,0.04,0.10,0.02,0.12,0.10,0.12,Partidos
Manuel Locatelli,it ITA,CC,27-062,26,24,1956,21.7,0,2,2,0,0,0,5,0,0.7,0.7,1.0,1.7,24,213,23,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.08,0.03,0.08,Partidos
Michele Di Gregorio,it ITA,PO,27-227,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Kenan Yıldız,tr TUR,"DL,CC",19-311,28,22,1876,20.8,4,2,6,4,0,0,1,0,3.7,3.7,3.8,7.5,88,80,175,0.19,0.10,0.29,0.19,0.29,0.18,0.18,0.36,0.18,0.36,Partidos
Andrea Cambiaso,it ITA,"DF,DL",25-019,25,20,1788,19.9,2,1,3,2,0,0,4,0,0.5,0.5,2.2,2.7,69,94,92,0.10,0.05,0.15,0.10,0.15,0.02,0.11,0.14,0.02,0.14,Partidos
Teun Koopmeiners,nl NED,"CC,DL",27-011,24,20,1751,19.5,2,3,5,2,0,0,3,0,3.5,3.5,2.7,6.3,30,81,96,0.10,0.15,0.26,0.10,0.26,0.18,0.14,0.32,0.18,0.32,Partidos
Pierre Kalulu,fr FRA,DF,24-279,21,18,1674,18.6,1,0,1,1,0,0,2,0,0.7,0.7,0.2,0.8,27,73,9,0.05,0.00,0.05,0.05,0.05,0.04,0.01,0.04,0.04,0.04,Partidos
Weston McKennie,us USA,"CC,DF",26-195,22,18,1553,17.3,2,3,5,2,0,0,2,0,2.2,2.2,2.3,4.5,17,61,96,0.12,0.17,0.29,0.12,0.29,0.13,0.13,0.26,0.13,0.26,Partidos
Khéphren Thuram,fr FRA,CC,23-350,26,17,1549,17.2,3,4,7,3,0,0,2,0,3.2,3.2,2.9,6.1,50,81,39,0.17,0.23,0.41,0.17,0.41,0.18,0.17,0.35,0.18,0.35,Partidos
Dušan Vlahović,rs SRB,DL,25-042,22,17,1478,16.4,9,1,10,5,4,4,3,0,10.8,7.7,0.9,8.6,20,17,87,0.55,0.06,0.61,0.30,0.37,0.66,0.06,0.71,0.47,0.52,Partidos
Nicolò Savona,it ITA,DF,21-357,22,16,1405,15.6,2,1,3,2,0,0,3,0,0.5,0.5,1.2,1.6,31,52,39,0.13,0.06,0.19,0.13,0.19,0.03,0.08,0.10,0.03,0.10,Partidos
Timothy Weah,us USA,"DL,DF",25-017,20,14,1222,13.6,5,2,7,5,0,0,2,0,3.1,3.1,1.3,4.3,40,39,91,0.37,0.15,0.52,0.37,0.52,0.23,0.09,0.32,0.23,0.32,Partidos
Nicolás González,ar ARG,DL,26-339,16,13,1019,11.3,1,2,3,1,0,0,0,0,2.4,2.4,0.5,2.9,19,28,77,0.09,0.18,0.26,0.09,0.26,0.21,0.05,0.26,0.21,0.26,Partidos
Francisco Conceição,pt POR,DL,22-087,18,10,1010,11.2,3,3,6,3,0,0,5,1,1.6,1.6,3.8,5.4,70,24,118,0.27,0.27,0.53,0.27,0.53,0.14,0.34,0.48,0.14,0.48,Partidos
Samuel Mbangula,be BEL,DL,21-054,20,7,699,7.8,3,3,6,3,0,0,1,0,0.5,0.5,1.4,1.8,25,17,43,0.39,0.39,0.77,0.39,0.77,0.06,0.18,0.24,0.06,0.24,Partidos
Danilo,br BRA,DF,33-239,12,6,581,6.5,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,16,45,7,0.00,0.15,0.15,0.00,0.15,0.02,0.06,0.08,0.02,0.08,Partidos
Gleison Bremer,br BRA,DF,27-358,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
Randal Kolo Muani,fr FRA,DL,26-096,7,6,535,5.9,5,1,6,4,1,1,0,0,2.4,1.6,0.6,2.2,9,8,52,0.84,0.17,1.01,0.67,0.84,0.40,0.10,0.50,0.27,0.37,Partidos
Juan David Cabal,co COL,DF,24-062,7,6,460,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,14,17,19,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
Nicolò Fagioli,it ITA,CC,24-027,17,5,571,6.3,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,19,41,18,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11,Partidos
Mattia Perin,it ITA,PO,32-121,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Douglas Luiz,br BRA,CC,26-306,15,3,488,5.4,0,0,0,0,0,0,2,0,0.6,0.6,0.8,1.4,16,33,12,0.00,0.00,0.00,0.00,0.00,0.11,0.15,0.26,0.11,0.26,Partidos
Lloyd Kelly,eng ENG,DF,26-156,4,3,315,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,8,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
Renato Veiga,pt POR,DF,21-225,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Jonas Rouhi,se SWE,DF,21-063,5,1,210,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,9,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Alberto costa,pt POR,DF,21-163,2,0,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,9,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Partidos
Vasilije Adžić,me MNE,"CC,DL",18-303,3,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Partidos
Diego Pugno,it ITA,DL,18-247,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.76,0.00,0.76,Partidos
Lorenzo Anghelè,it ITA,DL,20-013,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
