Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Jasper Cillessen,nl NED,PO,35-323,25,25,2219,24.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Álex Suárez,es ESP,DF,31-358,23,23,1909,21.2,0,0,0,0,0,0,10,0,0.1,0.1,0.1,0.2,1,37,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Partidos
Alberto Moleiro,es ESP,"DL,CC",21-162,25,23,1900,21.1,4,0,4,4,0,0,5,0,4.5,4.5,2.5,7.0,63,82,143,0.19,0.00,0.19,0.19,0.19,0.21,0.12,0.33,0.21,0.33,Partidos
Javier Muñoz,es ESP,"CC,DF",30-011,27,21,1981,22.0,0,2,2,0,0,0,3,0,0.9,0.9,2.1,3.0,27,83,71,0.00,0.09,0.09,0.00,0.09,0.04,0.10,0.14,0.04,0.14,Partidos
Kirian Rodríguez,es ESP,CC,29-006,21,21,1758,19.5,0,3,3,0,0,0,2,0,1.6,1.6,1.5,3.0,25,128,39,0.00,0.15,0.15,0.00,0.15,0.08,0.07,0.16,0.08,0.16,Partidos
Scott McKenna,sct SCO,DF,28-119,21,20,1746,19.4,0,0,0,0,0,0,5,1,0.8,0.8,0.2,1.0,5,24,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Partidos
Sandro Ramírez,es ESP,"DL,CC",29-245,22,19,1552,17.2,8,3,11,8,0,0,5,0,2.8,2.8,2.6,5.3,42,34,91,0.46,0.17,0.64,0.46,0.64,0.16,0.15,0.31,0.16,0.31,Partidos
Mika Màrmol,es ESP,DF,22-252,20,18,1544,17.2,0,1,1,0,0,0,4,0,0.4,0.4,1.3,1.6,17,67,26,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.09,0.02,0.09,Partidos
Fábio Silva,pt POR,DL,22-235,19,17,1428,15.9,7,2,9,6,1,2,7,0,6.8,5.2,0.8,6.0,25,19,92,0.44,0.13,0.57,0.38,0.50,0.43,0.05,0.48,0.33,0.38,Partidos
Dario Essugo,pt POR,CC,19-362,17,17,1317,14.6,1,0,1,1,0,0,9,2,0.5,0.5,0.3,0.7,14,62,7,0.07,0.00,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05,Partidos
Álex Muñoz,es ESP,DF,30-224,17,15,1253,13.9,3,0,3,3,0,0,2,0,0.7,0.7,0.5,1.2,13,40,44,0.22,0.00,0.22,0.22,0.22,0.05,0.04,0.09,0.05,0.09,Partidos
Viti,es ESP,DF,27-176,20,14,1262,14.0,0,2,2,0,0,0,5,0,0.1,0.1,0.9,1.0,26,33,44,0.00,0.14,0.14,0.00,0.14,0.00,0.06,0.07,0.00,0.07,Partidos
José Campaña,es ESP,CC,31-284,17,12,929,10.3,0,2,2,0,0,0,3,0,0.1,0.1,0.7,0.8,7,63,11,0.00,0.19,0.19,0.00,0.19,0.01,0.07,0.08,0.01,0.08,Partidos
Oliver McBurnie,sct SCO,DL,28-280,23,11,1058,11.8,0,5,5,0,0,0,0,0,1.8,1.8,2.2,4.0,5,21,54,0.00,0.43,0.43,0.00,0.43,0.15,0.19,0.34,0.15,0.34,Partidos
Juan Herzog,es ESP,DF,21-302,12,8,716,8.0,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,14,1,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
Manuel Fuster,es ESP,"DL,CC",27-140,19,6,683,7.6,2,0,2,2,0,0,1,0,0.6,0.6,1.1,1.7,14,41,60,0.26,0.00,0.26,0.26,0.26,0.08,0.15,0.22,0.08,0.22,Partidos
Marvin,es ESP,"DF,DL",24-251,12,6,567,6.3,0,0,0,0,0,0,3,0,0.1,0.1,0.7,0.8,18,17,36,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Partidos
