Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Mattéo Guendouzi,fr FRA,CC,25-331,28,28,2473,27.5,1,3,4,1,0,0,4,0,0.9,0.9,2.9,3.8,74,245,44,0.04,0.11,0.15,0.04,0.15,0.03,0.10,0.14,0.03,0.14,Partidos
Ivan Provedel,it ITA,PO,30-359,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Mario Gila,es ESP,DF,24-194,24,24,2091,23.2,1,0,1,1,0,0,5,0,0.9,0.9,0.4,1.3,36,113,9,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Partidos
Mattia Zaccagni,it ITA,DL,29-268,25,24,1996,22.2,8,6,14,6,2,2,7,0,6.0,4.4,3.8,8.3,74,94,193,0.36,0.27,0.63,0.27,0.54,0.27,0.17,0.44,0.20,0.37,Partidos
Alessio Romagnoli,it ITA,DF,30-058,23,22,1863,20.7,1,0,1,1,0,0,1,1,1.3,1.3,0.1,1.5,3,56,3,0.05,0.00,0.05,0.05,0.05,0.06,0.01,0.07,0.06,0.07,Partidos
Gustav Isaksen,dk DEN,DL,23-326,28,22,1695,18.8,3,2,5,3,0,0,4,0,3.0,3.0,1.3,4.3,73,28,197,0.16,0.11,0.27,0.16,0.27,0.16,0.07,0.23,0.16,0.23,Partidos
Nicolò Rovella,it ITA,CC,23-097,23,21,1914,21.3,0,2,2,0,0,0,10,0,0.7,0.7,1.8,2.5,29,113,30,0.00,0.09,0.09,0.00,0.09,0.03,0.09,0.12,0.03,0.12,Partidos
Valentín Castellanos,ar ARG,DL,26-159,22,21,1774,19.7,9,3,12,7,2,3,6,1,12.1,10.0,2.5,12.5,23,49,119,0.46,0.15,0.61,0.36,0.51,0.62,0.13,0.74,0.51,0.63,Partidos
Boulaye Dia,sn SEN,"CC,DL",28-115,25,19,1551,17.2,7,3,10,7,0,0,2,0,4.9,4.9,3.1,8.1,16,37,74,0.41,0.17,0.58,0.41,0.58,0.29,0.18,0.47,0.29,0.47,Partidos
Nuno Tavares,pt POR,DF,25-044,20,19,1517,16.9,0,8,8,0,0,0,4,1,1.0,1.0,4.4,5.5,88,96,86,0.00,0.47,0.47,0.00,0.47,0.06,0.26,0.33,0.06,0.33,Partidos
