Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Federico Baschirotto,it ITA,DF,28-172,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.6,0.6,0.1,0.7,8,47,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Partidos
Wladimiro Falcone,it ITA,PO,29-333,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Nikola Krstović,me MNE,DL,24-340,28,28,2327,25.9,9,3,12,8,1,2,3,0,9.5,7.9,2.3,10.2,34,49,110,0.35,0.12,0.46,0.31,0.43,0.37,0.09,0.46,0.31,0.40,Partidos
Frederic Guilbert,fr FRA,DF,30-077,23,23,1851,20.6,0,1,1,0,0,0,2,2,0.2,0.2,1.5,1.7,33,62,35,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.08,0.01,0.08,Partidos
Patrick Dorgu,dk DEN,"DF,DL",20-136,21,21,1840,20.4,3,1,4,3,0,0,2,1,3.3,3.3,1.5,4.8,68,54,117,0.15,0.05,0.20,0.15,0.20,0.16,0.07,0.23,0.16,0.23,Partidos
Antonino Gallo,it ITA,DF,25-065,21,21,1754,19.5,0,2,2,0,0,0,2,1,0.1,0.1,2.4,2.5,46,75,81,0.00,0.10,0.10,0.00,0.10,0.01,0.12,0.13,0.01,0.13,Partidos
Lassana Coulibaly,ml MLI,CC,28-335,28,20,1902,21.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,7,63,22,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Tete Morente,es ESP,DL,28-097,24,17,1540,17.1,3,1,4,3,0,0,2,0,2.1,2.1,0.8,2.9,32,74,108,0.18,0.06,0.23,0.18,0.23,0.12,0.04,0.17,0.12,0.17,Partidos
Ylber Ramadani,al ALB,CC,28-333,23,17,1469,16.3,0,1,1,0,0,0,4,0,0.4,0.4,0.8,1.2,7,48,5,0.00,0.06,0.06,0.00,0.06,0.03,0.05,0.07,0.03,0.07,Partidos
Balthazar Pierret,fr FRA,CC,24-300,23,16,1302,14.5,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.5,11,67,12,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Kialonda,ao ANG,DF,27-165,15,15,1350,15.0,0,1,1,0,0,0,3,0,1.0,1.0,0.3,1.3,3,19,2,0.00,0.07,0.07,0.00,0.07,0.06,0.02,0.09,0.06,0.09,Partidos
Santiago Pierotti,ar ARG,DL,23-342,26,14,1391,15.5,4,2,6,4,0,0,4,0,2.6,2.6,1.6,4.2,34,25,61,0.26,0.13,0.39,0.26,0.39,0.17,0.10,0.27,0.17,0.27,Partidos
Gaby Jean,fr FRA,DF,25-020,17,14,1288,14.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,35,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Partidos
Hamza Rafia,tn TUN,CC,25-343,18,14,1058,11.8,0,0,0,0,0,0,4,0,0.5,0.5,1.4,1.9,13,51,32,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16,Partidos
Þórir Jóhann Helgason,is ISL,CC,24-164,11,7,614,6.8,0,2,2,0,0,0,0,0,0.8,0.8,0.9,1.6,15,24,33,0.00,0.29,0.29,0.00,0.29,0.11,0.12,0.24,0.11,0.24,Partidos
Ante Rebić,hr CRO,"DL,CC",31-171,22,6,595,6.6,1,0,1,1,0,0,3,1,1.6,1.6,1.8,3.5,13,28,53,0.15,0.00,0.15,0.15,0.15,0.24,0.28,0.52,0.24,0.52,Partidos
Lameck Banda,zm ZAM,"DL,CC",24-041,11,6,509,5.7,0,1,1,0,0,0,1,0,0.7,0.7,0.9,1.6,20,5,36,0.00,0.18,0.18,0.00,0.18,0.12,0.16,0.29,0.12,0.29,Partidos
Medon Berisha,al ALB,CC,21-141,10,5,415,4.6,0,1,1,0,0,0,3,0,0.3,0.3,0.4,0.7,7,22,12,0.00,0.22,0.22,0.00,0.22,0.07,0.08,0.16,0.07,0.16,Partidos
Remi Oudin,fr FRA,"CC,DL",28-113,11,3,299,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,2,13,16,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22,Partidos
Jesper Karlsson,se SWE,DL,26-229,8,2,221,2.5,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,6,7,16,0.00,0.00,0.00,0.00,0.00,0.18,0.16,0.34,0.18,0.34,Partidos
Valentin Gendrey,fr FRA,DF,24-263,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,5,4,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Partidos
Andy Pelmard,fr FRA,DF,24-364,3,1,129,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Mohamed Kaba,fr FRA,CC,23-135,9,0,201,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,11,5,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Partidos
Kevin Bonifazi,it ITA,DF,28-296,3,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Nicola Sansone,it ITA,"CC,DL",33-182,5,0,65,0.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,0,1,5,0.00,0.00,0.00,0.00,0.00,0.30,0.06,0.36,0.30,0.36,Partidos
Danilo Veiga,pt POR,"DF,DL",22-167,4,0,39,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,1,4,0.00,0.00,0.00,0.00,0.00,0.97,0.12,1.10,0.97,1.10,Partidos
Marco Sala,it ITA,DF,25-280,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,4,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Rareș-Cătălin Burnete,ro ROU,DL,21-039,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,Partidos
Filip Marchwiński,pl POL,CC,23-060,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Konan N'dri,ci CIV,"DL,CC",24-135,3,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Partidos
Vernon Addo,,CC,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alexandru Borbei,ro ROU,PO,21-257,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Dario Daka,al ALB,DL,21-046,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Sebastian Esposito,au AUS,DF,19-324,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Christian Früchtl,de GER,PO,25-042,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Tiago Gabriel,pt POR,DF,20-075,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Luis Hasa,it ITA,CC,21-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Ed McJannet,ie IRL,CC,21-045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Christian Pehlivanov,bg BUL,DF,18-130,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Jasper Samooja,fi FIN,PO,21-233,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Elijah Scott,de GER,DF,19-036,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
