Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Sergi,es ESP,DF,32-325,26,25,2238,24.9,2,0,2,2,0,0,2,1,1.3,1.3,0.4,1.7,3,62,1,0.08,0.00,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,Partidos
Seydouba Cissé,gn GUI,CC,24-029,24,22,1726,19.2,2,0,2,2,0,0,3,0,1.3,1.3,0.3,1.6,19,73,31,0.10,0.00,0.10,0.10,0.10,0.07,0.02,0.08,0.07,0.08,Partidos
Marko Dmitrović,rs SRB,PO,33-046,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Yvan Neyou,cm CMR,CC,28-067,22,21,1829,20.3,1,1,2,1,0,0,10,0,0.6,0.6,0.4,1.0,19,74,26,0.05,0.05,0.10,0.05,0.10,0.03,0.02,0.05,0.03,0.05,Partidos
Valentin Rosier,fr FRA,DF,28-204,24,20,1903,21.1,1,2,3,1,0,0,6,0,0.7,0.7,0.6,1.3,28,43,69,0.05,0.09,0.14,0.05,0.14,0.03,0.03,0.06,0.03,0.06,Partidos
Matija Nastasić,rs SRB,DF,31-348,22,20,1794,19.9,1,0,1,1,0,0,3,0,0.1,0.1,0.1,0.2,0,49,0,0.05,0.00,0.05,0.05,0.05,0.00,0.01,0.01,0.00,0.01,Partidos
Juan Cruz,es ESP,"DL,DF",24-320,26,19,1643,18.3,4,2,6,4,0,0,2,0,1.5,1.5,2.0,3.5,45,48,98,0.22,0.11,0.33,0.22,0.33,0.08,0.11,0.19,0.08,0.19,Partidos
Miguel,es ESP,DL,25-189,26,17,1593,17.7,1,3,4,0,1,2,3,0,4.2,2.6,1.4,4.0,13,16,83,0.06,0.17,0.23,0.00,0.17,0.24,0.08,0.32,0.15,0.23,Partidos
Javi Hernández,es ESP,DF,26-313,21,17,1498,16.6,0,1,1,0,0,0,3,0,0.4,0.4,1.2,1.6,22,40,60,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.10,0.02,0.10,Partidos
Renato Tapia,pe PER,"CC,DF",29-226,23,17,1467,16.3,1,0,1,1,0,0,5,0,0.5,0.5,0.1,0.6,13,39,15,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Partidos
Dani Raba,es ESP,"DL,CC",29-133,19,14,1131,12.6,3,4,7,0,3,4,3,0,4.2,1.0,2.8,3.8,27,43,62,0.24,0.32,0.56,0.00,0.32,0.33,0.22,0.55,0.08,0.30,Partidos
Darko Brašanac,rs SRB,CC,33-027,22,13,1305,14.5,1,2,3,1,0,0,2,0,1.7,1.7,0.2,1.9,6,35,41,0.07,0.14,0.21,0.07,0.21,0.11,0.01,0.13,0.11,0.13,Partidos
Adrià Altimira,es ESP,"DF,DL",23-348,15,12,1082,12.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,14,31,33,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Jorge Sáenz,es ESP,DF,28-114,15,11,985,10.9,1,0,1,1,0,0,3,1,0.5,0.5,0.1,0.6,5,20,0,0.09,0.00,0.09,0.09,0.09,0.05,0.01,0.06,0.05,0.06,Partidos
Óscar Rodríguez Arnaiz,es ESP,"CC,DL",26-256,20,10,991,11.0,1,3,4,1,0,0,4,1,1.2,1.2,1.1,2.3,22,46,46,0.09,0.27,0.36,0.09,0.36,0.11,0.10,0.21,0.11,0.21,Partidos
Diego,es ESP,"DL,CC",24-327,18,7,663,7.4,2,0,2,2,0,0,0,0,1.7,1.7,0.2,1.9,7,12,34,0.27,0.00,0.27,0.27,0.27,0.24,0.03,0.26,0.24,0.26,Partidos
Enric Franquesa,es ESP,"DF,DL",28-013,12,7,616,6.8,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,11,12,30,0.15,0.00,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06,Partidos
Juan Soriano,es ESP,PO,27-200,6,6,540,6.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Munir El Haddadi,ma MAR,"DL,CC",29-191,15,6,512,5.7,2,0,2,2,0,0,1,1,0.6,0.6,0.6,1.2,5,14,24,0.35,0.00,0.35,0.35,0.35,0.10,0.10,0.20,0.10,0.20,Partidos
Sébastien Haller,ci CIV,DL,30-262,8,5,404,4.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,4,14,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.13,0.09,0.13,Partidos
Roberto López,es ESP,CC,24-321,12,3,393,4.4,0,1,1,0,0,0,0,0,0.5,0.5,0.9,1.4,3,20,11,0.00,0.23,0.23,0.00,0.23,0.11,0.20,0.31,0.11,0.31,Partidos
Aritz Arambarri,es ESP,DF,27-039,2,2,177,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Julián Chicco,ar ARG,CC,27-057,11,1,198,2.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,7,14,4,0.00,0.00,0.00,0.00,0.00,0.21,0.04,0.25,0.21,0.25,Partidos
Borna Barišić,hr CRO,DF,32-121,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Duk,cv CPV,"CC,DL",25-023,4,0,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,1,12,0.00,0.00,0.00,0.00,0.00,0.04,0.43,0.46,0.04,0.46,Partidos
