Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
James Justin,eng ENG,DF,27-016,26,26,2192,24.4,2,1,3,2,0,0,3,0,1.5,1.5,0.5,2.0,32,65,76,0.08,0.04,0.12,0.08,0.12,0.06,0.02,0.08,0.06,0.08,Partidos
Jamie Vardy,eng ENG,DL,38-059,26,26,2136,23.7,7,3,10,6,1,1,4,0,8.8,8.0,2.5,10.5,25,17,89,0.29,0.13,0.42,0.25,0.38,0.37,0.10,0.47,0.34,0.44,Partidos
Victor Bernth Kristiansen,dk DEN,DF,22-085,25,25,2195,24.4,0,1,1,0,0,0,1,0,0.3,0.3,1.3,1.7,37,64,64,0.00,0.04,0.04,0.00,0.04,0.01,0.06,0.07,0.01,0.07,Partidos
Wout Faes,be BEL,DF,26-342,25,21,2005,22.3,1,0,1,1,0,0,3,0,1.2,1.2,0.1,1.2,11,65,1,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.06,0.05,0.06,Partidos
Mads Hermansen,dk DEN,PO,24-243,21,21,1845,20.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Wilfred Ndidi,ng NGA,CC,28-085,19,19,1555,17.3,0,4,4,0,0,0,4,0,1.6,1.6,1.4,3.0,13,48,56,0.00,0.23,0.23,0.00,0.23,0.09,0.08,0.17,0.09,0.17,Partidos
Bilal El Khannouss,ma MAR,CC,20-305,23,18,1437,16.0,2,1,3,2,0,0,2,0,0.6,0.6,2.3,2.9,47,90,61,0.13,0.06,0.19,0.13,0.19,0.04,0.14,0.18,0.04,0.18,Partidos
Harry Winks,eng ENG,CC,29-037,21,17,1511,16.8,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.4,19,98,11,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.08,0.01,0.08,Partidos
Boubakary Soumaré,fr FRA,CC,26-012,21,17,1500,16.7,0,0,0,0,0,0,8,0,0.2,0.2,0.3,0.5,26,71,20,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Jannik Vestergaard,dk DEN,DF,32-220,18,16,1391,15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Partidos
Jordan Ayew,gh GHA,"DL,CC",33-181,23,15,1298,14.4,4,0,4,3,1,1,5,0,2.8,2.0,0.8,2.8,36,28,66,0.28,0.00,0.28,0.21,0.21,0.20,0.05,0.25,0.14,0.20,Partidos
Stephy Mavididi,eng ENG,DL,26-284,26,14,1388,15.4,3,1,4,3,0,0,2,0,1.6,1.6,2.4,4.0,74,53,115,0.19,0.06,0.26,0.19,0.26,0.10,0.16,0.26,0.10,0.26,Partidos
Facundo Buonanotte,ar ARG,"DL,CC",20-078,24,13,1296,14.4,4,2,6,4,0,0,7,0,3.4,3.4,2.8,6.2,37,47,62,0.28,0.14,0.42,0.28,0.42,0.23,0.20,0.43,0.23,0.43,Partidos
Caleb Okoli,it ITA,DF,23-241,16,11,1003,11.1,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,3,28,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Conor Coady,eng ENG,DF,32-014,12,9,814,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Oliver Skipp,eng ENG,CC,24-176,16,7,779,8.7,0,0,0,0,0,0,4,0,0.1,0.1,0.2,0.3,14,23,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Partidos
Bobby Reid,jm JAM,"DL,CC",32-037,20,7,639,7.1,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,12,14,40,0.14,0.28,0.42,0.14,0.42,0.11,0.17,0.27,0.11,0.27,Partidos
Abdul Fatawu Issahaku,gh GHA,DL,21-003,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Partidos
Jakub Stolarczyk,pl POL,PO,24-082,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Kasey McAteer,ie IRL,"DL,CC",23-109,11,4,386,4.3,0,1,1,0,0,0,1,0,0.6,0.6,0.4,0.9,13,8,36,0.00,0.23,0.23,0.00,0.23,0.13,0.08,0.21,0.13,0.21,Partidos
Luke Thomas,eng ENG,DF,23-274,4,3,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,10,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Partidos
Patson Daka,zm ZAM,"DL,CC",26-153,15,2,400,4.4,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,4,7,21,0.23,0.00,0.23,0.23,0.23,0.11,0.00,0.11,0.11,0.11,Partidos
Ricardo Pereira,pt POR,DF,31-156,3,2,153,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
Danny Ward,wls WAL,PO,31-262,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Hamza Choudhury,eng ENG,"CC,DF",27-161,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Partidos
