Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Antonio Raillo,es ESP,DF,33-154,26,26,2307,25.6,2,0,2,2,0,0,4,1,1.5,1.5,1.4,2.9,22,76,14,0.08,0.00,0.08,0.08,0.08,0.06,0.05,0.11,0.06,0.11,Partidos
Sergi Darder,es ESP,"CC,DL",31-079,27,23,1793,19.9,0,2,2,0,0,0,2,0,1.6,1.6,2.2,3.9,28,101,60,0.00,0.10,0.10,0.00,0.10,0.08,0.11,0.19,0.08,0.19,Partidos
Johan Mojica,co COL,DF,32-202,25,22,2021,22.5,1,2,3,1,0,0,5,0,0.8,0.8,3.3,4.1,46,100,92,0.04,0.09,0.13,0.04,0.13,0.04,0.15,0.18,0.04,0.18,Partidos
Dominik Greif,sk SVK,PO,27-339,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Martin Valjent,sk SVK,DF,29-090,22,22,1953,21.7,1,0,1,1,0,0,4,0,0.4,0.4,0.0,0.5,12,64,13,0.05,0.00,0.05,0.05,0.05,0.02,0.00,0.02,0.02,0.02,Partidos
Samu Costa,pt POR,CC,24-104,22,21,1797,20.0,0,2,2,0,0,0,6,1,1.7,1.7,1.1,2.8,15,79,52,0.00,0.10,0.10,0.00,0.10,0.08,0.05,0.14,0.08,0.14,Partidos
Pablo Maffeo,es ESP,DF,27-242,21,20,1673,18.6,0,1,1,0,0,0,3,0,0.3,0.3,3.5,3.7,29,52,86,0.00,0.05,0.05,0.00,0.05,0.01,0.19,0.20,0.01,0.20,Partidos
Dani Rodríguez,es ESP,"CC,DL",36-278,27,19,1595,17.7,4,6,10,4,0,0,2,0,2.5,2.5,2.8,5.3,32,64,82,0.23,0.34,0.56,0.23,0.56,0.14,0.16,0.30,0.14,0.30,Partidos
Vedat Muriqi,xk KVX,DL,30-321,22,18,1617,18.0,6,2,8,5,1,1,1,2,7.7,6.9,1.9,8.8,18,27,83,0.33,0.11,0.45,0.28,0.39,0.43,0.10,0.53,0.38,0.49,Partidos
Omar Mascarell,gq EQG,CC,32-037,23,16,1484,16.5,0,0,0,0,0,0,4,1,0.2,0.2,0.1,0.3,7,54,9,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Partidos
