Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Erling Haaland,no NOR,DL,24-233,27,27,2390,26.6,20,3,23,19,1,2,2,0,19.9,18.3,2.8,21.1,19,17,102,0.75,0.11,0.87,0.72,0.83,0.75,0.10,0.85,0.69,0.79,Partidos
Joško Gvardiol,hr CRO,DF,23-047,27,26,2378,26.4,5,0,5,5,0,0,1,0,4.2,3.8,1.9,5.8,70,198,92,0.19,0.00,0.19,0.19,0.19,0.16,0.07,0.23,0.15,0.22,Partidos
Bernardo Silva,pt POR,"CC,DL",30-213,25,22,2023,22.5,2,4,6,2,0,0,5,0,3.0,3.0,4.1,7.1,80,95,166,0.09,0.18,0.27,0.09,0.27,0.13,0.18,0.32,0.13,0.32,Partidos
Manuel Akanji,ch SUI,DF,29-235,20,20,1707,19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Partidos
Ederson,br BRA,PO,31-206,19,19,1710,19.0,0,3,3,0,0,0,3,0,0.0,0.0,0.8,0.8,0,1,0,0.00,0.16,0.16,0.00,0.16,0.00,0.04,0.04,0.00,0.04,Partidos
Mateo Kovačić,hr CRO,CC,30-309,24,19,1681,18.7,4,1,5,4,0,0,5,0,1.4,1.4,3.4,4.8,44,122,14,0.21,0.05,0.27,0.21,0.27,0.08,0.18,0.26,0.08,0.26,Partidos
Phil Foden,eng ENG,"CC,DL",24-287,23,18,1614,17.9,7,2,9,7,0,0,2,0,4.9,4.9,4.7,9.5,45,94,115,0.39,0.11,0.50,0.39,0.50,0.27,0.26,0.53,0.27,0.53,Partidos
Rico Lewis,eng ENG,"DF,CC",20-110,22,18,1612,17.9,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,36,94,62,0.06,0.11,0.17,0.06,0.17,0.08,0.02,0.09,0.08,0.09,Partidos
Sávio,br BRA,"DL,CC",20-335,23,18,1507,16.7,1,7,8,1,0,0,2,0,4.3,4.3,5.7,10.0,124,62,205,0.06,0.42,0.48,0.06,0.48,0.25,0.34,0.59,0.25,0.59,Partidos
İlkay Gündoğan,de GER,CC,34-138,24,16,1445,16.1,0,2,2,0,0,0,1,0,1.6,1.6,2.0,3.7,38,95,61,0.00,0.12,0.12,0.00,0.12,0.10,0.13,0.23,0.10,0.23,Partidos
Rúben Dias,pt POR,DF,27-301,17,15,1371,15.2,0,0,0,0,0,0,3,0,1.1,1.1,0.3,1.4,24,84,6,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Partidos
Kevin De Bruyne,be BEL,CC,33-256,19,12,1098,12.2,2,6,8,2,0,0,2,0,2.6,2.6,6.1,8.8,37,113,104,0.16,0.49,0.66,0.16,0.66,0.22,0.50,0.72,0.22,0.72,Partidos
Jeremy Doku,be BEL,"DL,CC",22-288,19,12,1073,11.9,3,4,7,3,0,0,0,0,1.0,1.0,3.2,4.2,150,52,196,0.25,0.34,0.59,0.25,0.59,0.08,0.27,0.35,0.08,0.35,Partidos
Matheus Nunes,pt POR,"DF,CC",26-196,19,12,1044,11.6,0,4,4,0,0,0,3,0,0.5,0.5,3.3,3.9,43,45,127,0.00,0.34,0.34,0.00,0.34,0.05,0.29,0.33,0.05,0.33,Partidos
Kyle Walker,eng ENG,DF,34-287,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Partidos
Stefan Ortega,de GER,PO,32-125,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Nathan Aké,nl NED,DF,30-021,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Jack Grealish,eng ENG,"DL,CC",29-182,16,6,609,6.8,0,1,1,0,0,0,3,0,0.8,0.8,1.7,2.4,66,43,111,0.00,0.15,0.15,0.00,0.15,0.12,0.25,0.36,0.12,0.36,Partidos
John Stones,eng ENG,"DF,CC",30-287,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Partidos
Abdukodir Khusanov,uz UZB,DF,21-010,5,5,413,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,23,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Omar Marmoush,eg EGY,"CC,DL",26-032,6,5,390,4.3,3,0,3,3,0,0,0,0,1.0,1.0,0.6,1.7,9,11,30,0.69,0.00,0.69,0.69,0.69,0.24,0.15,0.39,0.24,0.39,Partidos
Nicolás González,es ESP,CC,23-067,4,4,300,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,23,7,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos
Jahmai Simpson-Pusey,eng ENG,DF,19-127,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Rodri,es ESP,CC,28-262,2,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Partidos
James Mcatee,eng ENG,"CC,DL",22-144,10,0,130,1.4,2,0,2,2,0,0,0,0,1.3,1.3,0.0,1.3,4,3,12,1.38,0.00,1.38,1.38,1.38,0.93,0.00,0.93,0.93,0.93,Partidos
Divin Mubama,eng ENG,DL,20-137,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Partidos
