Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
André Onana,cm CMR,PO,28-343,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Diogo Dalot,pt POR,DF,25-358,27,27,2396,26.6,0,1,1,0,0,0,4,0,1.9,1.9,1.6,3.5,50,83,131,0.00,0.04,0.04,0.00,0.04,0.07,0.06,0.13,0.07,0.13,Partidos
Bruno Fernandes,pt POR,CC,30-184,27,27,2285,25.4,7,7,14,4,3,3,4,2,8.3,6.0,5.7,11.7,55,225,107,0.28,0.28,0.55,0.16,0.43,0.33,0.23,0.55,0.23,0.46,Partidos
Noussair Mazraoui,ma MAR,DF,27-117,28,25,2128,23.6,0,1,1,0,0,0,2,0,0.6,0.6,1.1,1.8,31,88,44,0.00,0.04,0.04,0.00,0.04,0.03,0.05,0.07,0.03,0.07,Partidos
Matthijs de Ligt,nl NED,DF,25-211,26,22,1909,21.2,2,0,2,2,0,0,3,0,2.3,2.3,0.3,2.6,7,49,6,0.09,0.00,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,Partidos
Lisandro Martínez,ar ARG,DF,27-052,20,20,1751,19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Partidos
Amad Diallo,ci CIV,"DL,CC",22-243,22,17,1594,17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Partidos
Alejandro Garnacho,ar ARG,"DL,CC",20-253,27,16,1574,17.5,3,1,4,3,0,0,1,0,5.6,5.6,2.6,8.2,95,36,207,0.17,0.06,0.23,0.17,0.23,0.32,0.15,0.47,0.32,0.47,Partidos
Rasmus Højlund,dk DEN,DL,22-035,23,16,1350,15.0,2,0,2,2,0,0,2,0,2.7,2.7,1.1,3.9,20,14,67,0.13,0.00,0.13,0.13,0.13,0.18,0.08,0.26,0.18,0.26,Partidos
Harry Maguire,eng ENG,DF,32-006,20,15,1358,15.1,1,0,1,1,0,0,7,0,0.8,0.8,0.3,1.1,6,42,4,0.07,0.00,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,Partidos
Kobbie Mainoo,eng ENG,CC,19-326,18,15,1285,14.3,0,0,0,0,0,0,5,0,0.5,0.5,1.5,2.0,19,52,35,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.14,0.04,0.14,Partidos
Manuel Ugarte Ribeiro,uy URU,CC,23-334,20,15,1259,14.0,1,0,1,1,0,0,8,0,0.4,0.4,0.6,1.0,9,43,14,0.07,0.00,0.07,0.07,0.07,0.03,0.04,0.07,0.03,0.07,Partidos
Casemiro,br BRA,CC,33-016,18,13,1101,12.2,1,0,1,1,0,0,2,0,1.3,1.3,2.2,3.5,3,59,23,0.08,0.00,0.08,0.08,0.08,0.11,0.18,0.29,0.11,0.29,Partidos
Joshua Zirkzee,nl NED,"DL,CC",23-293,28,12,1229,13.7,3,1,4,3,0,0,2,0,4.5,4.5,1.5,6.0,11,36,64,0.22,0.07,0.29,0.22,0.29,0.33,0.11,0.44,0.33,0.44,Partidos
