Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Mike Maignan,fr FRA,PO,29-251,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Tijjani Reijnders,nl NED,CC,26-225,27,26,2228,24.8,8,2,10,8,0,0,2,1,4.5,4.5,2.8,7.3,88,173,94,0.32,0.08,0.40,0.32,0.40,0.18,0.11,0.30,0.18,0.30,Partidos
Youssouf Fofana,fr FRA,CC,26-060,26,23,1959,21.8,1,4,5,1,0,0,5,0,1.1,1.1,2.4,3.5,33,145,26,0.05,0.18,0.23,0.05,0.23,0.05,0.11,0.16,0.05,0.16,Partidos
Theo Hernández,fr FRA,DF,27-156,25,22,2029,22.5,3,2,5,3,0,1,3,1,2.1,1.3,3.1,4.4,71,107,115,0.13,0.09,0.22,0.13,0.22,0.09,0.14,0.23,0.06,0.20,Partidos
Rafael Leão,pt POR,DL,25-274,26,20,1790,19.9,6,7,13,6,0,0,3,0,6.2,6.2,6.8,13.0,97,74,213,0.30,0.35,0.65,0.30,0.65,0.31,0.34,0.65,0.31,0.65,Partidos
Christian Pulisic,us USA,"DL,CC",26-174,24,19,1638,18.2,8,6,14,5,3,4,0,0,8.9,5.8,4.4,10.2,83,79,132,0.44,0.33,0.77,0.27,0.60,0.49,0.24,0.73,0.32,0.56,Partidos
Malick Thiaw,de GER,DF,23-215,19,17,1549,17.2,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.7,11,80,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
Emerson,br BRA,DF,26-056,17,16,1377,15.3,0,0,0,0,0,0,5,0,0.4,0.4,0.7,1.1,23,68,71,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Partidos
Matteo Gabbia,it ITA,DF,25-141,17,15,1349,15.0,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,13,70,2,0.07,0.00,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,Partidos
Yunus Musah,us USA,"CC,DL",22-102,23,15,1338,14.9,0,2,2,0,0,0,4,0,1.7,1.7,1.6,3.4,48,78,65,0.00,0.13,0.13,0.00,0.13,0.12,0.11,0.23,0.12,0.23,Partidos
Strahinja Pavlović,rs SRB,DF,23-291,16,13,1170,13.0,1,1,2,1,0,0,2,1,1.2,1.2,1.1,2.2,32,72,4,0.08,0.08,0.15,0.08,0.15,0.09,0.08,0.17,0.09,0.17,Partidos
Álvaro Morata,es ESP,"DL,CC",32-139,16,13,1099,12.2,5,0,5,5,0,0,5,0,3.9,3.9,0.8,4.7,18,26,63,0.41,0.00,0.41,0.41,0.41,0.32,0.07,0.39,0.32,0.39,Partidos
Fikayo Tomori,eng ENG,DF,27-082,14,11,970,10.8,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.2,6,41,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Partidos
Tammy Abraham,eng ENG,DL,27-160,22,9,955,10.6,2,2,4,1,1,2,1,0,6.1,4.4,1.3,5.7,5,19,52,0.19,0.19,0.38,0.09,0.28,0.57,0.12,0.69,0.42,0.53,Partidos
Samuel Chukwueze,ng NGA,"DL,CC",25-293,21,9,799,8.9,3,0,3,3,0,0,0,0,2.4,2.4,2.2,4.6,41,26,103,0.34,0.00,0.34,0.34,0.34,0.27,0.25,0.52,0.27,0.52,Partidos
Alejandro Jiménez,es ESP,"DF,DL",19-307,13,8,766,8.5,0,0,0,0,0,0,3,0,0.5,0.5,0.8,1.4,40,27,56,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.16,0.06,0.16,Partidos
Ruben Loftus-Cheek,eng ENG,CC,29-047,13,6,682,7.6,0,0,0,0,0,0,1,0,0.5,0.5,1.4,1.8,20,37,29,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24,Partidos
Filippo Terracciano,it ITA,"DF,CC",22-031,10,6,527,5.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,14,9,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Partidos
Santiago Giménez,mx MEX,DL,23-327,6,5,439,4.9,2,1,3,2,0,0,3,0,2.5,2.5,0.7,3.2,9,4,25,0.41,0.21,0.62,0.41,0.62,0.51,0.13,0.65,0.51,0.65,Partidos
Noah Okafor,ch SUI,DL,24-291,11,5,414,4.6,1,0,1,1,0,0,0,0,1.5,1.5,0.3,1.9,21,12,48,0.22,0.00,0.22,0.22,0.22,0.33,0.07,0.41,0.33,0.41,Partidos
João Félix,pt POR,CC,25-121,6,4,382,4.2,0,0,0,0,0,0,1,0,1.8,1.8,0.5,2.3,10,22,32,0.00,0.00,0.00,0.00,0.00,0.42,0.13,0.55,0.42,0.55,Partidos
Kyle Walker,eng ENG,DF,34-287,5,4,343,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5,23,11,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.13,0.01,0.13,Partidos
Davide Calabria,it ITA,DF,28-095,7,4,316,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,24,31,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.14,0.08,0.14,Partidos
Ismaël Bennacer,dz ALG,CC,27-100,6,4,300,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,8,23,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Partidos
Francesco Camarda,it ITA,"DL,CC",17-001,9,1,161,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,2,0,9,0.00,0.00,0.00,0.00,0.00,0.23,0.22,0.46,0.23,0.46,Partidos
Luka Jović,rs SRB,DL,27-078,7,1,127,1.4,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.5,2,5,10,0.00,0.00,0.00,0.00,0.00,0.26,0.12,0.38,0.26,0.38,Partidos
Alexis Saelemaekers,be BEL,"DF,DL",25-257,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,4,13,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Partidos
Marco Sportiello,it ITA,PO,32-305,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Riccardo Sottil,it ITA,"DL,CC",25-281,3,1,82,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,10,0,12,0.00,0.00,0.00,0.00,0.00,0.19,0.30,0.49,0.19,0.49,Partidos
Warren Bondo,fr FRA,CC,21-177,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Mattia Liberali,it ITA,CC,17-339,1,1,61,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,4,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.14,0.10,0.14,Partidos
Davide Bartesaghi,it ITA,DF,19-072,2,0,50,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,2,0,10,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Partidos
Kevin Zeroli,it ITA,CC,20-059,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Bob Murphy Omoregbe,it ITA,CC,21-126,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
