Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Stefano Turati,it ITA,PO,23-187,24,24,2136,23.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Giorgos Kyriakopoulos,gr GRE,DF,29-034,25,24,2120,23.6,2,3,5,2,0,0,4,0,0.6,0.6,2.4,3.0,49,73,105,0.08,0.13,0.21,0.08,0.21,0.02,0.10,0.13,0.02,0.13,Partidos
Armando Izzo,it ITA,DF,33-009,25,24,2105,23.4,0,1,1,0,0,0,11,0,0.3,0.3,0.8,1.1,11,66,11,0.00,0.04,0.04,0.00,0.04,0.01,0.03,0.04,0.01,0.04,Partidos
Pedro Pereira,pt POR,DF,27-048,26,23,1900,21.1,1,3,4,1,0,0,7,0,1.2,1.2,1.4,2.6,40,37,90,0.05,0.14,0.19,0.05,0.19,0.06,0.07,0.12,0.06,0.12,Partidos
Alessandro Bianco,it ITA,CC,22-161,24,19,1788,19.9,1,0,1,1,0,0,6,0,1.1,1.1,0.6,1.8,29,93,17,0.05,0.00,0.05,0.05,0.05,0.06,0.03,0.09,0.06,0.09,Partidos
Andrea Carboni,it ITA,DF,24-035,20,19,1666,18.5,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.5,7,42,22,0.00,0.05,0.05,0.00,0.05,0.01,0.02,0.03,0.01,0.03,Partidos
Pablo Marí,es ESP,DF,31-192,19,19,1628,18.1,0,0,0,0,0,0,4,1,0.2,0.2,0.1,0.3,5,58,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Partidos
Warren Bondo,fr FRA,CC,21-177,20,19,1618,18.0,0,0,0,0,0,0,5,1,0.4,0.4,0.3,0.7,25,39,21,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
Dany Mota,pt POR,"CC,DL",26-313,23,17,1456,16.2,4,2,6,4,0,0,2,0,3.1,3.1,1.4,4.5,41,38,109,0.25,0.12,0.37,0.25,0.37,0.19,0.08,0.28,0.19,0.28,Partidos
Daniel Maldini,it ITA,"CC,DL",23-151,20,16,1306,14.5,3,0,3,3,0,0,5,0,4.8,4.8,0.9,5.7,41,34,66,0.21,0.00,0.21,0.21,0.21,0.33,0.06,0.39,0.33,0.39,Partidos
Milan Đurić,ba BIH,DL,34-293,18,13,1270,14.1,4,1,5,4,0,0,3,0,2.9,2.9,1.1,4.0,2,21,30,0.28,0.07,0.35,0.28,0.35,0.21,0.08,0.28,0.21,0.28,Partidos
Gianluca Caprari,it ITA,"CC,DL",31-224,24,12,1054,11.7,2,1,3,0,2,2,3,0,2.5,0.9,1.5,2.5,27,50,71,0.17,0.09,0.26,0.00,0.09,0.21,0.13,0.34,0.08,0.21,Partidos
Matteo Pessina,it ITA,CC,27-324,11,10,854,9.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,8,28,20,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
Danilo D'Ambrosio,it ITA,DF,36-183,17,9,836,9.3,0,0,0,0,0,0,2,1,0.3,0.3,0.2,0.5,7,22,13,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Partidos
