Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Giovanni Di Lorenzo,it ITA,DF,31-219,28,28,2520,28.0,3,1,4,3,0,0,4,0,2.5,2.5,3.6,6.1,41,190,128,0.11,0.04,0.14,0.11,0.14,0.09,0.13,0.22,0.09,0.22,Partidos
Amir Rrahmani,xk KVX,DF,31-015,28,28,2520,28.0,1,2,3,1,0,0,2,0,2.3,2.3,0.6,2.9,18,133,1,0.04,0.07,0.11,0.04,0.11,0.08,0.02,0.10,0.08,0.10,Partidos
Andre-Frank Zambo Anguissa,cm CMR,CC,29-115,26,25,2228,24.8,5,3,8,5,0,0,4,0,2.7,2.7,2.1,4.8,21,117,96,0.20,0.12,0.32,0.20,0.32,0.11,0.08,0.19,0.11,0.19,Partidos
Alex Meret,it ITA,PO,27-354,25,25,2195,24.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Romelu Lukaku,be BEL,DL,31-302,26,25,2009,22.3,10,8,18,7,3,4,1,0,10.0,6.8,3.1,9.9,23,21,165,0.45,0.36,0.81,0.31,0.67,0.45,0.14,0.58,0.31,0.44,Partidos
Scott McTominay,sct SCO,CC,28-093,25,24,2149,23.9,6,2,8,6,0,0,3,0,5.3,5.3,1.6,6.8,36,84,100,0.25,0.08,0.34,0.25,0.34,0.22,0.07,0.29,0.22,0.29,Partidos
Matteo Politano,it ITA,"DL,CC",31-220,27,24,1973,21.9,2,2,4,2,0,0,2,0,2.1,2.1,3.5,5.6,90,100,209,0.09,0.09,0.18,0.09,0.18,0.10,0.16,0.26,0.10,0.26,Partidos
Stanislav Lobotka,sk SVK,CC,30-106,24,23,2046,22.7,0,1,1,0,0,0,3,0,0.3,0.3,1.1,1.4,26,87,29,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,Partidos
Alessandro Buongiorno,it ITA,DF,25-278,19,19,1681,18.7,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,24,78,7,0.05,0.00,0.05,0.05,0.05,0.04,0.03,0.08,0.04,0.08,Partidos
Mathías Olivera,uy URU,DF,27-131,22,17,1577,17.5,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9,27,88,48,0.00,0.06,0.06,0.00,0.06,0.04,0.07,0.11,0.04,0.11,Partidos
