Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Bruno Guimarães,br BRA,CC,27-115,28,28,2423.0,26.9,3.0,6.0,9.0,3.0,0.0,0.0,4.0,0.0,2.8,2.8,5.1,7.9,39.0,197.0,63.0,0.11,0.22,0.33,0.11,0.33,0.1,0.19,0.29,0.1,0.29,Partidos
Dan Burn,eng ENG,DF,32-306,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,0.5,1.5,6.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Partidos
Anthony Gordon,eng ENG,DL,24-015,26,25,2108.0,23.4,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0,7.8,6.3,4.9,11.2,104.0,88.0,187.0,0.26,0.21,0.47,0.21,0.43,0.34,0.21,0.54,0.27,0.48,Partidos
Alexander Isak,se SWE,DL,25-171,25,25,2052.0,22.8,19.0,5.0,24.0,17.0,2.0,2.0,1.0,0.0,15.6,14.0,3.8,17.7,64.0,61.0,164.0,0.83,0.22,1.05,0.75,0.96,0.68,0.17,0.85,0.61,0.78,Partidos
Lewis Hall,eng ENG,DF,20-184,27,24,2189.0,24.3,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,4.3,4.7,41.0,123.0,80.0,0.0,0.16,0.16,0.0,0.16,0.02,0.18,0.19,0.02,0.19,Partidos
Joelinton,br BRA,"CC,DL",28-209,24,24,2004.0,22.3,4.0,1.0,5.0,4.0,0.0,0.0,9.0,0.0,3.7,3.7,1.6,5.3,35.0,104.0,97.0,0.18,0.04,0.22,0.18,0.22,0.17,0.07,0.24,0.17,0.24,Partidos
Fabian Schär,ch SUI,DF,33-081,24,23,2052.0,22.8,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,1.6,1.6,0.3,1.9,12.0,74.0,16.0,0.09,0.0,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08,Partidos
Valentino Livramento,eng ENG,DF,22-119,27,22,1940.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.1,1.3,50.0,103.0,73.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Partidos
Jacob Murphy,eng ENG,DL,30-015,25,21,1680.0,18.7,5.0,8.0,13.0,5.0,0.0,0.0,3.0,0.0,3.8,3.8,6.3,10.1,57.0,56.0,152.0,0.27,0.43,0.7,0.27,0.7,0.2,0.34,0.54,0.2,0.54,Partidos
Sandro Tonali,it ITA,CC,24-307,26,18,1730.0,19.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,3.1,3.1,0.6,3.7,28.0,79.0,35.0,0.05,0.05,0.1,0.05,0.1,0.16,0.03,0.19,0.16,0.19,Partidos
