Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Matz Sels,be BEL,PO,33-013,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
Ola Aina,ng NGA,DF,28-154,28,28,2441.0,27.1,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,0.7,1.3,52.0,89.0,52.0,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05,Partidos
Nikola Milenković,rs SRB,DF,27-150,27,27,2430.0,27.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.4,3.4,0.3,3.7,2.0,40.0,5.0,0.11,0.04,0.15,0.11,0.15,0.13,0.01,0.14,0.13,0.14,Partidos
Murillo,br BRA,DF,22-250,27,27,2388.0,26.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,1.1,2.3,15.0,85.0,4.0,0.04,0.0,0.04,0.04,0.04,0.05,0.04,0.09,0.05,0.09,Partidos
Chris Wood,nz NZL,DL,33-094,28,27,2265.0,25.2,18.0,3.0,21.0,15.0,3.0,3.0,1.0,0.0,10.9,8.5,1.9,10.4,13.0,30.0,71.0,0.72,0.12,0.83,0.6,0.72,0.43,0.08,0.51,0.34,0.41,Partidos
Morgan Gibbs-White,eng ENG,CC,25-043,24,24,1930.0,21.4,5.0,6.0,11.0,5.0,0.0,0.0,8.0,1.0,3.9,3.9,3.7,7.6,54.0,121.0,99.0,0.23,0.28,0.51,0.23,0.51,0.18,0.17,0.35,0.18,0.35,Partidos
Elliot Anderson,eng ENG,CC,22-125,27,23,1892.0,21.0,1.0,5.0,6.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,2.9,4.2,32.0,100.0,66.0,0.05,0.24,0.29,0.05,0.29,0.06,0.14,0.2,0.06,0.2,Partidos
Anthony Elanga,se SWE,"DL,CC",22-318,28,22,1779.0,19.8,3.0,8.0,11.0,3.0,0.0,0.0,1.0,0.0,3.1,3.1,4.3,7.4,72.0,40.0,141.0,0.15,0.4,0.56,0.15,0.56,0.16,0.22,0.38,0.16,0.38,Partidos
Callum Hudson-Odoi,eng ENG,"DL,CC",24-124,24,21,1814.0,20.2,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,2.2,2.2,2.4,4.5,103.0,54.0,162.0,0.25,0.1,0.35,0.25,0.35,0.11,0.12,0.22,0.11,0.22,Partidos
Neco Williams,wls WAL,DF,23-332,25,18,1694.0,18.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.7,1.7,1.0,2.7,41.0,55.0,61.0,0.05,0.05,0.11,0.05,0.11,0.09,0.05,0.15,0.09,0.15,Partidos
Ryan Yates,eng ENG,CC,27-110,25,15,1522.0,16.9,2.0,0.0,2.0,2.0,0.0,0.0,8.0,0.0,2.2,2.2,0.9,3.0,14.0,38.0,12.0,0.12,0.0,0.12,0.12,0.12,0.13,0.05,0.18,0.13,0.18,Partidos
Nicolás Domínguez,ar ARG,"CC,DL",26-256,24,15,1329.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.3,1.3,0.8,2.1,9.0,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.14,0.09,0.14,Partidos
Álex Moreno,es ESP,DF,31-276,13,10,813.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.0,1.1,24.0,29.0,28.0,0.0,0.11,0.11,0.0,0.11,0.02,0.11,0.12,0.02,0.12,Partidos
James Ward-Prowse,eng ENG,CC,30-130,9,5,400.0,4.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,1.1,1.2,1.0,16.0,3.0,0.0,0.23,0.23,0.0,0.23,0.01,0.25,0.26,0.01,0.26,Partidos
