Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Sergio Herrera,es ESP,PO,31-279,26,26,2340,26.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Catena,es ESP,DF,30-134,24,24,2142,23.8,0,1,1,0,0,0,7,0,1.7,1.7,0.7,2.4,9,66,2,0.00,0.04,0.04,0.00,0.04,0.07,0.03,0.10,0.07,0.10,Partidos
Lucas Torró,es ESP,CC,30-235,24,24,2025,22.5,3,0,3,3,0,0,9,0,1.3,1.3,0.7,2.0,6,79,24,0.13,0.00,0.13,0.13,0.13,0.06,0.03,0.09,0.06,0.09,Partidos
Aimar Oroz,es ESP,CC,23-104,25,24,1999,22.2,4,1,5,4,0,0,5,0,3.0,3.0,1.8,4.8,48,110,100,0.18,0.05,0.23,0.18,0.23,0.13,0.08,0.22,0.13,0.22,Partidos
Jesús Areso,es ESP,DF,25-252,24,23,2031,22.6,0,2,2,0,0,0,5,0,0.1,0.1,1.8,1.9,70,78,140,0.00,0.09,0.09,0.00,0.09,0.01,0.08,0.08,0.01,0.08,Partidos
Ante Budimir,hr CRO,DL,33-232,26,23,1986,22.1,14,2,16,8,6,6,3,0,11.1,6.6,1.4,8.0,17,19,92,0.63,0.09,0.73,0.36,0.45,0.50,0.06,0.57,0.30,0.36,Partidos
Enzo Boyomo,cm CMR,DF,23-155,22,22,1952,21.7,2,0,2,2,0,0,5,0,1.3,1.3,0.8,2.1,10,74,3,0.09,0.00,0.09,0.09,0.09,0.06,0.04,0.10,0.06,0.10,Partidos
Jon Moncayola,es ESP,CC,26-302,24,20,1647,18.3,0,0,0,0,0,0,7,0,1.5,1.5,2.1,3.6,17,83,41,0.00,0.00,0.00,0.00,0.00,0.08,0.12,0.20,0.08,0.20,Partidos
Rubén García,es ESP,"DL,CC",31-240,25,20,1630,18.1,2,4,6,2,0,0,2,0,1.4,1.4,1.8,3.3,26,78,108,0.11,0.22,0.33,0.11,0.33,0.08,0.10,0.18,0.08,0.18,Partidos
Bryan Zaragoza,es ESP,"DL,CC",23-320,20,17,1344,14.9,1,5,6,1,0,0,3,0,2.1,2.1,2.6,4.7,78,35,105,0.07,0.33,0.40,0.07,0.40,0.14,0.17,0.31,0.14,0.31,Partidos
Abel,es ESP,DF,24-202,25,14,1478,16.4,2,0,2,2,0,0,2,0,0.4,0.4,0.7,1.1,37,56,57,0.12,0.00,0.12,0.12,0.12,0.02,0.04,0.07,0.02,0.07,Partidos
Juan Cruz Armada,es ESP,DF,32-226,17,13,995,11.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,7,36,10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Jorge Herrando,es ESP,DF,24-011,11,8,736,8.2,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,4,21,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
Pablo Ibáñez,es ESP,CC,26-172,17,6,693,7.7,0,1,1,0,0,0,2,0,1.3,1.3,1.5,2.8,11,32,15,0.00,0.13,0.13,0.00,0.13,0.17,0.19,0.36,0.17,0.36,Partidos
Rubén Peña,es ESP,"DL,DF",33-236,19,6,639,7.1,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.2,15,18,46,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Partidos
Moi Gómez,es ESP,"CC,DL",30-261,20,5,664,7.4,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,10,43,12,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Partidos
Raúl,es ESP,"DL,CC",24-128,23,4,593,6.6,2,0,2,2,0,0,0,0,2.1,2.1,0.6,2.7,10,14,37,0.30,0.00,0.30,0.30,0.30,0.32,0.08,0.40,0.32,0.40,Partidos
Iker Muñoz,es ESP,CC,22-126,14,3,378,4.2,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,3,12,6,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Partidos
Kike Barja,es ESP,"DL,CC",27-344,9,3,247,2.7,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,18,2,30,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25,Partidos
Nacho Vidal,es ESP,DF,30-046,5,1,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
José Arnaiz,es ESP,"DL,CC",29-330,8,0,54,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,3,11,0.00,0.00,0.00,0.00,0.00,0.33,0.15,0.48,0.33,0.48,Partidos
Iker Benito,es ESP,"DL,CC",22-213,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Partidos
Javi Martínez,es ESP,CC,25-079,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Iñigo Arguibide,es ESP,DL,19-326,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Aitor Fernández,es ESP,PO,33-312,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Unai García,es ESP,DF,33-036,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Carlos Lumbreras,es ESP,DL,20-019,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Asier Osambela,es ESP,CC,21-031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Dimitrios Stamatakis,gr GRE,PO,21-322,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Pablo Valencia,es ESP,PO,24-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
