Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Zion Suzuki,jp JPN,PO,22-202,27,27,2414,26.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Simon Sohm,ch SUI,CC,23-334,28,27,2295,25.5,4,0,4,4,0,0,4,0,2.6,2.6,1.7,4.4,58,117,46,0.16,0.00,0.16,0.16,0.16,0.10,0.07,0.17,0.10,0.17,Partidos
Emanuele Valeri,it ITA,DF,26-094,25,24,2027,22.5,2,4,6,1,1,1,0,0,1.3,0.5,2.4,2.9,49,68,71,0.09,0.18,0.27,0.04,0.22,0.06,0.11,0.17,0.02,0.13,Partidos
Enrico Del Prato,it ITA,DF,25-121,24,22,2047,22.7,4,0,4,4,0,0,5,0,1.9,1.9,1.1,3.0,6,60,16,0.18,0.00,0.18,0.18,0.18,0.08,0.05,0.13,0.08,0.13,Partidos
Ange-Yoan Bonny,fr FRA,DL,21-137,27,21,1807,20.1,5,2,7,3,2,3,2,0,8.0,5.7,1.8,7.5,30,41,132,0.25,0.10,0.35,0.15,0.25,0.40,0.09,0.49,0.28,0.37,Partidos
Botond Balogh,hu HUN,DF,22-278,23,21,1778,19.8,0,1,1,0,0,0,4,0,0.2,0.2,0.1,0.3,7,31,1,0.00,0.05,0.05,0.00,0.05,0.01,0.00,0.02,0.01,0.02,Partidos
Dennis Man,ro ROU,"DL,CC",26-197,26,20,1751,19.5,4,4,8,4,0,0,0,0,4.1,4.1,3.9,8.0,63,49,122,0.21,0.21,0.41,0.21,0.41,0.21,0.20,0.41,0.21,0.41,Partidos
Matteo Cancellieri,it ITA,"DL,CC",23-027,26,19,1421,15.8,3,0,3,3,0,0,2,1,2.7,2.7,0.7,3.4,40,24,79,0.19,0.00,0.19,0.19,0.19,0.17,0.04,0.21,0.17,0.21,Partidos
Valentin Mihaila,ro ROU,"DL,CC",25-037,21,16,1288,14.3,0,3,3,0,0,0,2,0,2.4,2.4,1.2,3.6,25,41,72,0.00,0.21,0.21,0.00,0.21,0.17,0.08,0.25,0.17,0.25,Partidos
Adrian Bernabe,es ESP,CC,23-289,14,14,1066,11.8,0,0,0,0,0,0,1,0,0.7,0.7,1.0,1.7,28,84,7,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Partidos
Mandela Keita,be BEL,CC,22-305,20,14,1009,11.2,0,1,1,0,0,0,6,1,0.0,0.0,0.9,0.9,8,29,5,0.00,0.09,0.09,0.00,0.09,0.00,0.08,0.08,0.00,0.08,Partidos
Woyo Coulibaly,fr FRA,DF,25-295,14,12,1084,12.0,0,1,1,0,0,0,1,1,0.1,0.1,0.9,1.1,36,41,23,0.00,0.08,0.08,0.00,0.08,0.01,0.08,0.09,0.01,0.09,Partidos
Hernani,br BRA,CC,30-349,17,12,999,11.1,3,2,5,0,3,3,4,0,2.7,0.4,1.0,1.4,25,64,28,0.27,0.18,0.45,0.00,0.18,0.25,0.09,0.34,0.03,0.12,Partidos
Lautaro Valenti,ar ARG,DF,26-056,11,9,806,9.0,1,0,1,1,0,0,3,0,0.2,0.2,0.2,0.4,1,16,2,0.11,0.00,0.11,0.11,0.11,0.03,0.02,0.04,0.03,0.04,Partidos
