Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Florian Lejeune,fr FRA,DF,33-295,27,27,2425,26.9,0,2,2,0,0,0,4,0,2.5,2.5,1.1,3.6,18,97,5,0.00,0.07,0.07,0.00,0.07,0.09,0.04,0.13,0.09,0.13,Partidos
Andrei Ratiu,ro ROU,DF,26-264,25,24,2178,24.2,2,2,4,2,0,0,4,0,1.5,1.5,4.4,5.9,82,90,111,0.08,0.08,0.17,0.08,0.17,0.06,0.18,0.24,0.06,0.24,Partidos
Abdul Mumin,gh GHA,DF,26-278,24,24,2017,22.4,2,1,3,2,0,0,6,1,0.6,0.6,0.2,0.8,12,40,6,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,Partidos
Augusto Batalla,ar ARG,PO,28-315,22,22,1980,22.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jorge de Frutos,es ESP,"DL,CC",28-019,25,21,1759,19.5,4,3,7,4,0,0,2,1,4.5,4.5,3.1,7.6,59,40,152,0.20,0.15,0.36,0.20,0.36,0.23,0.16,0.39,0.23,0.39,Partidos
Pep Chavarría,es ESP,DF,26-335,23,19,1740,19.3,0,1,1,0,0,0,1,0,1.0,1.0,1.1,2.1,30,78,90,0.00,0.05,0.05,0.00,0.05,0.05,0.06,0.11,0.05,0.11,Partidos
Isaac Palazón Camacho,es ESP,"DL,CC",30-074,25,19,1559,17.3,3,3,6,3,0,0,4,0,3.0,3.0,2.5,5.5,21,79,81,0.17,0.17,0.35,0.17,0.35,0.17,0.14,0.32,0.17,0.32,Partidos
Álvaro García,es ESP,"DL,CC",32-135,25,18,1672,18.6,3,4,7,3,0,0,4,0,5.0,5.0,4.0,9.0,49,52,159,0.16,0.22,0.38,0.16,0.38,0.27,0.22,0.48,0.27,0.48,Partidos
Unai López,es ESP,CC,29-132,21,16,1124,12.5,3,0,3,3,0,0,7,1,1.3,1.3,0.4,1.7,10,71,29,0.24,0.00,0.24,0.24,0.24,0.10,0.03,0.14,0.10,0.14,Partidos
Pathé Ciss,sn SEN,CC,30-360,23,15,1326,14.7,2,1,3,2,0,0,7,0,1.5,1.5,0.9,2.4,10,89,10,0.14,0.07,0.20,0.14,0.20,0.10,0.06,0.17,0.10,0.17,Partidos
Adri Embarba,es ESP,"DL,CC",32-308,25,15,1321,14.7,1,1,2,1,0,0,4,0,1.5,1.5,2.7,4.2,38,40,88,0.07,0.07,0.14,0.07,0.14,0.10,0.19,0.29,0.10,0.29,Partidos
Óscar Valentín,es ESP,CC,30-203,26,14,1448,16.1,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,10,68,8,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Partidos
Sergio Camello,es ESP,DL,24-029,23,14,1134,12.6,3,2,5,3,0,0,2,0,4.1,4.1,2.0,6.1,20,27,68,0.24,0.16,0.40,0.24,0.40,0.32,0.16,0.48,0.32,0.48,Partidos
Randy Nteka,ao ANG,DL,27-095,20,12,874,9.7,3,0,3,3,0,0,5,0,2.6,2.6,0.5,3.1,8,6,31,0.31,0.00,0.31,0.31,0.31,0.26,0.05,0.31,0.26,0.31,Partidos
Iván Balliu,al ALB,DF,33-069,19,7,785,8.7,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,7,31,14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Partidos
Pedro Díaz,es ESP,CC,26-279,15,6,567,6.3,1,0,1,1,0,0,1,0,0.7,0.7,1.1,1.8,10,29,16,0.16,0.00,0.16,0.16,0.16,0.11,0.17,0.29,0.11,0.29,Partidos
Alfonso Espino,uy URU,DF,33-065,7,6,481,5.3,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,7,21,16,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Partidos
Gerard Gumbau,es ESP,CC,30-083,15,5,611,6.8,0,1,1,0,0,0,4,0,0.8,0.8,1.2,2.0,2,27,19,0.00,0.15,0.15,0.00,0.15,0.12,0.18,0.30,0.12,0.30,Partidos
Cárdenas,es ESP,PO,27-348,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Óscar Trejo,ar ARG,"CC,DL",36-319,13,4,362,4.0,0,0,0,0,0,0,1,0,0.3,0.3,0.9,1.2,10,28,19,0.00,0.00,0.00,0.00,0.00,0.07,0.23,0.31,0.07,0.31,Partidos
Aridane Hernández,es ESP,DF,35-353,6,3,350,3.9,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,2,24,0,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Partidos
James Rodríguez,co COL,"CC,DL",33-242,6,1,140,1.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,3,13,7,0.00,0.00,0.00,0.00,0.00,0.19,0.11,0.29,0.19,0.29,Partidos
Sergi Guardiola,es ESP,DL,33-286,11,0,259,2.9,0,0,0,0,0,0,0,0,2.4,2.4,0.1,2.5,1,2,16,0.00,0.00,0.00,0.00,0.00,0.83,0.04,0.87,0.83,0.87,Partidos
Etienne Eto'o,cm CMR,DL,22-205,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
