Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Diego Llorente,es ESP,DF,31-207,26,26,2304,25.6,2,0,2,2,0,0,4,0,1.4,1.4,0.3,1.7,5,72,3,0.08,0.00,0.08,0.08,0.08,0.05,0.01,0.07,0.05,0.07,Partidos
Abde Ezzalzouli,ma MAR,"DL,CC",23-084,24,18,1552,17.2,1,1,2,1,0,1,2,0,7.1,6.3,1.7,7.9,99,57,167,0.06,0.06,0.12,0.06,0.12,0.41,0.10,0.50,0.36,0.46,Partidos
Johnny Cardoso,us USA,CC,23-172,20,17,1534,17.0,1,1,2,1,0,0,4,0,1.7,1.7,0.9,2.5,10,55,26,0.06,0.06,0.12,0.06,0.12,0.10,0.05,0.15,0.10,0.15,Partidos
Sergi Altimira,es ESP,CC,23-198,23,16,1508,16.8,0,1,1,0,0,0,3,0,1.6,1.5,1.5,3.0,17,75,23,0.00,0.06,0.06,0.00,0.06,0.10,0.09,0.18,0.09,0.18,Partidos
Romain Perraud,fr FRA,DF,27-170,20,16,1417,15.7,1,0,1,1,0,0,5,1,0.3,0.3,0.9,1.2,39,45,83,0.06,0.00,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,Partidos
Rui Silva,pt POR,PO,31-032,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Youssouf Sabaly,sn SEN,DF,32-006,17,15,1267,14.1,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.8,20,39,44,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Partidos
Natan,br BRA,DF,24-033,21,14,1319,14.7,0,1,1,0,0,0,2,1,0.2,0.2,0.6,0.8,11,40,6,0.00,0.07,0.07,0.00,0.07,0.01,0.04,0.05,0.01,0.05,Partidos
Marc Bartra,es ESP,DF,34-055,15,14,1286,14.3,2,0,2,2,0,0,1,0,1.1,1.1,0.0,1.1,4,40,1,0.14,0.00,0.14,0.14,0.14,0.07,0.00,0.07,0.07,0.07,Partidos
Vitor Roque,br BRA,DL,20-011,22,14,1235,13.7,4,0,4,4,0,0,4,0,6.1,6.1,1.2,7.3,24,17,57,0.29,0.00,0.29,0.29,0.29,0.44,0.09,0.53,0.44,0.53,Partidos
Pablo Fornals,es ESP,"CC,DL",29-017,16,13,1108,12.3,1,0,1,1,0,0,2,0,1.4,1.4,2.1,3.5,16,93,62,0.08,0.00,0.08,0.08,0.08,0.11,0.17,0.29,0.11,0.29,Partidos
Giovani Lo Celso,ar ARG,"CC,DL",28-336,16,11,1035,11.5,7,1,8,5,2,3,3,0,4.1,1.8,3.5,5.2,14,97,47,0.61,0.09,0.70,0.43,0.52,0.36,0.30,0.66,0.15,0.45,Partidos
Marc Roca,es ESP,CC,28-105,14,11,906,10.1,2,2,4,2,0,0,4,0,1.1,1.1,1.0,2.1,11,59,13,0.20,0.20,0.40,0.20,0.40,0.11,0.10,0.21,0.11,0.21,Partidos
Isco,es ESP,CC,32-324,12,10,897,10.0,5,2,7,2,3,4,4,0,5.2,2.0,2.1,4.1,18,84,63,0.50,0.20,0.70,0.20,0.40,0.52,0.21,0.73,0.20,0.41,Partidos
Ricardo Rodríguez,ch SUI,DF,32-198,13,10,869,9.7,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,12,43,26,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidos
Jesus Rodríguez,es ESP,DL,19-110,11,9,673,7.5,1,0,1,1,0,0,0,0,1.5,1.5,0.1,1.6,36,22,67,0.13,0.00,0.13,0.13,0.13,0.20,0.02,0.22,0.20,0.22,Partidos
Adrián,es ESP,PO,38-067,8,8,720,8.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Aitor Ruibal,es ESP,"DL,DF",28-354,19,7,677,7.5,0,2,2,0,0,0,3,0,0.6,0.6,1.3,1.9,15,25,40,0.00,0.27,0.27,0.00,0.27,0.08,0.17,0.25,0.08,0.25,Partidos
Ezequiel Ávila,ar ARG,DL,31-033,18,6,632,7.0,2,0,2,2,0,0,5,1,1.5,1.5,1.0,2.5,12,18,46,0.28,0.00,0.28,0.28,0.28,0.22,0.14,0.36,0.22,0.36,Partidos
Héctor Bellerín,es ESP,DF,29-357,7,6,524,5.8,0,1,1,0,0,0,1,0,0.2,0.2,2.0,2.2,3,24,20,0.00,0.17,0.17,0.00,0.17,0.03,0.34,0.38,0.03,0.38,Partidos
Antony,br BRA,DL,25-015,6,6,501,5.6,2,2,4,2,0,0,1,1,0.7,0.7,1.9,2.5,19,22,51,0.36,0.36,0.72,0.36,0.72,0.12,0.34,0.46,0.12,0.46,Partidos
Cédric Bakambu,cd COD,DL,33-334,17,5,530,5.9,1,2,3,1,0,0,4,0,2.3,2.3,0.6,2.8,6,9,34,0.17,0.34,0.51,0.17,0.51,0.39,0.10,0.48,0.39,0.48,Partidos
Fran Vieites,es ESP,PO,25-308,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Ángel Ortíz,es ESP,DF,20-229,4,4,344,3.8,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,3,14,18,0.00,0.26,0.26,0.00,0.26,0.00,0.03,0.04,0.00,0.04,Partidos
Cucho,co COL,DL,25-325,4,4,306,3.4,0,0,0,0,0,0,0,0,0.9,0.9,1.0,1.9,7,12,14,0.00,0.00,0.00,0.00,0.00,0.26,0.29,0.55,0.26,0.55,Partidos
William Carvalho,pt POR,CC,32-338,4,4,247,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,20,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Partidos
Iker Losada,es ESP,"CC,DL",23-222,10,3,336,3.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,9,14,16,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.21,0.13,0.21,Partidos
Assane Diao,es ESP,DL,19-185,10,2,277,3.1,1,2,3,1,0,0,0,0,0.8,0.8,1.5,2.3,9,1,27,0.32,0.65,0.97,0.32,0.97,0.26,0.50,0.75,0.26,0.75,Partidos
