Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Kylian Mbappé,fr FRA,DL,26-081,25,25,2150,23.9,18,3,21,13,5,6,3,0,17.5,12.8,4.8,17.5,108,103,293,0.75,0.13,0.88,0.54,0.67,0.73,0.20,0.93,0.54,0.73,Partidos
Federico Valverde,uy URU,"CC,DF",26-232,25,24,2122,23.6,5,3,8,5,0,0,3,0,1.2,1.2,2.2,3.4,48,156,50,0.21,0.13,0.34,0.21,0.34,0.05,0.09,0.14,0.05,0.14,Partidos
Thibaut Courtois,be BEL,PO,32-304,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Aurélien Tchouaméni,fr FRA,"CC,DF",25-043,22,22,1904,21.2,0,0,0,0,0,0,2,0,1.2,1.2,0.5,1.7,16,129,8,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.08,0.06,0.08,Partidos
Antonio Rüdiger,de GER,DF,32-008,24,22,1901,21.1,0,0,0,0,0,0,3,0,1.3,1.3,0.2,1.5,14,71,3,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Partidos
Jude Bellingham,eng ENG,CC,21-255,21,21,1713,19.0,7,6,13,6,1,2,3,1,7.8,6.3,2.7,8.9,54,138,97,0.37,0.32,0.68,0.32,0.63,0.41,0.14,0.55,0.33,0.47,Partidos
Vinicius Júnior,br BRA,DL,24-242,21,19,1714,19.0,10,5,15,8,2,2,7,1,8.3,7.0,5.6,12.5,126,65,200,0.53,0.26,0.79,0.42,0.68,0.44,0.29,0.73,0.37,0.66,Partidos
Rodrygo,br BRA,"DL,CC",24-061,24,19,1645,18.3,6,5,11,6,0,0,0,0,3.7,3.5,2.9,6.4,92,98,214,0.33,0.27,0.60,0.33,0.60,0.20,0.16,0.36,0.19,0.35,Partidos
Lucas Vázquez,es ESP,DF,33-253,22,17,1493,16.6,1,3,4,1,0,0,3,0,1.3,1.3,3.9,5.2,22,71,143,0.06,0.18,0.24,0.06,0.24,0.08,0.23,0.31,0.08,0.31,Partidos
Fran Garcia,es ESP,DF,25-209,21,14,1313,14.6,0,1,1,0,0,0,0,0,0.6,0.6,0.6,1.3,39,68,99,0.00,0.07,0.07,0.00,0.07,0.04,0.04,0.09,0.04,0.09,Partidos
