Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Álex Remiro,es ESP,PO,29-352,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Martín Zubimendi,es ESP,CC,26-037,26,24,2149,23.9,1,1,2,1,0,0,4,0,1.6,1.6,0.8,2.5,29,147,36,0.04,0.04,0.08,0.04,0.08,0.07,0.03,0.10,0.07,0.10,Partidos
Sergio Gómez,es ESP,"CC,DF",24-188,26,23,1998,22.2,0,4,4,0,0,0,2,0,0.6,0.6,7.0,7.6,36,78,114,0.00,0.18,0.18,0.00,0.18,0.03,0.32,0.34,0.03,0.34,Partidos
Igor Zubeldia,es ESP,DF,27-346,22,22,1841,20.5,0,0,0,0,0,0,6,1,0.4,0.4,0.4,0.8,18,83,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
Jon Aramburu,ve VEN,DF,22-231,24,22,1828,20.3,0,1,1,0,0,0,7,0,0.4,0.4,0.9,1.3,21,79,35,0.00,0.05,0.05,0.00,0.05,0.02,0.04,0.06,0.02,0.06,Partidos
Nayef Aguerd,ma MAR,DF,28-346,20,20,1670,18.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,71,1,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,Partidos
Mikel Oyarzabal,es ESP,"DL,CC",27-324,24,19,1487,16.5,4,2,6,2,2,2,3,1,5.2,3.6,2.3,5.9,19,19,91,0.24,0.12,0.36,0.12,0.24,0.31,0.14,0.45,0.22,0.35,Partidos
Takefusa Kubo,jp JPN,"CC,DL",23-280,25,17,1559,17.3,5,0,5,5,0,0,5,0,2.9,2.9,2.7,5.6,99,72,156,0.29,0.00,0.29,0.29,0.29,0.17,0.16,0.33,0.17,0.33,Partidos
Luka Sučić,hr CRO,CC,22-184,19,17,1416,15.7,1,1,2,1,0,0,2,0,2.7,2.7,1.6,4.3,26,68,40,0.06,0.06,0.13,0.06,0.13,0.17,0.10,0.27,0.17,0.27,Partidos
Javi López,es ESP,DF,22-351,21,15,1456,16.2,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,29,54,39,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03,Partidos
Brais Méndez,es ESP,CC,28-063,21,15,1259,14.0,3,1,4,3,0,0,4,0,2.8,2.8,1.7,4.5,24,74,74,0.21,0.07,0.29,0.21,0.29,0.20,0.12,0.32,0.20,0.32,Partidos
Sheraldo Becker,sr SUR,"DL,CC",30-030,20,11,971,10.8,2,1,3,2,0,0,1,1,2.0,2.0,2.0,4.0,49,23,105,0.19,0.09,0.28,0.19,0.28,0.19,0.18,0.37,0.19,0.37,Partidos
Ander Barrenetxea,es ESP,"CC,DL",23-074,22,9,905,10.1,1,2,3,1,0,0,4,0,1.4,1.4,1.2,2.6,34,38,115,0.10,0.20,0.30,0.10,0.30,0.14,0.12,0.26,0.14,0.26,Partidos
Beñat Turrientes,es ESP,CC,23-039,15,9,711,7.9,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.5,14,32,26,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Partidos
Orri Steinn Óskarsson,is ISL,DL,20-194,19,8,793,8.8,3,0,3,3,0,0,0,0,4.8,4.8,0.2,5.0,4,8,45,0.34,0.00,0.34,0.34,0.34,0.55,0.02,0.57,0.55,0.57,Partidos
Aritz Elustondo,es ESP,DF,30-348,13,8,711,7.9,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,9,24,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Partidos
Aihen Muñoz,es ESP,DF,27-207,14,8,598,6.6,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,14,23,8,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
Jon Pacheco,es ESP,DF,24-062,11,7,629,7.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,11,20,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Olasagasti,es ESP,CC,24-207,15,4,516,5.7,1,1,2,1,0,0,2,0,0.6,0.6,0.6,1.2,7,24,24,0.17,0.17,0.35,0.17,0.35,0.11,0.11,0.22,0.11,0.22,Partidos
Pablo Marín,es ESP,CC,21-251,12,4,467,5.2,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,2,13,24,0.00,0.19,0.19,0.00,0.19,0.01,0.08,0.09,0.01,0.09,Partidos
Hamari Traoré,ml MLI,DF,33-043,6,4,368,4.1,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,5,14,9,0.00,0.24,0.24,0.00,0.24,0.00,0.04,0.04,0.00,0.04,Partidos
Umar Sadiq,ng NGA,DL,28-037,7,2,227,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,5,5,18,0.00,0.00,0.00,0.00,0.00,0.09,0.06,0.15,0.09,0.15,Partidos
Unai Marrero,es ESP,PO,23-153,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Arsen Zakharyan,ru RUS,"CC,DL",21-289,3,1,73,0.8,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,0,3,4,1.23,0.00,1.23,1.23,1.23,0.24,0.12,0.36,0.24,0.36,Partidos
Urko González,es ESP,CC,23-356,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jon Martin,es ESP,DF,19-069,6,0,297,3.3,0,1,1,0,0,0,1,0,0.4,0.4,0.1,0.5,0,5,0,0.00,0.30,0.30,0.00,0.30,0.14,0.02,0.15,0.14,0.15,Partidos
Arkaitz Mariezkurrena,es ESP,"CC,DL",19-340,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Álvaro Odriozola,es ESP,DF,29-087,2,0,43,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luken Beitia,es ESP,DF,20-254,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
