Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Obite N'Dicka,ci CIV,DF,25-203,28,28,2520,28.0,0,1,1,0,0,0,2,0,0.8,0.8,0.7,1.6,20,75,5,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.06,0.03,0.06,Partidos
Mile Svilar,rs SRB,PO,25-196,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Angeliño,es ESP,DF,28-066,28,26,2277,25.3,2,1,3,2,0,0,1,0,0.6,0.6,2.2,2.8,45,136,117,0.08,0.04,0.12,0.08,0.12,0.02,0.09,0.11,0.02,0.11,Partidos
Gianluca Mancini,it ITA,DF,28-328,27,26,2243,24.9,1,0,1,1,0,0,5,0,1.3,1.3,0.8,2.1,41,117,22,0.04,0.00,0.04,0.04,0.04,0.05,0.03,0.09,0.05,0.09,Partidos
Manu Koné,fr FRA,CC,23-298,24,21,1728,19.2,2,1,3,2,0,0,5,0,2.1,2.1,1.1,3.2,45,86,31,0.10,0.05,0.16,0.10,0.16,0.11,0.06,0.17,0.11,0.17,Partidos
Artem Dovbyk,ua UKR,DL,27-263,24,20,1831,20.3,9,2,11,7,2,2,0,0,9.5,7.9,2.0,9.9,16,14,135,0.44,0.10,0.54,0.34,0.44,0.47,0.10,0.56,0.39,0.49,Partidos
Zeki Çelik,tr TUR,DF,28-022,23,19,1570,17.4,0,2,2,0,0,0,3,0,0.5,0.5,1.3,1.7,19,66,66,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10,Partidos
Paulo Dybala,ar ARG,"DL,CC",31-116,23,16,1406,15.6,6,3,9,3,3,3,2,0,6.4,4.0,5.0,9.0,41,79,121,0.38,0.19,0.58,0.19,0.38,0.41,0.32,0.73,0.26,0.58,Partidos
Lorenzo Pellegrini,it ITA,CC,28-265,21,16,1385,15.4,2,1,3,1,1,1,4,0,4.5,3.7,1.9,5.6,22,52,71,0.13,0.06,0.19,0.06,0.13,0.29,0.12,0.41,0.24,0.36,Partidos
Bryan Cristante,it ITA,CC,30-008,20,15,1309,14.5,2,1,3,2,0,0,6,0,1.1,1.1,0.9,2.0,17,99,24,0.14,0.07,0.21,0.14,0.21,0.07,0.06,0.14,0.07,0.14,Partidos
Matìas Soulé,ar ARG,"CC,DL",21-330,17,12,959,10.7,3,1,4,3,0,0,2,0,2.0,2.0,2.8,4.8,51,46,107,0.28,0.09,0.38,0.28,0.38,0.18,0.27,0.45,0.18,0.45,Partidos
