Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Dodi Lukebakio,be BEL,DL,27-168,27,26,2251,25.0,11,1,12,10,1,1,2,0,7.6,6.8,2.5,9.3,102,66,177,0.44,0.04,0.48,0.40,0.44,0.30,0.10,0.40,0.27,0.37,Partidos
Carmona,es ESP,DF,23-041,25,25,2178,24.2,0,0,0,0,0,0,6,0,0.4,0.4,1.3,1.7,26,82,26,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Partidos
Isaac Romero,es ESP,DL,24-297,23,22,1797,20.0,3,2,5,3,0,1,8,0,5.0,4.2,2.0,6.2,18,21,78,0.15,0.10,0.25,0.15,0.25,0.25,0.10,0.35,0.21,0.31,Partidos
Loïc Bade,fr FRA,DF,24-334,22,21,1911,21.2,1,1,2,1,0,0,5,0,0.5,0.5,0.6,1.1,7,38,4,0.05,0.05,0.09,0.05,0.09,0.02,0.03,0.05,0.02,0.05,Partidos
Nemanja Gudelj,rs SRB,"DF,CC",33-115,22,21,1868,20.8,0,1,1,0,0,0,4,0,0.4,0.4,0.6,1.0,10,46,5,0.00,0.05,0.05,0.00,0.05,0.02,0.03,0.05,0.02,0.05,Partidos
Ørjan Nyland,no NOR,PO,34-182,20,20,1773,19.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Adrià Pedrosa,es ESP,DF,26-302,21,19,1610,17.9,1,1,2,1,0,0,6,0,0.5,0.5,0.8,1.2,30,61,66,0.06,0.06,0.11,0.06,0.11,0.03,0.04,0.07,0.03,0.07,Partidos
Djibril Sow,ch SUI,CC,28-033,22,17,1491,16.6,1,1,2,1,0,0,4,0,1.9,1.9,0.6,2.5,16,80,35,0.06,0.06,0.12,0.06,0.12,0.11,0.04,0.15,0.11,0.15,Partidos
Kike Salas,es ESP,DF,22-322,21,15,1385,15.4,1,2,3,1,0,0,3,0,0.9,0.9,0.6,1.5,5,45,12,0.06,0.13,0.19,0.06,0.19,0.06,0.04,0.10,0.06,0.10,Partidos
Lucien Agoume,fr FRA,CC,23-030,25,14,1246,13.8,0,0,0,0,0,0,3,1,0.4,0.4,0.6,1.0,15,62,13,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Partidos
Saúl Ñíguez,es ESP,CC,30-110,15,13,1148,12.8,1,6,7,1,0,0,5,1,2.0,2.0,2.4,4.5,9,48,33,0.08,0.47,0.55,0.08,0.55,0.16,0.19,0.35,0.16,0.35,Partidos
Albert Sambi Lokonga,be BEL,CC,25-140,16,12,1138,12.6,0,2,2,0,0,0,4,0,0.4,0.4,0.5,0.9,20,69,15,0.00,0.16,0.16,0.00,0.16,0.03,0.04,0.07,0.03,0.07,Partidos
