Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Kyle Walker-Peters,eng ENG,DF,27-332,26,26,2288,25.4,0,2,2,0,0,0,5,0,0.5,0.5,2.6,3.0,93,103,112,0.00,0.08,0.08,0.00,0.08,0.02,0.10,0.12,0.02,0.12,Partidos
Mateus Fernandes,pt POR,CC,20-244,26,24,2096,23.3,1,2,3,1,0,0,7,0,3.1,3.1,2.0,5.1,60,101,71,0.04,0.09,0.13,0.04,0.13,0.13,0.09,0.22,0.13,0.22,Partidos
Taylor Harwood-Bellis,eng ENG,DF,23-040,25,23,2030,22.6,1,0,1,1,0,0,7,0,1.7,1.7,0.8,2.5,19,93,7,0.04,0.00,0.04,0.04,0.04,0.07,0.03,0.11,0.07,0.11,Partidos
Jan Bednarek,pl POL,DF,28-333,23,23,1901,21.1,2,0,2,2,0,0,5,0,0.7,0.7,0.5,1.1,4,51,1,0.09,0.00,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,Partidos
Aaron Ramsdale,eng ENG,PO,26-301,20,20,1800,20.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Joe Aribo,ng NGA,"CC,DF",28-233,27,18,1737,19.3,3,0,3,3,0,0,1,0,2.6,2.6,1.5,4.0,32,63,57,0.16,0.00,0.16,0.16,0.16,0.13,0.08,0.21,0.13,0.21,Partidos
Flynn Downes,eng ENG,CC,26-050,19,18,1514,16.8,1,0,1,1,0,0,9,0,0.6,0.6,0.9,1.5,19,51,24,0.06,0.00,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09,Partidos
Tyler Dibling,eng ENG,"DL,CC",18-364,24,16,1450,16.1,2,0,2,2,0,0,6,0,2.1,2.1,1.3,3.4,56,51,74,0.12,0.00,0.12,0.12,0.12,0.13,0.08,0.21,0.13,0.21,Partidos
Adam Armstrong,eng ENG,"DL,CC",28-029,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Partidos
Yukinari Sugawara,jp JPN,DF,24-256,25,14,1371,15.2,1,1,2,1,0,0,4,0,0.4,0.4,2.2,2.6,30,65,66,0.07,0.07,0.13,0.07,0.13,0.03,0.15,0.17,0.03,0.17,Partidos
Cameron Archer,eng ENG,DL,23-233,25,11,1159,12.9,2,0,2,2,0,1,0,0,4.9,4.1,0.3,4.4,16,12,52,0.16,0.00,0.16,0.16,0.16,0.38,0.03,0.41,0.32,0.34,Partidos
