Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Vanja Milinković-Savić,rs SRB,PO,28-019,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Samuele Ricci,it ITA,CC,23-202,27,27,2278,25.3,1,1,2,1,0,0,7,0,1.2,1.2,0.4,1.6,36,86,27,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.06,0.05,0.06,Partidos
Saúl Coco,gq EQG,DF,26-030,26,26,2340,26.0,2,0,2,2,0,0,9,0,1.0,1.0,0.0,1.0,15,61,3,0.08,0.00,0.08,0.08,0.08,0.04,0.00,0.04,0.04,0.04,Partidos
Valentino Lazaro,at AUT,"DF,DL",28-352,27,22,1923,21.4,0,6,6,0,0,0,3,0,0.8,0.8,3.1,3.9,32,61,108,0.00,0.28,0.28,0.00,0.28,0.04,0.15,0.18,0.04,0.18,Partidos
Che Adams,sct SCO,DL,28-241,26,21,1823,20.3,8,3,11,8,0,0,2,0,5.2,5.2,1.8,7.0,18,27,109,0.39,0.15,0.54,0.39,0.54,0.26,0.09,0.35,0.26,0.35,Partidos
Guillermo Maripán,cl CHI,DF,30-309,18,17,1440,16.0,1,1,2,1,0,0,0,1,0.7,0.7,0.6,1.4,6,51,5,0.06,0.06,0.12,0.06,0.12,0.05,0.04,0.09,0.05,0.09,Partidos
Nikola Vlašić,hr CRO,"CC,DL",27-158,22,16,1499,16.7,3,3,6,2,1,1,0,0,2.0,1.2,1.8,3.0,43,76,79,0.18,0.18,0.36,0.12,0.30,0.12,0.11,0.23,0.07,0.18,Partidos
Adam Masina,ma MAR,DF,31-068,20,15,1452,16.1,1,2,3,1,0,0,5,0,0.2,0.2,0.3,0.5,13,61,7,0.06,0.12,0.19,0.06,0.19,0.01,0.02,0.03,0.01,0.03,Partidos
Sebastian Walukiewicz,pl POL,DF,24-340,21,15,1324,14.7,0,0,0,0,0,0,5,0,0.4,0.4,0.3,0.6,21,67,20,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Partidos
Karol Linetty,pl POL,CC,30-037,23,15,1282,14.2,1,0,1,1,0,0,6,0,0.6,0.6,0.2,0.8,13,42,14,0.07,0.00,0.07,0.07,0.07,0.04,0.02,0.06,0.04,0.06,Partidos
Borna Sosa,hr CRO,DF,27-049,19,14,1181,13.1,0,0,0,0,0,0,0,0,0.3,0.3,0.7,1.0,13,51,49,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Partidos
Antonio Sanabria,py PAR,DL,29-007,21,14,1122,12.5,2,1,3,2,0,1,1,0,2.7,1.9,0.5,2.4,6,15,47,0.16,0.08,0.24,0.16,0.24,0.22,0.04,0.26,0.16,0.19,Partidos
Marcus Pedersen,no NOR,DF,24-238,22,13,1142,12.7,0,0,0,0,0,0,3,0,0.6,0.6,0.4,0.9,37,13,69,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Partidos
Mërgim Vojvoda,xk KVX,DF,30-038,17,12,1105,12.3,0,0,0,0,0,0,4,0,0.4,0.4,0.4,0.8,18,64,34,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.07,Partidos
Yann Karamoh,fr FRA,"CC,DL",26-246,23,10,915,10.2,0,1,1,0,0,0,2,0,1.2,1.2,0.9,2.1,31,24,72,0.00,0.10,0.10,0.00,0.10,0.12,0.09,0.21,0.12,0.21,Partidos
Gvidas Gineitis,lt LTU,CC,20-330,21,8,875,9.7,2,1,3,2,0,0,1,0,0.7,0.7,1.8,2.5,11,27,33,0.21,0.10,0.31,0.21,0.31,0.07,0.19,0.26,0.07,0.26,Partidos
Ivan Ilić,rs SRB,CC,23-359,12,8,716,8.0,1,0,1,1,0,0,3,0,0.9,0.9,0.6,1.6,23,33,35,0.13,0.00,0.13,0.13,0.13,0.12,0.08,0.20,0.12,0.20,Partidos
Adrien Tameze,cm CMR,"CC,DF",31-035,16,8,598,6.6,0,0,0,0,0,0,3,0,0.4,0.4,0.8,1.2,14,23,20,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Partidos
Duván Zapata,co COL,DL,33-344,7,7,587,6.5,3,0,3,3,0,0,1,0,3.4,3.4,0.5,3.9,6,7,36,0.46,0.00,0.46,0.46,0.46,0.52,0.08,0.59,0.52,0.59,Partidos
