Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Pedro Porro,es ESP,DF,25-179,28,24,2280,25.3,2,5,7,2,0,0,2,0,1.5,1.5,3.2,4.7,57,128,93,0.08,0.20,0.28,0.08,0.28,0.06,0.13,0.18,0.06,0.18,Partidos
Dejan Kulusevski,se SWE,"CC,DL",24-320,27,24,2154,23.9,7,4,11,7,0,0,3,0,4.1,4.1,6.1,10.2,115,118,199,0.29,0.17,0.46,0.29,0.46,0.17,0.25,0.43,0.17,0.43,Partidos
Son Heung-min,kr KOR,DL,32-246,25,21,1813,20.1,7,9,16,6,1,2,1,0,6.5,4.9,8.0,12.8,78,90,227,0.35,0.45,0.79,0.30,0.74,0.32,0.39,0.72,0.24,0.64,Partidos
Destiny Udogie,it ITA,DF,22-103,21,20,1564,17.4,0,1,1,0,0,0,2,0,0.3,0.3,1.3,1.6,44,107,82,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.09,0.02,0.09,Partidos
Brennan Johnson,wls WAL,DL,23-292,25,19,1717,19.1,9,2,11,9,0,0,4,0,9.2,9.2,1.6,10.8,52,57,165,0.47,0.10,0.58,0.47,0.58,0.48,0.08,0.57,0.48,0.57,Partidos
Dominic Solanke,eng ENG,DL,27-178,19,19,1688,18.8,7,3,10,7,0,0,0,0,8.6,8.6,2.8,11.4,27,38,74,0.37,0.16,0.53,0.37,0.53,0.46,0.15,0.61,0.46,0.61,Partidos
James Maddison,eng ENG,CC,28-108,26,17,1501,16.7,9,5,14,9,0,0,6,0,5.7,5.7,3.2,8.9,38,140,78,0.54,0.30,0.84,0.54,0.84,0.34,0.19,0.53,0.34,0.53,Partidos
Guglielmo Vicario,it ITA,PO,28-155,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Pape Matar Sarr,sn SEN,CC,22-178,27,16,1396,15.5,3,2,5,3,0,0,5,0,3.1,3.1,1.5,4.7,27,72,40,0.19,0.13,0.32,0.19,0.32,0.20,0.10,0.30,0.20,0.30,Partidos
Rodrigo Bentancur,uy URU,CC,27-259,18,15,1161,12.9,2,0,2,2,0,0,7,0,1.1,1.1,0.4,1.5,19,72,18,0.16,0.00,0.16,0.16,0.16,0.09,0.03,0.12,0.09,0.12,Partidos
Radu Drăgușin,ro ROU,DF,23-036,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
Yves Bissouma,ml MLI,CC,28-193,21,13,1100,12.2,2,0,2,2,0,0,6,0,0.6,0.6,0.2,0.8,15,67,3,0.16,0.00,0.16,0.16,0.16,0.05,0.02,0.07,0.05,0.07,Partidos
Cristian Romero,ar ARG,DF,26-318,13,13,1034,11.5,1,0,1,1,0,0,1,0,1.1,1.1,0.5,1.7,10,53,2,0.09,0.00,0.09,0.09,0.09,0.10,0.05,0.14,0.10,0.14,Partidos
Archie Gray,eng ENG,DF,18-364,20,12,1155,12.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,27,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Djed Spence,eng ENG,DF,24-214,15,10,974,10.8,1,1,2,1,0,0,3,1,0.3,0.3,1.5,1.7,35,57,46,0.09,0.09,0.18,0.09,0.18,0.02,0.14,0.16,0.02,0.16,Partidos
Micky van de Ven,nl NED,DF,23-326,10,9,818,9.1,0,2,2,0,0,0,4,0,0.4,0.4,1.2,1.5,8,44,1,0.00,0.22,0.22,0.00,0.22,0.04,0.13,0.17,0.04,0.17,Partidos
Lucas Bergvall,se SWE,CC,19-037,21,8,889,9.9,0,1,1,0,0,0,3,0,0.5,0.5,0.4,0.9,21,41,20,0.00,0.10,0.10,0.00,0.10,0.05,0.04,0.09,0.05,0.09,Partidos
Ben Davies,wls WAL,DF,31-321,8,7,631,7.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,5,28,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
Fraser Forster,eng ENG,PO,36-359,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Timo Werner,de GER,"DL,CC",29-005,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.00,0.52,0.52,0.00,0.52,0.17,0.44,0.61,0.17,0.61,Partidos
Antonín Kinský,cz CZE,PO,21-363,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Kevin Danso,at AUT,DF,26-173,4,4,347,3.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,2,7,0,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Partidos
Wilson Odobert,fr FRA,DL,20-103,7,4,339,3.8,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.7,24,13,34,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Partidos
Mathys Tel,fr FRA,DL,19-318,3,3,229,2.5,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.8,3,1,8,0.00,0.00,0.00,0.00,0.00,0.30,0.02,0.32,0.30,0.32,Partidos
Richarlison,br BRA,DL,27-305,9,2,279,3.1,2,1,3,2,0,0,1,0,1.2,1.2,0.9,2.1,8,10,17,0.65,0.32,0.97,0.65,0.97,0.38,0.29,0.67,0.38,0.67,Partidos
Mikey Moore,eng ENG,"DL,CC",17-212,7,2,185,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,9,7,30,0.00,0.49,0.49,0.00,0.49,0.10,0.16,0.26,0.10,0.26,Partidos
Brandon Austin,eng ENG,PO,26-062,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Sergio Reguilón,es ESP,DF,28-085,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Partidos
Dane Scarlett,eng ENG,DL,20-352,2,0,29,0.3,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,3.10,3.10,0.00,3.10,0.00,0.14,0.14,0.00,0.14,Partidos
Alfie Dorrington,eng ENG,DF,19-325,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Will Lankshear,eng ENG,"DL,CC",19-325,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Oyindamola Ajayi,eng ENG,DL,19-074,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Dante Cassanova,jm JAM,DF,20-263,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alfie Devine,eng ENG,CC,20-222,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Malachi Hardy,eng ENG,DF,17-001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Maeson King,eng ENG,DF,19-183,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Yang Minhyeok,kr KOR,CC,18-329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Callum Olusesi,eng ENG,CC,18-053,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Alfie Whiteman,eng ENG,PO,26-160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
Luca Williams Barnett,eng ENG,DL,16-161,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partidos
