Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Jaka Bijol,si SVN,DF,26-034,26,26,2340,26.0,1,0,1,1,0,0,7,0,2.0,2.0,0.4,2.4,16,67,4,0.04,0.00,0.04,0.04,0.04,0.08,0.02,0.09,0.08,0.09,Partidos
Jesper Karlström,se SWE,CC,29-263,27,26,2307,25.6,0,2,2,0,0,0,6,0,0.5,0.5,0.8,1.3,12,96,29,0.00,0.08,0.08,0.00,0.08,0.02,0.03,0.05,0.02,0.05,Partidos
Sandi Lovrić,si SVN,CC,26-348,27,25,1836,20.4,2,3,5,2,0,0,4,0,2.3,2.3,3.1,5.4,51,98,60,0.10,0.15,0.25,0.10,0.25,0.11,0.15,0.26,0.11,0.26,Partidos
Florian Thauvin,fr FRA,"DL,CC",32-044,25,24,1956,21.7,8,3,11,7,1,3,0,0,8.1,5.6,3.8,9.5,92,90,148,0.37,0.14,0.51,0.32,0.46,0.37,0.18,0.55,0.26,0.44,Partidos
Kingsley Ehizibue,nl NED,DF,29-290,25,23,1868,20.8,0,1,1,0,0,0,4,0,1.1,1.1,1.3,2.5,37,42,97,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12,Partidos
Lorenzo Lucca,it ITA,DL,24-182,27,22,1889,21.0,10,1,11,9,1,1,8,0,5.9,5.1,1.2,6.3,15,16,76,0.48,0.05,0.52,0.43,0.48,0.28,0.06,0.34,0.24,0.30,Partidos
Hassane Kamara,ci CIV,DF,31-006,22,17,1390,15.4,1,3,4,1,0,0,7,1,0.8,0.8,1.7,2.5,39,45,70,0.06,0.19,0.26,0.06,0.26,0.05,0.11,0.16,0.05,0.16,Partidos
Maduka Okoye,ng NGA,PO,25-195,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jurgen Ekkelenkamp,nl NED,CC,24-340,24,13,1317,14.6,3,2,5,3,0,0,1,0,1.6,1.6,1.0,2.6,24,48,54,0.21,0.14,0.34,0.21,0.34,0.11,0.07,0.18,0.11,0.18,Partidos
Thomas Kristensen,dk DEN,DF,23-053,16,12,1172,13.0,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,12,48,10,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
