Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Cristhian Mosquera,es ESP,DF,20-257,26,26,2329,25.9,1,0,1,1,0,0,5,0,0.4,0.4,0.0,0.4,27,86,5,0.04,0.00,0.04,0.04,0.04,0.01,0.00,0.01,0.01,0.01,Partidos
Luis Rioja,es ESP,"CC,DL",31-146,26,25,2149,23.9,5,2,7,3,2,2,4,0,3.1,1.6,3.3,4.8,69,63,164,0.21,0.08,0.29,0.13,0.21,0.13,0.14,0.27,0.07,0.20,Partidos
César Tárrega,es ESP,DF,23-013,24,24,2126,23.6,2,0,2,2,0,0,3,0,1.6,1.6,0.0,1.6,18,59,1,0.08,0.00,0.08,0.08,0.08,0.07,0.00,0.07,0.07,0.07,Partidos
Diego López,es ESP,"CC,DL",22-302,27,24,1923,21.4,5,4,9,5,0,0,2,0,4.3,4.3,3.8,8.1,57,57,151,0.23,0.19,0.42,0.23,0.42,0.20,0.18,0.38,0.20,0.38,Partidos
Giorgi Mamardashvili,ge GEO,PO,24-163,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Javier Guerra,es ESP,CC,22-069,26,21,1750,19.4,1,3,4,1,0,0,2,0,1.3,1.3,2.8,4.1,27,89,54,0.05,0.15,0.21,0.05,0.21,0.07,0.15,0.21,0.07,0.21,Partidos
Hugo Duro,es ESP,DL,25-121,22,20,1696,18.8,7,2,9,7,0,0,3,0,6.4,6.4,1.2,7.6,11,23,66,0.37,0.11,0.48,0.37,0.48,0.34,0.06,0.40,0.34,0.40,Partidos
Dimitri Foulquier,fr FRA,DF,31-353,25,18,1702,18.9,0,0,0,0,0,0,4,0,0.4,0.4,0.3,0.7,37,73,49,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
Enzo Barrenechea,ar ARG,CC,23-293,20,17,1397,15.5,1,2,3,1,0,0,5,0,1.1,1.1,0.8,1.8,16,78,8,0.06,0.13,0.19,0.06,0.19,0.07,0.05,0.12,0.07,0.12,Partidos
José Luis García Vayá,es ESP,CC,26-212,24,15,1391,15.5,1,2,3,0,1,1,8,1,1.3,0.5,1.8,2.3,9,119,15,0.06,0.13,0.19,0.00,0.13,0.08,0.12,0.20,0.03,0.15,Partidos
Domingos André Ribeiro Almeida,pt POR,"CC,DL",24-285,24,15,1327,14.7,0,1,1,0,0,0,1,0,0.5,0.5,1.8,2.3,29,93,55,0.00,0.07,0.07,0.00,0.07,0.03,0.13,0.16,0.03,0.16,Partidos
José Luis Gayà,es ESP,DF,29-290,14,13,1056,11.7,0,1,1,0,0,0,3,0,0.6,0.6,2.0,2.5,19,37,100,0.00,0.09,0.09,0.00,0.09,0.05,0.17,0.22,0.05,0.22,Partidos
Yarek Gasiorowski,es ESP,DF,20-058,14,9,940,10.4,0,0,0,0,0,0,1,0,1.1,1.1,0.1,1.2,9,37,0,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Partidos
Thierry Correia,pt POR,DF,26-002,11,9,768,8.5,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,16,44,48,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Partidos
Jesus Vazquez,es ESP,DF,22-068,13,8,684,7.6,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,25,17,38,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.05,0.01,0.05,Partidos
Dani Gómez,es ESP,DL,26-224,14,5,532,5.9,2,0,2,2,0,0,0,0,2.7,2.7,0.0,2.7,3,6,24,0.34,0.00,0.34,0.34,0.34,0.46,0.01,0.46,0.46,0.46,Partidos
Hugo Guillamón,es ESP,CC,25-039,11,4,363,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,15,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
Stole Dimitrievski,mk MKD,PO,31-076,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Umar Sadiq,ng NGA,DL,28-037,7,3,368,4.1,4,0,4,4,0,0,2,0,2.1,2.1,0.5,2.5,6,5,20,0.98,0.00,0.98,0.98,0.98,0.51,0.11,0.62,0.51,0.62,Partidos
