Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Karl Jakob Hein,ee EST,PO,22-332,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Luis Pérez,es ESP,DF,30-035,26,25,2243,24.9,0,0,0,0,0,0,2,0,0.1,0.1,1.8,1.9,36,76,102,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Partidos
Lucas Oliveira Rosa,br BRA,DF,24-342,21,21,1890,21.0,0,1,1,0,0,0,6,0,0.9,0.9,2.0,2.8,31,50,74,0.00,0.05,0.05,0.00,0.05,0.04,0.09,0.13,0.04,0.13,Partidos
Javi Sánchez,es ESP,DF,27-362,20,20,1659,18.4,1,0,1,1,0,0,4,0,0.4,0.4,0.3,0.6,4,21,4,0.05,0.00,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,Partidos
Raúl Moro,es ESP,"DL,CC",22-096,22,16,1531,17.0,3,2,5,3,0,0,1,0,2.3,2.3,4.0,6.3,77,61,133,0.18,0.12,0.29,0.18,0.29,0.13,0.24,0.37,0.13,0.37,Partidos
Mario Martín,es ESP,CC,21-006,22,15,1357,15.1,0,1,1,0,0,0,7,2,1.1,1.1,1.4,2.5,14,51,16,0.00,0.07,0.07,0.00,0.07,0.07,0.10,0.17,0.07,0.17,Partidos
Stanko Jurić,hr CRO,CC,28-207,21,14,1353,15.0,0,0,0,0,0,0,7,1,0.7,0.7,0.3,1.0,3,44,6,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Partidos
David Torres,es ESP,DF,22-006,17,14,1297,14.4,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.1,11,37,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Anuar,ma MAR,"DL,CC",30-055,17,14,1212,13.5,2,0,2,2,0,0,5,0,1.4,1.4,0.5,1.9,16,19,41,0.15,0.00,0.15,0.15,0.15,0.11,0.04,0.14,0.11,0.14,Partidos
Kike Pérez,es ESP,CC,28-025,19,14,1191,13.2,2,0,2,2,0,0,6,0,2.1,2.1,1.0,3.1,19,67,28,0.15,0.00,0.15,0.15,0.15,0.16,0.08,0.24,0.16,0.24,Partidos
Eray Cömert,ch SUI,"DF,CC",27-035,18,14,1189,13.2,0,0,0,0,0,0,5,0,0.5,0.5,0.0,0.5,7,35,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Marcos André,br BRA,DL,28-142,19,14,1156,12.8,1,2,3,1,0,0,5,0,2.2,2.2,0.8,3.0,11,16,38,0.08,0.16,0.23,0.08,0.23,0.17,0.07,0.24,0.17,0.24,Partidos
Selim Amallah,ma MAR,CC,28-116,18,13,1047,11.6,3,1,4,2,1,1,5,0,2.7,1.9,0.6,2.5,22,38,17,0.26,0.09,0.34,0.17,0.26,0.23,0.05,0.28,0.17,0.21,Partidos
Mamadou Sylla,sn SEN,"DL,CC",30-356,20,12,1061,11.8,3,1,4,1,2,2,2,0,3.6,2.0,1.4,3.4,12,14,35,0.25,0.08,0.34,0.08,0.17,0.30,0.12,0.42,0.17,0.29,Partidos
