Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Jay Idzes,id IDN,DF,24-282,26,26,2317,25.7,1,0,1,1,0,0,3,0,1.0,1.0,0.3,1.3,14,67,11,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Partidos
Gaetano Oristanio,it ITA,"CC,DL",22-164,28,25,1942,21.6,2,3,5,2,0,0,3,0,3.2,3.2,2.5,5.7,60,57,107,0.09,0.14,0.23,0.09,0.23,0.15,0.12,0.26,0.15,0.26,Partidos
Hans Nicolussi Caviglia,it ITA,CC,24-266,26,24,2051,22.8,4,2,6,4,0,0,6,1,1.3,1.3,1.4,2.7,16,99,20,0.18,0.09,0.26,0.18,0.26,0.06,0.06,0.12,0.06,0.12,Partidos
Mikael Ellertsson,is ISL,"DF,CC",23-000,27,22,1871,20.8,2,1,3,2,0,0,1,0,1.1,1.1,0.7,1.8,28,29,70,0.10,0.05,0.14,0.10,0.14,0.05,0.04,0.09,0.05,0.09,Partidos
Gianluca Busio,us USA,CC,22-287,24,20,1838,20.4,1,0,1,1,0,0,3,0,1.6,1.6,0.9,2.5,47,70,106,0.05,0.00,0.05,0.05,0.05,0.08,0.04,0.12,0.08,0.12,Partidos
Joel Pohjanpalo,fi FIN,DL,30-179,20,19,1603,17.8,6,0,6,3,3,4,1,0,7.5,4.3,1.7,6.0,9,29,72,0.34,0.00,0.34,0.17,0.17,0.42,0.09,0.51,0.24,0.33,Partidos
Francesco Zampano,it ITA,DF,31-162,21,17,1599,17.8,1,2,3,1,0,0,5,0,1.0,1.0,0.8,1.8,42,39,78,0.06,0.11,0.17,0.06,0.17,0.05,0.04,0.10,0.05,0.10,Partidos
Filip Stankovic,rs SRB,PO,23-014,16,16,1367,15.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Michael Svoboda,at AUT,DF,26-147,16,15,1314,14.6,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.8,13,43,5,0.07,0.00,0.07,0.07,0.07,0.01,0.04,0.06,0.01,0.06,Partidos
Antonio Candela,it ITA,DF,24-318,14,12,1008,11.2,0,1,1,0,0,0,2,0,0.3,0.3,0.8,1.2,12,27,25,0.00,0.09,0.09,0.00,0.09,0.03,0.07,0.11,0.03,0.11,Partidos
Marin Šverko,hr CRO,DF,27-035,15,11,1041,11.6,1,0,1,1,0,0,3,0,0.3,0.3,0.3,0.7,8,37,1,0.09,0.00,0.09,0.09,0.09,0.03,0.03,0.06,0.03,0.06,Partidos
Ridgeciano Haps,sr SUR,DF,31-272,15,11,1013,11.3,0,0,0,0,0,0,3,0,1.1,1.1,0.4,1.5,17,41,31,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13,Partidos
Alfred Duncan,gh GHA,CC,32-001,13,11,867,9.6,0,0,0,0,0,0,2,0,0.8,0.8,1.0,1.7,10,44,12,0.00,0.00,0.00,0.00,0.00,0.08,0.10,0.18,0.08,0.18,Partidos
Giorgio Altare,it ITA,DF,26-214,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
Jesse Joronen,fi FIN,PO,31-355,8,7,703,7.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Magnus Kofod Andersen,dk DEN,CC,25-305,14,7,695,7.7,1,1,2,1,0,0,1,0,0.3,0.3,0.5,0.7,7,24,18,0.13,0.13,0.26,0.13,0.26,0.04,0.06,0.10,0.04,0.10,Partidos
