Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Sergi Cardona,es ESP,DF,25-246,25,25,2202,24.5,1,6,7,1,0,0,6,0,2.1,2.1,5.1,7.2,39,55,142,0.04,0.25,0.29,0.04,0.29,0.09,0.21,0.29,0.09,0.29,Partidos
Alex Baena,es ESP,"CC,DL",23-234,24,23,1997,22.2,6,7,13,6,0,1,8,0,5.6,4.8,8.8,13.6,69,153,120,0.27,0.32,0.59,0.27,0.59,0.25,0.40,0.65,0.22,0.61,Partidos
Kiko Femenía,es ESP,DF,34-037,21,21,1725,19.2,0,1,1,0,0,0,6,0,0.4,0.4,1.1,1.4,45,88,37,0.00,0.05,0.05,0.00,0.05,0.02,0.06,0.07,0.02,0.07,Partidos
Diego Conde,es ESP,PO,26-134,20,20,1782,19.8,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.05,0.05,0.00,0.05,0.00,0.01,0.01,0.00,0.01,Partidos
Pape Gueye,sn SEN,"CC,DL",26-046,24,20,1677,18.6,2,0,2,2,0,0,5,1,2.3,2.3,0.8,3.1,30,111,54,0.11,0.00,0.11,0.11,0.11,0.12,0.04,0.17,0.12,0.17,Partidos
Santi Comesaña,es ESP,CC,28-157,24,20,1672,18.6,3,2,5,3,0,0,5,0,2.7,2.7,1.4,4.1,29,112,39,0.16,0.11,0.27,0.16,0.27,0.14,0.08,0.22,0.14,0.22,Partidos
Daniel Parejo,es ESP,CC,35-329,24,18,1606,17.8,3,1,4,2,1,2,7,0,2.3,0.5,0.6,1.2,13,135,22,0.17,0.06,0.22,0.11,0.17,0.13,0.03,0.16,0.03,0.07,Partidos
Logan Costa,cv CPV,DF,23-344,20,18,1603,17.8,2,0,2,2,0,0,2,0,0.6,0.6,0.3,1.0,18,71,9,0.11,0.00,0.11,0.11,0.11,0.04,0.02,0.05,0.04,0.05,Partidos
Thierno Barry,fr FRA,DL,22-141,25,17,1576,17.5,8,3,11,7,1,1,3,0,9.2,8.4,2.2,10.7,25,17,86,0.46,0.17,0.63,0.40,0.57,0.53,0.13,0.65,0.48,0.61,Partidos
Yeremi Pino,es ESP,CC,22-142,23,17,1316,14.6,1,4,5,1,0,0,8,0,2.9,2.9,4.0,6.9,28,42,155,0.07,0.27,0.34,0.07,0.34,0.20,0.27,0.47,0.20,0.47,Partidos
Raúl Albiol,es ESP,DF,39-188,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Ayoze Pérez,es ESP,DL,31-225,19,12,1167,13.0,11,0,11,11,0,0,3,0,8.0,8.0,1.6,9.6,36,37,76,0.85,0.00,0.85,0.85,0.85,0.61,0.12,0.73,0.61,0.73,Partidos
Nicolas Pépé,ci CIV,"DL,CC",29-286,18,8,857,9.5,1,2,3,1,0,0,1,0,2.3,2.3,2.0,4.3,39,35,104,0.11,0.21,0.32,0.11,0.32,0.24,0.21,0.45,0.24,0.45,Partidos
Willy Kambwala,fr FRA,DF,20-198,9,8,671,7.5,0,0,0,0,0,0,0,1,0.2,0.2,0.1,0.3,1,11,0,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos
Juan Foyth,ar ARG,DF,27-058,9,7,632,7.0,0,0,0,0,0,0,2,0,0.9,0.9,0.2,1.1,10,40,6,0.00,0.00,0.00,0.00,0.00,0.13,0.03,0.16,0.13,0.16,Partidos
Ilias Akhomach,ma MAR,"CC,DL",20-329,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.00,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,Partidos
Eric Bailly,ci CIV,DF,30-333,10,7,580,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,18,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
Gerard Moreno,es ESP,DL,32-338,12,6,599,6.7,3,1,4,0,3,3,0,0,4.2,1.8,3.0,4.9,11,44,50,0.45,0.15,0.60,0.00,0.15,0.63,0.46,1.09,0.28,0.73,Partidos
Luiz Lúcio Reis Júnior,br BRA,PO,24-056,7,6,558,6.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Denis Suárez,es ESP,CC,31-064,14,4,361,4.0,1,1,2,1,0,0,0,0,0.8,0.8,0.5,1.3,15,19,20,0.25,0.25,0.50,0.25,0.50,0.20,0.13,0.33,0.20,0.33,Partidos
Pau Navarro,es ESP,DF,19-320,10,3,518,5.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,27,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Arnaut Danjuma,nl NED,DL,28-039,3,3,200,2.2,2,0,2,2,0,0,1,0,0.8,0.8,0.0,0.8,4,1,17,0.90,0.00,0.90,0.90,0.90,0.37,0.01,0.38,0.37,0.38,Partidos
Juan Bernat,es ESP,"DF,CC",32-010,10,1,212,2.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,4,8,23,0.00,0.42,0.42,0.00,0.42,0.12,0.17,0.29,0.12,0.29,Partidos
Ramón Terrats,es ESP,"CC,DL",24-144,11,1,131,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,1,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.19,0.22,0.04,0.22,Partidos
Pau Cabanes,es ESP,"CC,DL",20-022,10,0,163,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0.55,0.00,0.55,0.55,0.55,0.26,0.22,0.47,0.26,0.47,Partidos
Tajon Buchanan,ca CAN,"CC,DL",26-031,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Alfonso Pedraza,es ESP,"DF,CC",28-336,2,0,21,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,3,4,10,0.00,0.00,0.00,0.00,0.00,0.32,1.42,1.74,0.32,1.74,Partidos
Thiago Ojeda,ar ARG,CC,22-058,1,0,8,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Partidos
