Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Max Kilman,eng ENG,DF,27-292,28,28,2448.0,27.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.4,1.4,0.9,2.3,22.0,94.0,3.0,0.0,0.04,0.04,0.0,0.04,0.05,0.03,0.09,0.05,0.09,Partidos
Aaron Wan-Bissaka,eng ENG,DF,27-105,27,26,2344.0,26.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.3,3.4,82.0,106.0,113.0,0.08,0.08,0.15,0.08,0.15,0.04,0.09,0.13,0.04,0.13,Partidos
Jarrod Bowen,eng ENG,"DL,CC",28-081,24,24,2096.0,23.3,7.0,4.0,11.0,6.0,1.0,1.0,1.0,0.0,6.0,5.3,4.8,10.1,81.0,74.0,145.0,0.3,0.17,0.47,0.26,0.43,0.26,0.2,0.46,0.23,0.43,Partidos
Tomáš Souček,cz CZE,CC,30-012,26,23,1993.0,22.1,6.0,1.0,7.0,6.0,0.0,0.0,8.0,0.0,4.8,4.8,1.0,5.8,4.0,64.0,53.0,0.27,0.05,0.32,0.27,0.32,0.22,0.05,0.26,0.22,0.26,Partidos
Mohammed Kudus,gh GHA,"CC,DL",24-221,23,23,1905.0,21.2,3.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,5.9,5.9,2.1,7.9,76.0,60.0,160.0,0.14,0.05,0.19,0.14,0.19,0.28,0.1,0.38,0.28,0.38,Partidos
Emerson Palmieri,it ITA,DF,30-220,24,22,1702.0,18.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.6,1.6,1.5,3.1,33.0,47.0,66.0,0.11,0.05,0.16,0.11,0.16,0.08,0.08,0.16,0.08,0.16,Partidos
Lucas Paquetá,br BRA,"CC,DL",27-196,24,20,1725.0,19.2,4.0,0.0,4.0,2.0,2.0,2.0,6.0,0.0,4.8,3.3,2.1,5.3,15.0,94.0,64.0,0.21,0.0,0.21,0.1,0.1,0.25,0.11,0.36,0.17,0.28,Partidos
Edson Álvarez,mx MEX,CC,27-138,23,18,1535.0,17.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.3,0.3,0.8,1.1,20.0,68.0,19.0,0.0,0.06,0.06,0.0,0.06,0.02,0.05,0.07,0.02,0.07,Partidos
Konstantinos Mavropanos,gr GRE,DF,27-090,24,16,1572.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.2,1.2,0.5,1.7,15.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.09,0.07,0.09,Partidos
Alphonse Areola,fr FRA,PO,32-012,17,16,1450.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
Guido Rodríguez,ar ARG,CC,30-333,19,14,1017.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,0.3,2.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Partidos
Carlos Soler,es ESP,"CC,DL",28-068,23,12,1090.0,12.1,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,1.1,2.3,12.0,45.0,21.0,0.08,0.08,0.17,0.08,0.17,0.1,0.09,0.19,0.1,0.19,Partidos
Łukasz Fabiański,pl POL,PO,39-327,13,12,1070.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Partidos
Jean-Clair Todibo,fr FRA,DF,25-071,18,11,1056.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,6.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Partidos
Michail Antonio,jm JAM,DL,34-348,14,11,836.0,9.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,1.6,3.8,29.0,18.0,59.0,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Partidos
Vladimír Coufal,cz CZE,DF,32-201,15,8,736.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,11.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,Partidos
Crysencio Summerville,nl NED,"DL,CC",23-132,19,7,786.0,8.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.7,3.3,29.0,18.0,71.0,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Partidos
Aaron Cresswell,eng ENG,DF,35-086,13,6,544.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.1,1.3,4.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.19,0.21,0.02,0.21,Partidos
Oliver Scarles,eng ENG,DF,19-089,10,3,406.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,6.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Partidos
Niclas Füllkrug,de GER,DL,32-030,9,3,370.0,4.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,1.0,2.4,3.0,4.0,8.0,0.49,0.24,0.73,0.49,0.73,0.35,0.24,0.59,0.35,0.59,Partidos
James Ward-Prowse,eng ENG,CC,30-130,5,3,326.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,3.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Partidos
Danny Ings,eng ENG,"DL,CC",32-231,15,1,284.0,3.2,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.3,2.3,1.3,3.5,6.0,5.0,29.0,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,Partidos
