Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Rayan Aït-Nouri,dz ALG,DF,23-278,27,27,2302,25.6,3,5,8,3,0,0,6,1,1.9,1.9,2.6,4.4,61,88,135,0.12,0.20,0.31,0.12,0.31,0.07,0.10,0.17,0.07,0.17,Partidos
João Gomes,br BRA,CC,24-027,26,26,2159,24.0,3,1,4,3,0,0,9,1,2.2,2.2,1.0,3.2,39,126,56,0.13,0.04,0.17,0.13,0.17,0.09,0.04,0.14,0.09,0.14,Partidos
Matheus Cunha,br BRA,"CC,DL",25-288,26,24,2143,23.8,13,4,17,13,0,0,3,0,6.7,6.7,6.6,13.4,92,112,137,0.55,0.17,0.71,0.55,0.71,0.28,0.28,0.56,0.28,0.56,Partidos
Nélson Semedo,pt POR,DF,31-115,24,23,2056,22.8,0,4,4,0,0,0,7,0,0.6,0.6,2.6,3.2,49,52,92,0.00,0.18,0.18,0.00,0.18,0.03,0.11,0.14,0.03,0.14,Partidos
Jørgen Strand Larsen,no NOR,DL,25-033,26,23,1977,22.0,7,2,9,7,0,0,3,0,6.4,6.4,1.7,8.0,11,21,77,0.32,0.09,0.41,0.32,0.41,0.29,0.08,0.37,0.29,0.37,Partidos
José Sá,pt POR,PO,32-053,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
André,br BRA,CC,23-238,23,21,1657,18.4,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.8,6,72,9,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
Toti Gomes,pt POR,DF,26-054,21,20,1714,19.0,0,1,1,0,0,0,4,0,0.1,0.1,0.7,0.8,17,53,10,0.00,0.05,0.05,0.00,0.05,0.00,0.04,0.04,0.00,0.04,Partidos
Matt Doherty,ie IRL,DF,33-054,21,17,1520,16.9,2,1,3,2,0,0,5,0,1.0,1.0,1.4,2.4,27,67,38,0.12,0.06,0.18,0.12,0.18,0.06,0.08,0.14,0.06,0.14,Partidos
Santiago Bueno,uy URU,DF,26-122,21,17,1513,16.8,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,27,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
Mario Lemina,ga GAB,"CC,DF",31-191,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Partidos
Jean-Ricner Bellegarde,fr FRA,"CC,DL",26-257,26,14,1217,13.5,2,4,6,2,0,0,3,0,1.2,1.2,3.0,4.2,32,31,64,0.15,0.30,0.44,0.15,0.44,0.09,0.23,0.31,0.09,0.31,Partidos
